# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Eta
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Eta
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Eta
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Eta
ScaledBy=4.32176146428111391e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.900000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.600000e+00	1.308200e-05	1.308200e-05	1.308200e-05
-4.600000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.300000e+00	7.599149e-04	5.373410e-04	5.373410e-04
-4.300000e+00	-4.200000e+00	3.799574e-04	3.799575e-04	3.799575e-04
-4.200000e+00	-4.100000e+00	1.139872e-03	6.581056e-04	6.581056e-04
-4.100000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.900000e+00	3.799574e-04	3.799575e-04	3.799575e-04
-3.900000e+00	-3.800000e+00	1.532912e-03	7.600275e-04	7.600275e-04
-3.800000e+00	-3.700000e+00	1.519830e-03	7.599149e-04	7.599149e-04
-3.700000e+00	-3.600000e+00	3.799574e-04	3.799575e-04	3.799575e-04
-3.600000e+00	-3.500000e+00	3.039660e-03	1.074682e-03	1.074682e-03
-3.500000e+00	-3.400000e+00	1.899787e-03	8.496107e-04	8.496107e-04
-3.400000e+00	-3.300000e+00	1.899787e-03	8.496107e-04	8.496107e-04
-3.300000e+00	-3.200000e+00	3.052742e-03	1.074761e-03	1.074761e-03
-3.200000e+00	-3.100000e+00	5.319404e-03	1.421670e-03	1.421670e-03
-3.100000e+00	-3.000000e+00	7.651477e-03	1.699423e-03	1.699423e-03
-3.000000e+00	-2.900000e+00	6.904644e-03	1.612288e-03	1.612288e-03
-2.900000e+00	-2.800000e+00	7.625313e-03	1.699322e-03	1.699322e-03
-2.800000e+00	-2.700000e+00	1.455612e-02	2.342544e-03	2.342544e-03
-2.700000e+00	-2.600000e+00	1.147722e-02	2.081359e-03	2.081359e-03
-2.600000e+00	-2.500000e+00	1.601054e-02	2.462545e-03	2.462545e-03
-2.500000e+00	-2.400000e+00	2.026856e-02	2.766441e-03	2.766441e-03
-2.400000e+00	-2.300000e+00	2.104156e-02	2.818174e-03	2.818174e-03
-2.300000e+00	-2.200000e+00	2.754008e-02	3.224418e-03	3.224418e-03
-2.200000e+00	-2.100000e+00	3.170653e-02	3.461898e-03	3.461898e-03
-2.100000e+00	-2.000000e+00	3.523081e-02	3.644917e-03	3.644917e-03
-2.000000e+00	-1.900000e+00	3.984262e-02	3.875372e-03	3.875372e-03
-1.900000e+00	-1.800000e+00	5.481795e-02	4.544327e-03	4.544327e-03
-1.800000e+00	-1.700000e+00	7.088082e-02	5.168725e-03	5.168725e-03
-1.700000e+00	-1.600000e+00	7.961984e-02	5.480526e-03	5.480526e-03
-1.600000e+00	-1.500000e+00	8.750679e-02	5.738231e-03	5.738231e-03
-1.500000e+00	-1.400000e+00	1.039104e-01	6.255874e-03	6.255874e-03
