# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/EtaCh
ScaledBy=9.28245628553509006e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.900000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.300000e+00	1.632176e-03	1.154123e-03	1.154123e-03
-4.300000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.100000e+00	8.160882e-04	8.160882e-04	8.160882e-04
-4.100000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.900000e+00	8.160882e-04	8.160882e-04	8.160882e-04
-3.900000e+00	-3.800000e+00	3.292451e-03	1.632418e-03	1.632418e-03
-3.800000e+00	-3.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.700000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.500000e+00	2.448264e-03	1.413506e-03	1.413506e-03
-3.500000e+00	-3.400000e+00	8.160882e-04	8.160882e-04	8.160882e-04
-3.400000e+00	-3.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.300000e+00	-3.200000e+00	3.264353e-03	1.632176e-03	1.632176e-03
-3.200000e+00	-3.100000e+00	5.712617e-03	2.159166e-03	2.159166e-03
-3.100000e+00	-3.000000e+00	9.033166e-03	2.706950e-03	2.706950e-03
-3.000000e+00	-2.900000e+00	7.400990e-03	2.448587e-03	2.448587e-03
-2.900000e+00	-2.800000e+00	5.740715e-03	2.159349e-03	2.159349e-03
-2.800000e+00	-2.700000e+00	1.483008e-02	3.462940e-03	3.462940e-03
-2.700000e+00	-2.600000e+00	1.722215e-02	3.740103e-03	3.740103e-03
-2.600000e+00	-2.500000e+00	1.634986e-02	3.649766e-03	3.649766e-03
-2.500000e+00	-2.400000e+00	2.785939e-02	4.758902e-03	4.758902e-03
-2.400000e+00	-2.300000e+00	1.896671e-02	3.914527e-03	3.914527e-03
-2.300000e+00	-2.200000e+00	2.619912e-02	4.616748e-03	4.616748e-03
-2.200000e+00	-2.100000e+00	3.602027e-02	5.413608e-03	5.413608e-03
-2.100000e+00	-2.000000e+00	3.779294e-02	5.535621e-03	5.535621e-03
-2.000000e+00	-1.900000e+00	4.353365e-02	5.941876e-03	5.941876e-03
-1.900000e+00	-1.800000e+00	4.468692e-02	5.998446e-03	5.998446e-03
-1.800000e+00	-1.700000e+00	7.966632e-02	8.038420e-03	8.038420e-03
-1.700000e+00	-1.600000e+00	8.473143e-02	8.283534e-03	8.283534e-03
-1.600000e+00	-1.500000e+00	7.845561e-02	7.955881e-03	7.955881e-03
-1.500000e+00	-1.400000e+00	9.486167e-02	8.753194e-03	8.753194e-03
