# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/EtaChPMRatio
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/EtaChPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/EtaChPMRatio
ErrorBreakdown={0: {"": {up: 0.075531917890533012, dn: 0.075531917890533012}}, 1: {"": {up: 0.072532266958822075, dn: 0.072532266958822075}}, 2: {"": {up: 0.092247751183945348, dn: 0.092247751183945348}}, 3: {"": {up: 0.090902610362933428, dn: 0.090902610362933428}}, 4: {"": {up: 0.086793200832453649, dn: 0.086793200832453649}}, 5: {"": {up: 0.10512647242513885, dn: 0.10512647242513885}}, 6: {"": {up: 0.093736258127294123, dn: 0.093736258127294123}}, 7: {"": {up: 0.10074337786854343, dn: 0.10074337786854343}}, 8: {"": {up: 0.10288654475311375, dn: 0.10288654475311375}}, 9: {"": {up: 0.096746746068730363, dn: 0.096746746068730363}}, 10: {"": {up: 0.10006769409762771, dn: 0.10006769409762771}}, 11: {"": {up: 0.096340221882444871, dn: 0.096340221882444871}}, 12: {"": {up: 0.11388702934416838, dn: 0.11388702934416838}}, 13: {"": {up: 0.091823403538179499, dn: 0.091823403538179499}}, 14: {"": {up: 0.094294009511942889, dn: 0.094294009511942889}}, 15: {"": {up: 0.094499072701964518, dn: 0.094499072701964518}}, 16: {"": {up: 0.13112837018273477, dn: 0.13112837018273477}}, 17: {"": {up: 0.10384417371642303, dn: 0.10384417371642303}}, 18: {"": {up: 0.12602760783913092, dn: 0.12602760783913092}}, 19: {"": {up: 0.12499134472057866, dn: 0.12499134472057866}}, 20: {"": {up: 0.13245899373710937, dn: 0.13245899373710937}}, 21: {"": {up: 0.13437722949593398, dn: 0.13437722949593398}}, 22: {"": {up: 0.17607248955169566, dn: 0.17607248955169566}}, 23: {"": {up: 0.11826213573170284, dn: 0.11826213573170284}}, 24: {"": {up: 0.13051719010976134, dn: 0.13051719010976134}}, 25: {"": {up: 0.18968337791082207, dn: 0.18968337791082207}}, 26: {"": {up: 0.16038723436225238, dn: 0.16038723436225238}}, 27: {"": {up: 0.20540290288930937, dn: 0.20540290288930937}}, 28: {"": {up: 0.1967395579823637, dn: 0.1967395579823637}}, 29: {"": {up: 0.15015542277881125, dn: 0.15015542277881125}}, 30: {"": {up: 0.2189903748486533, dn: 0.2189903748486533}}, 31: {"": {up: 0.22459025347787048, dn: 0.22459025347787048}}, 32: {"": {up: 0.15819303010933672, dn: 0.15819303010933672}}, 33: {"": {up: 0.17444827958475251, dn: 0.17444827958475251}}, 34: {"": {up: 0.15893390108569685, dn: 0.15893390108569685}}, 35: {"": {up: 0.17903724728137874, dn: 0.17903724728137874}}, 36: {"": {up: 0.27706106758257365, dn: 0.27706106758257365}}, 37: {"": {up: 0.29596152479083776, dn: 0.29596152479083776}}, 38: {"": {up: 0.21197903880223734, dn: 0.21197903880223734}}, 39: {"": {up: 0.2012592115967401, dn: 0.2012592115967401}}, 40: {"": {up: 0.20233932526913243, dn: 0.20233932526913243}}, 41: {"": {up: 0.32037945025514619, dn: 0.32037945025514619}}, 42: {"": {up: 0.2457216584721103, dn: 0.2457216584721103}}, 43: {"": {up: 0.26223682293030004, dn: 0.26223682293030004}}, 44: {"": {up: 0.36769191579394661, dn: 0.36769191579394661}}, 45: {"": {up: 0.16319916784109653, dn: 0.16319916784109653}}, 46: {"": {up: 0.34419175161771887, dn: 0.34419175161771887}}, 47: {"": {up: 0.44124278621751684, dn: 0.44124278621751684}}, 48: {"": {up: 0.21902622772972197, dn: 0.21902622772972197}}, 49: {"": {up: 0.25279319991038501, dn: 0.25279319991038501}}, 50: {"": {up: 0.21199025472308655, dn: 0.21199025472308655}}, 51: {"": {up: 0.35219284915925675, dn: 0.35219284915925675}}, 52: {"": {up: 0.30762087601259291, dn: 0.30762087601259291}}, 53: {"": {up: 0.21353092079355676, dn: 0.21353092079355676}}, 54: {"": {up: 0.9598574989594898, dn: 0.9598574989594898}}, 55: {"": {up: 0.22272745811069045, dn: 0.22272745811069045}}, 56: {"": {up: 1.0234325520752632, dn: 1.0234325520752632}}, 57: {"": {up: 0.27869588882741281, dn: 0.27869588882741281}}, 58: {"": {up: 0.13316702142948353, dn: 0.13316702142948353}}, 59: {"": {up: 2.2204054662378163, dn: 2.2204054662378163}}, 60: {"": {up: 0.2807809274389978, dn: 0.2807809274389978}}, 61: {"": {up: 0.22771660150601916, dn: 0.22771660150601916}}, 62: {"": {up: 0, dn: 0}}, 63: {"": {up: .nan, dn: .nan}}, 64: {"": {up: 0.61290028249829831, dn: 0.61290028249829831}}, 65: {"": {up: 3.524241002005267, dn: 3.524241002005267}}, 66: {"": {up: .nan, dn: .nan}}, 67: {"": {up: .nan, dn: .nan}}, 68: {"": {up: .nan, dn: .nan}}, 69: {"": {up: 0, dn: 0}}, 70: {"": {up: 0.81649658092772637, dn: 0.81649658092772637}}, 71: {"": {up: .nan, dn: .nan}}, 72: {"": {up: .nan, dn: .nan}}, 73: {"": {up: .nan, dn: .nan}}, 74: {"": {up: .nan, dn: .nan}}, 75: {"": {up: .nan, dn: .nan}}, 76: {"": {up: 0.020612990154357032, dn: 0.020612990154357032}}, 77: {"": {up: 0, dn: 0}}, 78: {"": {up: .nan, dn: .nan}}, 79: {"": {up: 0, dn: 0}}, 80: {"": {up: .nan, dn: .nan}}, 81: {"": {up: .nan, dn: .nan}}, 82: {"": {up: 0, dn: 0}}, 83: {"": {up: .nan, dn: .nan}}, 84: {"": {up: .nan, dn: .nan}}, 85: {"": {up: .nan, dn: .nan}}, 86: {"": {up: 0, dn: 0}}, 87: {"": {up: .nan, dn: .nan}}, 88: {"": {up: .nan, dn: .nan}}, 89: {"": {up: .nan, dn: .nan}}, 90: {"": {up: .nan, dn: .nan}}, 91: {"": {up: .nan, dn: .nan}}, 92: {"": {up: .nan, dn: .nan}}, 93: {"": {up: .nan, dn: .nan}}, 94: {"": {up: .nan, dn: .nan}}, 95: {"": {up: .nan, dn: .nan}}, 96: {"": {up: .nan, dn: .nan}}, 97: {"": {up: .nan, dn: .nan}}, 98: {"": {up: .nan, dn: .nan}}, 99: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/EtaChPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	9.009225e-01	7.553192e-02	7.553192e-02
5.000000e-02	1.000000e-01	8.297839e-01	7.253227e-02	7.253227e-02
1.000000e-01	1.500000e-01	1.095707e+00	9.224775e-02	9.224775e-02
1.500000e-01	2.000000e-01	1.101315e+00	9.090261e-02	9.090261e-02
2.000000e-01	2.500000e-01	1.069689e+00	8.679320e-02	8.679320e-02
2.500000e-01	3.000000e-01	1.229913e+00	1.051265e-01	1.051265e-01
3.000000e-01	3.500000e-01	1.096471e+00	9.373626e-02	9.373626e-02
3.500000e-01	4.000000e-01	1.141644e+00	1.007434e-01	1.007434e-01
4.000000e-01	4.500000e-01	1.108927e+00	1.028865e-01	1.028865e-01
4.500000e-01	5.000000e-01	1.106977e+00	9.674675e-02	9.674675e-02
5.000000e-01	5.500000e-01	1.116320e+00	1.000677e-01	1.000677e-01
5.500000e-01	6.000000e-01	1.027708e+00	9.634022e-02	9.634022e-02
6.000000e-01	6.500000e-01	1.187454e+00	1.138870e-01	1.138870e-01
6.500000e-01	7.000000e-01	9.379876e-01	9.182340e-02	9.182340e-02
7.000000e-01	7.500000e-01	9.382069e-01	9.429401e-02	9.429401e-02
7.500000e-01	8.000000e-01	9.558440e-01	9.449907e-02	9.449907e-02
8.000000e-01	8.500000e-01	1.202929e+00	1.311284e-01	1.311284e-01
8.500000e-01	9.000000e-01	9.001932e-01	1.038442e-01	1.038442e-01
9.000000e-01	9.500000e-01	1.051297e+00	1.260276e-01	1.260276e-01
9.500000e-01	1.000000e+00	1.031871e+00	1.249913e-01	1.249913e-01
1.000000e+00	1.050000e+00	1.085109e+00	1.324590e-01	1.324590e-01
1.050000e+00	1.100000e+00	1.076358e+00	1.343772e-01	1.343772e-01
1.100000e+00	1.150000e+00	1.251542e+00	1.760725e-01	1.760725e-01
1.150000e+00	1.200000e+00	8.354439e-01	1.182621e-01	1.182621e-01
1.200000e+00	1.250000e+00	9.088133e-01	1.305172e-01	1.305172e-01
1.250000e+00	1.300000e+00	1.190121e+00	1.896834e-01	1.896834e-01
1.300000e+00	1.350000e+00	9.714837e-01	1.603872e-01	1.603872e-01
1.350000e+00	1.400000e+00	1.208587e+00	2.054029e-01	2.054029e-01
1.400000e+00	1.450000e+00	1.035283e+00	1.967396e-01	1.967396e-01
1.450000e+00	1.500000e+00	7.930422e-01	1.501554e-01	1.501554e-01
1.500000e+00	1.550000e+00	1.109122e+00	2.189904e-01	2.189904e-01
1.550000e+00	1.600000e+00	1.140705e+00	2.245903e-01	2.245903e-01
1.600000e+00	1.650000e+00	7.416160e-01	1.581930e-01	1.581930e-01
1.650000e+00	1.700000e+00	8.625946e-01	1.744483e-01	1.744483e-01
1.700000e+00	1.750000e+00	7.373501e-01	1.589339e-01	1.589339e-01
1.750000e+00	1.800000e+00	8.305321e-01	1.790372e-01	1.790372e-01
1.800000e+00	1.850000e+00	1.037925e+00	2.770611e-01	2.770611e-01
1.850000e+00	1.900000e+00	1.140538e+00	2.959615e-01	2.959615e-01
1.900000e+00	1.950000e+00	6.816914e-01	2.119790e-01	2.119790e-01
1.950000e+00	2.000000e+00	6.809779e-01	2.012592e-01	2.012592e-01
2.000000e+00	2.050000e+00	6.371121e-01	2.023393e-01	2.023393e-01
2.050000e+00	2.100000e+00	1.055725e+00	3.203795e-01	3.203795e-01
2.100000e+00	2.150000e+00	8.529697e-01	2.457217e-01	2.457217e-01
2.150000e+00	2.200000e+00	7.276109e-01	2.622368e-01	2.622368e-01
2.200000e+00	2.250000e+00	9.234822e-01	3.676919e-01	3.676919e-01
2.250000e+00	2.300000e+00	3.731811e-01	1.631992e-01	1.631992e-01
2.300000e+00	2.350000e+00	8.473666e-01	3.441918e-01	3.441918e-01
2.350000e+00	2.400000e+00	1.000000e+00	4.412428e-01	4.412428e-01
2.400000e+00	2.450000e+00	6.048037e-01	2.190262e-01	2.190262e-01
2.450000e+00	2.500000e+00	5.759735e-01	2.527932e-01	2.527932e-01
2.500000e+00	2.550000e+00	3.656220e-01	2.119903e-01	2.119903e-01
2.550000e+00	2.600000e+00	6.704922e-01	3.521928e-01	3.521928e-01
2.600000e+00	2.650000e+00	5.993161e-01	3.076209e-01	3.076209e-01
2.650000e+00	2.700000e+00	3.749827e-01	2.135309e-01	2.135309e-01
2.700000e+00	2.750000e+00	1.960952e+00	9.598575e-01	9.598575e-01
2.750000e+00	2.800000e+00	4.224050e-01	2.227275e-01	2.227275e-01
2.800000e+00	2.850000e+00	1.344810e+00	1.023433e+00	1.023433e+00
2.850000e+00	2.900000e+00	2.564006e-01	2.786959e-01	2.786959e-01
2.900000e+00	2.950000e+00	1.293038e-01	1.331670e-01	1.331670e-01
2.950000e+00	3.000000e+00	1.903364e+00	2.220405e+00	2.220405e+00
3.000000e+00	3.050000e+00	2.649346e-01	2.807809e-01	2.807809e-01
3.050000e+00	3.100000e+00	2.843159e-01	2.277166e-01	2.277166e-01
3.100000e+00	3.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e+00	3.200000e+00	nan	nan	nan
3.200000e+00	3.250000e+00	6.781434e-01	6.129003e-01	6.129003e-01
3.250000e+00	3.300000e+00	3.068860e+00	3.524241e+00	3.524241e+00
3.300000e+00	3.350000e+00	nan	nan	nan
3.350000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.450000e+00	nan	nan	nan
3.450000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	3.550000e+00	1.000000e+00	8.164966e-01	8.164966e-01
3.550000e+00	3.600000e+00	nan	nan	nan
3.600000e+00	3.650000e+00	nan	nan	nan
3.650000e+00	3.700000e+00	nan	nan	nan
3.700000e+00	3.750000e+00	nan	nan	nan
3.750000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	3.850000e+00	1.692374e-02	2.061299e-02	2.061299e-02
3.850000e+00	3.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+00	3.950000e+00	nan	nan	nan
3.950000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.050000e+00	nan	nan	nan
4.050000e+00	4.100000e+00	nan	nan	nan
4.100000e+00	4.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.150000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.250000e+00	nan	nan	nan
4.250000e+00	4.300000e+00	nan	nan	nan
4.300000e+00	4.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.450000e+00	nan	nan	nan
4.450000e+00	4.500000e+00	nan	nan	nan
4.500000e+00	4.550000e+00	nan	nan	nan
4.550000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.650000e+00	nan	nan	nan
4.650000e+00	4.700000e+00	nan	nan	nan
4.700000e+00	4.750000e+00	nan	nan	nan
4.750000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	4.850000e+00	nan	nan	nan
4.850000e+00	4.900000e+00	nan	nan	nan
4.900000e+00	4.950000e+00	nan	nan	nan
4.950000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

