# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Mult
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Mult
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Mult
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Mult
ScaledBy=1.96289088149755986e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	2.749005e-02	6.690812e-03	6.690812e-03
5.000000e+00	6.000000e+00	2.064659e-02	5.732194e-03	5.732194e-03
6.000000e+00	7.000000e+00	1.975534e-02	5.727574e-03	5.727574e-03
7.000000e+00	8.000000e+00	1.612565e-02	5.180569e-03	5.180569e-03
8.000000e+00	9.000000e+00	1.767312e-02	5.459470e-03	5.459470e-03
9.000000e+00	1.000000e+01	8.628600e-03	3.858828e-03	3.858828e-03
1.000000e+01	1.100000e+01	1.410284e-02	4.882881e-03	4.882881e-03
1.100000e+01	1.200000e+01	7.021713e-03	3.452463e-03	3.452463e-03
1.200000e+01	1.300000e+01	1.844554e-03	1.727764e-03	1.727764e-03
1.300000e+01	1.400000e+01	3.570274e-03	2.441983e-03	2.441983e-03
1.400000e+01	1.500000e+01	3.510857e-03	2.441260e-03	2.441260e-03
1.500000e+01	1.600000e+01	3.748524e-03	2.444150e-03	2.444150e-03
1.600000e+01	1.700000e+01	2.970841e-04	1.328601e-04	1.328601e-04
1.700000e+01	1.800000e+01	1.844554e-03	1.727764e-03	1.727764e-03
1.800000e+01	1.900000e+01	7.199964e-03	3.453996e-03	3.453996e-03
1.900000e+01	2.000000e+01	8.925684e-03	3.861114e-03	3.861114e-03
2.000000e+01	2.100000e+01	5.949579e-03	2.996702e-03	2.996702e-03
2.100000e+01	2.200000e+01	1.082965e-02	4.230473e-03	4.230473e-03
