# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/Phi
ScaledBy=4.32176146428111391e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.716141e-01	1.015610e-02	1.015610e-02
6.283185e-02	1.256637e-01	1.675684e-01	1.002948e-02	1.002948e-02
1.256637e-01	1.884956e-01	1.734280e-01	1.020996e-02	1.020996e-02
1.884956e-01	2.513274e-01	1.750343e-01	1.026335e-02	1.026335e-02
2.513274e-01	3.141593e-01	1.564334e-01	9.695504e-03	9.695504e-03
3.141593e-01	3.769911e-01	1.403768e-01	9.172521e-03	9.172521e-03
3.769911e-01	4.398230e-01	1.514282e-01	9.524743e-03	9.524743e-03
4.398230e-01	5.026548e-01	1.721980e-01	1.017408e-02	1.017408e-02
5.026548e-01	5.654867e-01	1.444223e-01	9.310790e-03	9.310790e-03
5.654867e-01	6.283185e-01	1.523672e-01	9.562780e-03	9.562780e-03
6.283185e-01	6.911504e-01	1.462781e-01	9.369564e-03	9.369564e-03
6.911504e-01	7.539822e-01	1.438178e-01	9.291146e-03	9.291146e-03
7.539822e-01	8.168141e-01	1.567457e-01	9.695839e-03	9.695839e-03
8.168141e-01	8.796459e-01	1.493852e-01	9.466740e-03	9.466740e-03
8.796459e-01	9.424778e-01	1.402309e-01	9.172341e-03	9.172341e-03
9.424778e-01	1.005310e+00	1.616036e-01	9.845522e-03	9.845522e-03
1.005310e+00	1.068142e+00	1.618132e-01	9.863690e-03	9.863690e-03
1.068142e+00	1.130973e+00	1.577284e-01	9.733376e-03	9.733376e-03
1.130973e+00	1.193805e+00	1.617507e-01	9.863624e-03	9.863624e-03
1.193805e+00	1.256637e+00	1.501977e-01	9.486233e-03	9.486233e-03
1.256637e+00	1.319469e+00	1.539726e-01	9.619714e-03	9.619714e-03
1.319469e+00	1.382301e+00	1.467785e-01	9.388927e-03	9.388927e-03
1.382301e+00	1.445133e+00	1.765554e-01	1.029920e-02	1.029920e-02
1.445133e+00	1.507964e+00	1.566230e-01	9.695844e-03	9.695844e-03
1.507964e+00	1.570796e+00	1.679020e-01	1.004739e-02	1.004739e-02
1.570796e+00	1.633628e+00	1.449851e-01	9.330345e-03	9.330345e-03
1.633628e+00	1.696460e+00	1.743656e-01	1.022818e-02	1.022818e-02
1.696460e+00	1.759292e+00	1.656497e-01	9.974509e-03	9.974509e-03
1.759292e+00	1.822124e+00	1.827484e-01	1.047538e-02	1.047538e-02
1.822124e+00	1.884956e+00	1.638563e-01	9.919384e-03	9.919384e-03
1.884956e+00	1.947787e+00	1.590003e-01	9.770942e-03	9.770942e-03
1.947787e+00	2.010619e+00	1.584972e-01	9.752167e-03	9.752167e-03
2.010619e+00	2.073451e+00	1.632517e-01	9.900935e-03	9.900935e-03
2.073451e+00	2.136283e+00	1.702376e-01	1.011984e-02	1.011984e-02
2.136283e+00	2.199115e+00	1.656705e-01	9.974531e-03	9.974531e-03
2.199115e+00	2.261947e+00	1.487175e-01	9.447307e-03	9.447307e-03
2.261947e+00	2.324779e+00	1.609993e-01	9.826965e-03	9.826965e-03
2.324779e+00	2.387610e+00	1.559558e-01	9.676900e-03	9.676900e-03
2.387610e+00	2.450442e+00	1.656081e-01	9.974465e-03	9.974465e-03
2.450442e+00	2.513274e+00	1.707799e-01	1.013783e-02	1.013783e-02
2.513274e+00	2.576106e+00	1.615207e-01	9.845466e-03	9.845466e-03
2.576106e+00	2.638938e+00	1.606861e-01	9.808650e-03	9.808650e-03
2.638938e+00	2.701770e+00	1.649825e-01	9.956096e-03	9.956096e-03
2.701770e+00	2.764602e+00	1.713837e-01	1.013844e-02	1.013844e-02
2.764602e+00	2.827433e+00	1.783516e-01	1.035247e-02	1.035247e-02
2.827433e+00	2.890265e+00	1.658372e-01	9.974705e-03	9.974705e-03
2.890265e+00	2.953097e+00	1.821437e-01	1.045791e-02	1.045791e-02
2.953097e+00	3.015929e+00	1.696320e-01	1.008426e-02	1.008426e-02
3.015929e+00	3.078761e+00	1.655238e-01	9.956662e-03	9.956662e-03
3.078761e+00	3.141593e+00	1.645443e-01	9.937888e-03	9.937888e-03
3.141593e+00	3.204425e+00	1.546597e-01	9.620457e-03	9.620457e-03
3.204425e+00	3.267256e+00	1.548089e-01	9.639103e-03	9.639103e-03
3.267256e+00	3.330088e+00	1.576426e-01	9.733133e-03	9.733133e-03
3.330088e+00	3.392920e+00	1.568287e-01	9.695914e-03	9.695914e-03
3.392920e+00	3.455752e+00	1.729896e-01	1.019219e-02	1.019219e-02
3.455752e+00	3.518584e+00	1.642103e-01	9.919756e-03	9.919756e-03
3.518584e+00	3.581416e+00	1.696320e-01	1.008426e-02	1.008426e-02
3.581416e+00	3.644247e+00	1.578533e-01	9.733510e-03	9.733510e-03
3.644247e+00	3.707079e+00	1.531172e-01	9.582008e-03	9.582008e-03
3.707079e+00	3.769911e+00	1.546398e-01	9.638769e-03	9.638769e-03
3.769911e+00	3.832743e+00	1.346632e-01	8.990985e-03	8.990985e-03
3.832743e+00	3.895575e+00	1.471324e-01	9.389320e-03	9.389320e-03
3.895575e+00	3.958407e+00	1.583722e-01	9.752033e-03	9.752033e-03
3.958407e+00	4.021239e+00	1.548272e-01	9.638972e-03	9.638972e-03
4.021239e+00	4.084070e+00	1.509306e-01	9.524333e-03	9.524333e-03
4.084070e+00	4.146902e+00	1.727814e-01	1.019198e-02	1.019198e-02
4.146902e+00	4.209734e+00	1.737826e-01	1.022759e-02	1.022759e-02
4.209734e+00	4.272566e+00	1.533887e-01	9.600710e-03	9.600710e-03
4.272566e+00	4.335398e+00	1.529922e-01	9.581873e-03	9.581873e-03
4.335398e+00	4.398230e+00	1.550155e-01	9.657474e-03	9.657474e-03
4.398230e+00	4.461062e+00	1.789536e-01	1.036995e-02	1.036995e-02
4.461062e+00	4.523893e+00	1.613360e-01	9.845424e-03	9.845424e-03
4.523893e+00	4.586725e+00	1.662336e-01	9.992801e-03	9.992801e-03
4.586725e+00	4.649557e+00	1.605621e-01	9.826501e-03	9.826501e-03
4.649557e+00	4.712389e+00	1.633349e-01	9.901022e-03	9.901022e-03
