# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/PhiCh
ScaledBy=1.00000000000000000e+00
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.971954e+01	1.655801e+00	1.655801e+00
6.283185e-02	1.256637e-01	1.723943e+01	1.545781e+00	1.545781e+00
1.256637e-01	1.884956e-01	1.997046e+01	1.667540e+00	1.667540e+00
1.884956e-01	2.513274e-01	1.562319e+01	1.474349e+00	1.474349e+00
2.513274e-01	3.141593e-01	1.788122e+01	1.577039e+00	1.577039e+00
3.141593e-01	3.769911e-01	1.418518e+01	1.399580e+00	1.399580e+00
3.769911e-01	4.398230e-01	1.610556e+01	1.494234e+00	1.494234e+00
4.398230e-01	5.026548e-01	1.998494e+01	1.667563e+00	1.667563e+00
5.026548e-01	5.654867e-01	1.467741e+01	1.427168e+00	1.427168e+00
5.654867e-01	6.283185e-01	1.550253e+01	1.467725e+00	1.467725e+00
6.283185e-01	6.911504e-01	1.775576e+01	1.570841e+00	1.570841e+00
6.911504e-01	7.539822e-01	1.538188e+01	1.461072e+00	1.461072e+00
7.539822e-01	8.168141e-01	1.819480e+01	1.589457e+00	1.589457e+00
8.168141e-01	8.796459e-01	1.527086e+01	1.454404e+00	1.454404e+00
8.796459e-01	9.424778e-01	1.677146e+01	1.526587e+00	1.526587e+00
9.424778e-01	1.005310e+00	1.640942e+01	1.507311e+00	1.507311e+00
1.005310e+00	1.068142e+00	1.700793e+01	1.539288e+00	1.539288e+00
1.068142e+00	1.130973e+00	1.622645e+01	1.500762e+00	1.500762e+00
1.130973e+00	1.193805e+00	1.746142e+01	1.558303e+00	1.558303e+00
1.193805e+00	1.256637e+00	1.755777e+01	1.558452e+00	1.558452e+00
1.256637e+00	1.319469e+00	1.524191e+01	1.454352e+00	1.454352e+00
1.319469e+00	1.382301e+00	1.484622e+01	1.434057e+00	1.434057e+00
1.382301e+00	1.445133e+00	1.705610e+01	1.539364e+00	1.539364e+00
1.445133e+00	1.507964e+00	1.674280e+01	1.526563e+00	1.526563e+00
1.507964e+00	1.570796e+00	1.804522e+01	1.583268e+00	1.583268e+00
1.570796e+00	1.633628e+00	1.593670e+01	1.487619e+00	1.487619e+00
1.633628e+00	1.696460e+00	2.068931e+01	1.696664e+00	1.696664e+00
