# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/RapidityCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/RapidityCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyGeneralAnalysis/RapidityCh
ScaledBy=9.28245628553509006e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.900000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.300000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.100000e+00	8.160882e-04	8.160882e-04	8.160882e-04
-4.100000e+00	-4.000000e+00	8.160882e-04	8.160882e-04	8.160882e-04
-4.000000e+00	-3.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.900000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.700000e+00	1.632176e-03	1.154123e-03	1.154123e-03
-3.700000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.500000e+00	-3.400000e+00	1.632176e-03	1.154123e-03	1.154123e-03
-3.400000e+00	-3.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.300000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.100000e+00	4.108539e-03	1.825045e-03	1.825045e-03
-3.100000e+00	-3.000000e+00	8.160882e-03	2.580697e-03	2.580697e-03
-3.000000e+00	-2.900000e+00	2.476363e-03	1.413785e-03	1.413785e-03
-2.900000e+00	-2.800000e+00	3.292451e-03	1.632418e-03	1.632418e-03
-2.800000e+00	-2.700000e+00	5.768813e-03	2.159532e-03	2.159532e-03
-2.700000e+00	-2.600000e+00	9.849254e-03	2.827292e-03	2.827292e-03
-2.600000e+00	-2.500000e+00	1.387350e-02	3.364818e-03	3.364818e-03
-2.500000e+00	-2.400000e+00	1.637796e-02	3.649874e-03	3.649874e-03
-2.400000e+00	-2.300000e+00	1.077773e-02	2.943252e-03	2.943252e-03
-2.300000e+00	-2.200000e+00	2.290666e-02	4.318516e-03	4.318516e-03
-2.200000e+00	-2.100000e+00	2.211867e-02	4.240798e-03	4.240798e-03
-2.100000e+00	-2.000000e+00	3.776484e-02	5.535550e-03	5.535550e-03
-2.000000e+00	-1.900000e+00	3.689256e-02	5.474918e-03	5.474918e-03
-1.900000e+00	-1.800000e+00	4.358985e-02	5.942009e-03	5.942009e-03
-1.800000e+00	-1.700000e+00	6.492053e-02	7.254421e-03	7.254421e-03
-1.700000e+00	-1.600000e+00	6.990136e-02	7.524958e-03	7.524958e-03
-1.600000e+00	-1.500000e+00	7.845561e-02	7.955881e-03	7.955881e-03
-1.500000e+00	-1.400000e+00	8.242366e-02	8.162284e-03	8.162284e-03
