# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyHAnalysis/H_S
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyHAnalysis/H_S
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyHAnalysis/H_S
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyHAnalysis/H_S
ScaledBy=1.96289088149755986e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.748524e-01	2.444150e-01	2.444150e-01
1.000000e-02	2.000000e-02	5.771328e-01	2.994934e-01	2.994934e-01
2.000000e-02	3.000000e-02	4.159178e-02	1.572022e-02	1.572022e-02
3.000000e-02	4.000000e-02	1.136441e+00	4.234226e-01	4.234226e-01
4.000000e-02	5.000000e-02	9.460435e-01	3.865226e-01	3.865226e-01
5.000000e-02	6.000000e-02	7.853549e-01	3.459613e-01	3.459613e-01
6.000000e-02	7.000000e-02	2.356328e+00	6.227560e-01	6.227560e-01
7.000000e-02	8.000000e-02	1.255537e+00	4.568918e-01	4.568918e-01
8.000000e-02	9.000000e-02	2.320678e+00	6.225859e-01	6.225859e-01
9.000000e-02	1.000000e-01	2.844335e+00	6.906459e-01	6.906459e-01
1.000000e-01	1.100000e-01	2.290969e+00	6.224441e-01	6.224441e-01
1.100000e-01	1.200000e-01	2.130281e+00	5.981022e-01	5.981022e-01
1.200000e-01	1.300000e-01	1.785137e+00	5.460440e-01	5.460440e-01
1.300000e-01	1.400000e-01	2.862161e+00	6.907226e-01	6.907226e-01
1.400000e-01	1.500000e-01	1.404343e+00	4.882520e-01	4.882520e-01
1.500000e-01	1.600000e-01	2.784919e+00	6.903903e-01	6.903903e-01
1.600000e-01	1.700000e-01	2.296911e+00	6.224724e-01	6.224724e-01
1.700000e-01	1.800000e-01	2.112456e+00	5.980135e-01	5.980135e-01
1.800000e-01	1.900000e-01	2.784919e+00	6.903903e-01	6.903903e-01
1.900000e-01	2.000000e-01	1.416226e+00	4.883243e-01	4.883243e-01
2.000000e-01	2.100000e-01	1.416226e+00	4.883243e-01	4.883243e-01
2.100000e-01	2.200000e-01	2.618288e+00	6.685005e-01	6.685005e-01
2.200000e-01	2.300000e-01	2.975316e+00	7.117062e-01	7.117062e-01
2.300000e-01	2.400000e-01	1.928000e+00	5.725107e-01	5.725107e-01
2.400000e-01	2.500000e-01	2.439775e+00	6.458146e-01	6.458146e-01
2.500000e-01	2.600000e-01	1.565031e+00	5.177841e-01	5.177841e-01
2.600000e-01	2.700000e-01	2.088689e+00	5.978955e-01	5.978955e-01
2.700000e-01	2.800000e-01	2.273144e+00	6.223590e-01	6.223590e-01
2.800000e-01	2.900000e-01	3.124121e+00	7.322333e-01	7.322333e-01
2.900000e-01	3.000000e-01	1.743545e+00	5.458176e-01	5.458176e-01
3.000000e-01	3.100000e-01	2.784919e+00	6.903903e-01	6.903903e-01
3.100000e-01	3.200000e-01	1.570973e+00	5.178183e-01	5.178183e-01
3.200000e-01	3.300000e-01	1.743545e+00	5.458176e-01	5.458176e-01
3.300000e-01	3.400000e-01	1.737603e+00	5.457852e-01	5.457852e-01
3.400000e-01	3.500000e-01	2.249378e+00	6.222455e-01	6.222455e-01
3.500000e-01	3.600000e-01	1.910175e+00	5.724182e-01	5.724182e-01
3.600000e-01	3.700000e-01	1.208004e+00	4.565826e-01	4.565826e-01
3.700000e-01	3.800000e-01	1.559090e+00	5.177500e-01	5.177500e-01
3.800000e-01	3.900000e-01	2.243436e+00	6.222172e-01	6.222172e-01
3.900000e-01	4.000000e-01	2.255319e+00	6.222739e-01	6.222739e-01
4.000000e-01	4.100000e-01	1.553148e+00	5.177159e-01	5.177159e-01
4.100000e-01	4.200000e-01	1.208004e+00	4.565826e-01	4.565826e-01
4.200000e-01	4.300000e-01	1.208004e+00	4.565826e-01	4.565826e-01
4.300000e-01	4.400000e-01	8.688017e-01	3.859285e-01	3.859285e-01
4.400000e-01	4.500000e-01	7.021713e-01	3.452463e-01	3.452463e-01
4.500000e-01	4.600000e-01	1.386518e+00	4.881435e-01	4.881435e-01
4.600000e-01	4.700000e-01	1.208004e+00	4.565826e-01	4.565826e-01
4.700000e-01	4.800000e-01	1.035432e+00	4.227134e-01	4.227134e-01
4.800000e-01	4.900000e-01	5.236577e-01	2.989625e-01	2.989625e-01
4.900000e-01	5.000000e-01	1.553148e+00	5.177159e-01	5.177159e-01
5.000000e-01	5.100000e-01	1.380576e+00	4.881073e-01	4.881073e-01
5.100000e-01	5.200000e-01	3.451440e-01	2.440537e-01	2.440537e-01
5.200000e-01	5.300000e-01	1.035432e+00	4.227134e-01	4.227134e-01
5.300000e-01	5.400000e-01	8.628600e-01	3.858828e-01	3.858828e-01
5.400000e-01	5.500000e-01	1.785137e-01	1.726743e-01	1.726743e-01
5.500000e-01	5.600000e-01	6.962297e-01	3.451952e-01	3.451952e-01
5.600000e-01	5.700000e-01	6.902880e-01	3.451440e-01	3.451440e-01
5.700000e-01	5.800000e-01	6.962297e-01	3.451952e-01	3.451952e-01
5.800000e-01	5.900000e-01	5.177160e-01	2.989035e-01	2.989035e-01
5.900000e-01	6.000000e-01	3.451440e-01	2.440537e-01	2.440537e-01
6.000000e-01	6.100000e-01	3.451440e-01	2.440537e-01	2.440537e-01
6.100000e-01	6.200000e-01	5.236577e-01	2.989625e-01	2.989625e-01
6.200000e-01	6.300000e-01	5.177160e-01	2.989035e-01	2.989035e-01
6.300000e-01	6.400000e-01	1.053257e+00	4.228386e-01	4.228386e-01
6.400000e-01	6.500000e-01	1.725720e-01	1.725720e-01	1.725720e-01
6.500000e-01	6.600000e-01	5.177160e-01	2.989035e-01	2.989035e-01
6.600000e-01	6.700000e-01	6.902880e-01	3.451440e-01	3.451440e-01
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	1.725720e-01	1.725720e-01	1.725720e-01
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	1.725720e-01	1.725720e-01	1.725720e-01
7.100000e-01	7.200000e-01	3.451440e-01	2.440537e-01	2.440537e-01
7.200000e-01	7.300000e-01	1.725720e-01	1.725720e-01	1.725720e-01
7.300000e-01	7.400000e-01	3.451440e-01	2.440537e-01	2.440537e-01
7.400000e-01	7.500000e-01	3.451440e-01	2.440537e-01	2.440537e-01
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	1.725720e-01	1.725720e-01	1.725720e-01
7.800000e-01	7.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	1.725720e-01	1.725720e-01	1.725720e-01
8.000000e-01	8.100000e-01	1.725720e-01	1.725720e-01	1.725720e-01
8.100000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.600000e-01	1.725720e-01	1.725720e-01	1.725720e-01
8.600000e-01	8.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	8.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e-01	9.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
