# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/E
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/E
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/E
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/E
ScaledBy=4.25368052798861177e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.120375e-01	1.009764e-04	1.009764e-04
1.500000e+00	3.000000e+00	1.068637e-01	5.145367e-05	5.145367e-05
3.000000e+00	4.500000e+00	4.733029e-02	3.425597e-05	3.425597e-05
4.500000e+00	6.000000e+00	2.647399e-02	2.562854e-05	2.562854e-05
6.000000e+00	7.500000e+00	1.655913e-02	2.027379e-05	2.027379e-05
7.500000e+00	9.000000e+00	1.112637e-02	1.662045e-05	1.662045e-05
9.000000e+00	1.050000e+01	7.830913e-03	1.394353e-05	1.394353e-05
1.050000e+01	1.200000e+01	5.747613e-03	1.194386e-05	1.194386e-05
1.200000e+01	1.350000e+01	4.342801e-03	1.038012e-05	1.038012e-05
1.350000e+01	1.500000e+01	3.409316e-03	9.194486e-06	9.194486e-06
1.500000e+01	1.650000e+01	2.724058e-03	8.216247e-06	8.216247e-06
1.650000e+01	1.800000e+01	2.236506e-03	7.442738e-06	7.442738e-06
1.800000e+01	1.950000e+01	1.868963e-03	6.802078e-06	6.802078e-06
1.950000e+01	2.100000e+01	1.569324e-03	6.231512e-06	6.231512e-06
2.100000e+01	2.250000e+01	1.358291e-03	5.796249e-06	5.796249e-06
2.250000e+01	2.400000e+01	1.182375e-03	5.406464e-06	5.406464e-06
2.400000e+01	2.550000e+01	1.063475e-03	5.124993e-06	5.124993e-06
2.550000e+01	2.700000e+01	9.596020e-04	4.862967e-06	4.862967e-06
2.700000e+01	2.850000e+01	8.878673e-04	4.672274e-06	4.672274e-06
2.850000e+01	3.000000e+01	8.181547e-04	4.479286e-06	4.479286e-06
3.000000e+01	3.150000e+01	7.650267e-04	4.326271e-06	4.326271e-06
3.150000e+01	3.300000e+01	7.203647e-04	4.192989e-06	4.192989e-06
3.300000e+01	3.450000e+01	6.857160e-04	4.086902e-06	4.086902e-06
3.450000e+01	3.600000e+01	6.372452e-04	3.935455e-06	3.935455e-06
3.600000e+01	3.750000e+01	5.990064e-04	3.810736e-06	3.810736e-06
3.750000e+01	3.900000e+01	5.615359e-04	3.685713e-06	3.685713e-06
3.900000e+01	4.050000e+01	5.186788e-04	3.537879e-06	3.537879e-06
4.050000e+01	4.200000e+01	4.908315e-04	3.439141e-06	3.439141e-06
4.200000e+01	4.350000e+01	4.577821e-04	3.317693e-06	3.317693e-06
4.350000e+01	4.500000e+01	4.326151e-04	3.221786e-06	3.221786e-06
4.500000e+01	4.650000e+01	4.062188e-04	3.118246e-06	3.118246e-06
4.650000e+01	4.800000e+01	3.843645e-04	3.030470e-06	3.030470e-06
4.800000e+01	4.950000e+01	3.593307e-04	2.925488e-06	2.925488e-06
4.950000e+01	5.100000e+01	3.426423e-04	2.853951e-06	2.853951e-06
5.100000e+01	5.250000e+01	3.186181e-04	2.747844e-06	2.747844e-06
5.250000e+01	5.400000e+01	2.975872e-04	2.651008e-06	2.651008e-06
5.400000e+01	5.550000e+01	2.834273e-04	2.584490e-06	2.584490e-06
5.550000e+01	5.700000e+01	2.589858e-04	2.466382e-06	2.466382e-06
5.700000e+01	5.850000e+01	2.374324e-04	2.355756e-06	2.355756e-06
5.850000e+01	6.000000e+01	2.136685e-04	2.229848e-06	2.229848e-06
6.000000e+01	6.150000e+01	1.989409e-04	2.149391e-06	2.149391e-06
6.150000e+01	6.300000e+01	1.701846e-04	1.978837e-06	1.978837e-06
6.300000e+01	6.450000e+01	1.591323e-04	1.911448e-06	1.911448e-06
6.450000e+01	6.600000e+01	1.384839e-04	1.775603e-06	1.775603e-06
6.600000e+01	6.750000e+01	1.201288e-04	1.648299e-06	1.648299e-06
6.750000e+01	6.900000e+01	1.039769e-04	1.526733e-06	1.526733e-06
6.900000e+01	7.050000e+01	8.923993e-05	1.406827e-06	1.406827e-06
