# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/Rapidity
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/Rapidity
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/Rapidity
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/Rapidity
ScaledBy=4.25368052798861177e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	4.904126e-05	4.264577e-06	4.264577e-06
-4.900000e+00	-4.800000e+00	6.887408e-05	5.046193e-06	5.046193e-06
-4.800000e+00	-4.700000e+00	8.407817e-05	5.585379e-06	5.585379e-06
-4.700000e+00	-4.600000e+00	1.022348e-04	6.157284e-06	6.157284e-06
-4.600000e+00	-4.500000e+00	1.186896e-04	6.638205e-06	6.638205e-06
-4.500000e+00	-4.400000e+00	1.442093e-04	7.310406e-06	7.310406e-06
-4.400000e+00	-4.300000e+00	1.902851e-04	8.405069e-06	8.405069e-06
-4.300000e+00	-4.200000e+00	2.256181e-04	9.146520e-06	9.146520e-06
-4.200000e+00	-4.100000e+00	2.887158e-04	1.035171e-05	1.035171e-05
-4.100000e+00	-4.000000e+00	3.391751e-04	1.121463e-05	1.121463e-05
-4.000000e+00	-3.900000e+00	4.510823e-04	1.294027e-05	1.294027e-05
-3.900000e+00	-3.800000e+00	5.292670e-04	1.401466e-05	1.401466e-05
-3.800000e+00	-3.700000e+00	7.128335e-04	1.626464e-05	1.626464e-05
-3.700000e+00	-3.600000e+00	8.516778e-04	1.777318e-05	1.777318e-05
-3.600000e+00	-3.500000e+00	1.049366e-03	1.973822e-05	1.973822e-05
-3.500000e+00	-3.400000e+00	1.368438e-03	2.254073e-05	2.254073e-05
-3.400000e+00	-3.300000e+00	1.662555e-03	2.483269e-05	2.483269e-05
-3.300000e+00	-3.200000e+00	2.034975e-03	2.747748e-05	2.747748e-05
-3.200000e+00	-3.100000e+00	2.529205e-03	3.063352e-05	3.063352e-05
-3.100000e+00	-3.000000e+00	3.238403e-03	3.466539e-05	3.466539e-05
-3.000000e+00	-2.900000e+00	3.970000e-03	3.838608e-05	3.838608e-05
-2.900000e+00	-2.800000e+00	4.972801e-03	4.296369e-05	4.296369e-05
-2.800000e+00	-2.700000e+00	6.053447e-03	4.739207e-05	4.739207e-05
-2.700000e+00	-2.600000e+00	7.606525e-03	5.313487e-05	5.313487e-05
-2.600000e+00	-2.500000e+00	9.572112e-03	5.960810e-05	5.960810e-05
-2.500000e+00	-2.400000e+00	1.170388e-02	6.590458e-05	6.590458e-05
-2.400000e+00	-2.300000e+00	1.475366e-02	7.399702e-05	7.399702e-05
-2.300000e+00	-2.200000e+00	1.817250e-02	8.212589e-05	8.212589e-05
-2.200000e+00	-2.100000e+00	2.249510e-02	9.137631e-05	9.137631e-05
-2.100000e+00	-2.000000e+00	2.768944e-02	1.013773e-04	1.013773e-04
-2.000000e+00	-1.900000e+00	3.442744e-02	1.130432e-04	1.130432e-04
-1.900000e+00	-1.800000e+00	4.223960e-02	1.252099e-04	1.252099e-04
-1.800000e+00	-1.700000e+00	5.190578e-02	1.388011e-04	1.388011e-04
-1.700000e+00	-1.600000e+00	6.351868e-02	1.535461e-04	1.535461e-04
-1.600000e+00	-1.500000e+00	7.707255e-02	1.691323e-04	1.691323e-04
-1.500000e+00	-1.400000e+00	9.400850e-02	1.867971e-04	1.867971e-04
-1.400000e+00	-1.300000e+00	1.136840e-01	2.054205e-04	2.054205e-04
-1.300000e+00	-1.200000e+00	1.359003e-01	2.245907e-04	2.245907e-04
-1.200000e+00	-1.100000e+00	1.621051e-01	2.452941e-04	2.452941e-04
-1.100000e+00	-1.000000e+00	1.925662e-01	2.673599e-04	2.673599e-04
-1.000000e+00	-9.000000e-01	2.254048e-01	2.892605e-04	2.892605e-04
-9.000000e-01	-8.000000e-01	2.617354e-01	3.116980e-04	3.116980e-04
-8.000000e-01	-7.000000e-01	3.016373e-01	3.346244e-04	3.346244e-04
-7.000000e-01	-6.000000e-01	3.423541e-01	3.564939e-04	3.564939e-04
-6.000000e-01	-5.000000e-01	3.823860e-01	3.767628e-04	3.767628e-04
-5.000000e-01	-4.000000e-01	4.217208e-01	3.956749e-04	3.956749e-04
-4.000000e-01	-3.000000e-01	4.560444e-01	4.114619e-04	4.114619e-04
-3.000000e-01	-2.000000e-01	4.833270e-01	4.235934e-04	4.235934e-04
-2.000000e-01	-1.000000e-01	5.036084e-01	4.323937e-04	4.323937e-04
-1.000000e-01	0.000000e+00	5.147596e-01	4.371562e-04	4.371562e-04
0.000000e+00	1.000000e-01	5.150137e-01	4.372615e-04	4.372615e-04
1.000000e-01	2.000000e-01	5.037426e-01	4.324522e-04	4.324522e-04
2.000000e-01	3.000000e-01	4.827088e-01	4.233174e-04	4.233174e-04
3.000000e-01	4.000000e-01	4.545706e-01	4.107959e-04	4.107959e-04
4.000000e-01	5.000000e-01	4.196637e-01	3.946953e-04	3.946953e-04
5.000000e-01	6.000000e-01	3.816098e-01	3.763773e-04	3.763773e-04
6.000000e-01	7.000000e-01	3.416816e-01	3.561444e-04	3.561444e-04
7.000000e-01	8.000000e-01	3.015388e-01	3.345643e-04	3.345643e-04
8.000000e-01	9.000000e-01	2.617617e-01	3.117093e-04	3.117093e-04
9.000000e-01	1.000000e+00	2.253296e-01	2.892077e-04	2.892077e-04
1.000000e+00	1.100000e+00	1.919403e-01	2.669113e-04	2.669113e-04
1.100000e+00	1.200000e+00	1.626239e-01	2.456900e-04	2.456900e-04
1.200000e+00	1.300000e+00	1.359031e-01	2.245938e-04	2.245938e-04
1.300000e+00	1.400000e+00	1.128974e-01	2.047014e-04	2.047014e-04
1.400000e+00	1.500000e+00	9.315304e-02	1.859375e-04	1.859375e-04
1.500000e+00	1.600000e+00	7.728067e-02	1.693620e-04	1.693620e-04
1.600000e+00	1.700000e+00	6.339787e-02	1.533984e-04	1.533984e-04
1.700000e+00	1.800000e+00	5.140202e-02	1.381174e-04	1.381174e-04
1.800000e+00	1.900000e+00	4.222401e-02	1.251870e-04	1.251870e-04
1.900000e+00	2.000000e+00	3.424334e-02	1.127336e-04	1.127336e-04
2.000000e+00	2.100000e+00	2.785886e-02	1.016833e-04	1.016833e-04
2.100000e+00	2.200000e+00	2.254263e-02	9.146459e-05	9.146459e-05
2.200000e+00	2.300000e+00	1.818107e-02	8.213971e-05	8.213971e-05
2.300000e+00	2.400000e+00	1.465158e-02	7.373767e-05	7.373767e-05
2.400000e+00	2.500000e+00	1.198513e-02	6.669771e-05	6.669771e-05
2.500000e+00	2.600000e+00	9.654167e-03	5.986561e-05	5.986561e-05
2.600000e+00	2.700000e+00	7.576439e-03	5.302691e-05	5.302691e-05
2.700000e+00	2.800000e+00	6.235702e-03	4.810950e-05	4.810950e-05
2.800000e+00	2.900000e+00	4.910772e-03	4.268951e-05	4.268951e-05
2.900000e+00	3.000000e+00	3.977673e-03	3.842253e-05	3.842253e-05
3.000000e+00	3.100000e+00	3.195900e-03	3.443860e-05	3.443860e-05
3.100000e+00	3.200000e+00	2.522113e-03	3.059233e-05	3.059233e-05
3.200000e+00	3.300000e+00	2.002440e-03	2.725517e-05	2.725517e-05
3.300000e+00	3.400000e+00	1.565169e-03	2.409778e-05	2.409778e-05
3.400000e+00	3.500000e+00	1.338170e-03	2.227894e-05	2.227894e-05
3.500000e+00	3.600000e+00	1.034845e-03	1.959270e-05	1.959270e-05
3.600000e+00	3.700000e+00	8.632200e-04	1.789849e-05	1.789849e-05
3.700000e+00	3.800000e+00	6.716451e-04	1.578461e-05	1.578461e-05
3.800000e+00	3.900000e+00	5.659029e-04	1.449073e-05	1.449073e-05
3.900000e+00	4.000000e+00	4.306555e-04	1.263964e-05	1.263964e-05
4.000000e+00	4.100000e+00	3.518387e-04	1.142464e-05	1.142464e-05
4.100000e+00	4.200000e+00	2.790950e-04	1.016799e-05	1.016799e-05
4.200000e+00	4.300000e+00	2.376367e-04	9.388017e-06	9.388017e-06
4.300000e+00	4.400000e+00	1.890467e-04	8.371922e-06	8.371922e-06
4.400000e+00	4.500000e+00	1.579561e-04	7.656076e-06	7.656076e-06
4.500000e+00	4.600000e+00	1.376715e-04	7.145780e-06	7.145780e-06
4.600000e+00	4.700000e+00	9.693485e-05	5.996111e-06	5.996111e-06
4.700000e+00	4.800000e+00	7.328449e-05	5.209733e-06	5.209733e-06
4.800000e+00	4.900000e+00	6.937738e-05	5.073521e-06	5.073521e-06
4.900000e+00	5.000000e+00	5.741028e-05	4.611427e-06	4.611427e-06
# END HISTO1D

