# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/E
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/E
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/E
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/E
ScaledBy=1.67487664279637235e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.262798e-01	7.043503e-05	7.043503e-05
1.500000e+00	3.000000e+00	1.108159e-01	3.591223e-05	3.591223e-05
3.000000e+00	4.500000e+00	4.853761e-02	2.376734e-05	2.376734e-05
4.500000e+00	6.000000e+00	2.671741e-02	1.763350e-05	1.763350e-05
6.000000e+00	7.500000e+00	1.642066e-02	1.382409e-05	1.382409e-05
7.500000e+00	9.000000e+00	1.073609e-02	1.117801e-05	1.117801e-05
9.000000e+00	1.050000e+01	7.333280e-03	9.238266e-06	9.238266e-06
1.050000e+01	1.200000e+01	5.148283e-03	7.740563e-06	7.740563e-06
1.200000e+01	1.350000e+01	3.700687e-03	6.562699e-06	6.562699e-06
1.350000e+01	1.500000e+01	2.696889e-03	5.602383e-06	5.602383e-06
1.500000e+01	1.650000e+01	1.992073e-03	4.814973e-06	4.814973e-06
1.650000e+01	1.800000e+01	1.488457e-03	4.162070e-06	4.162070e-06
1.800000e+01	1.950000e+01	1.124719e-03	3.617956e-06	3.617956e-06
1.950000e+01	2.100000e+01	8.571820e-04	3.158478e-06	3.158478e-06
2.100000e+01	2.250000e+01	6.513154e-04	2.753195e-06	2.753195e-06
2.250000e+01	2.400000e+01	4.974711e-04	2.406164e-06	2.406164e-06
2.400000e+01	2.550000e+01	3.833362e-04	2.112182e-06	2.112182e-06
2.550000e+01	2.700000e+01	2.967835e-04	1.858494e-06	1.858494e-06
2.700000e+01	2.850000e+01	2.261867e-04	1.622463e-06	1.622463e-06
2.850000e+01	3.000000e+01	1.741877e-04	1.423803e-06	1.423803e-06
3.000000e+01	3.150000e+01	1.363521e-04	1.259715e-06	1.259715e-06
3.150000e+01	3.300000e+01	1.049176e-04	1.105008e-06	1.105008e-06
3.300000e+01	3.450000e+01	8.152500e-05	9.740621e-07	9.740621e-07
3.450000e+01	3.600000e+01	6.177511e-05	8.479067e-07	8.479067e-07
3.600000e+01	3.750000e+01	4.819343e-05	7.489195e-07	7.489195e-07
3.750000e+01	3.900000e+01	3.647385e-05	6.515265e-07	6.515265e-07
3.900000e+01	4.050000e+01	2.876942e-05	5.786378e-07	5.786378e-07
4.050000e+01	4.200000e+01	2.265941e-05	5.135297e-07	5.135297e-07
4.200000e+01	4.350000e+01	1.707311e-05	4.457565e-07	4.457565e-07
4.350000e+01	4.500000e+01	1.294158e-05	3.880923e-07	3.880923e-07
4.500000e+01	4.650000e+01	9.834207e-06	3.383070e-07	3.383070e-07
4.650000e+01	4.800000e+01	6.982867e-06	2.850744e-07	2.850744e-07
4.800000e+01	4.950000e+01	5.679399e-06	2.570944e-07	2.570944e-07
4.950000e+01	5.100000e+01	4.178083e-06	2.205108e-07	2.205108e-07
5.100000e+01	5.250000e+01	2.758233e-06	1.791665e-07	1.791665e-07
5.250000e+01	5.400000e+01	2.583661e-06	1.734040e-07	1.734040e-07
5.400000e+01	5.550000e+01	1.675889e-06	1.396574e-07	1.396574e-07
5.550000e+01	5.700000e+01	1.361659e-06	1.258855e-07	1.258855e-07
5.700000e+01	5.850000e+01	6.982867e-07	9.014845e-08	9.014845e-08
5.850000e+01	6.000000e+01	5.469913e-07	7.978688e-08	7.978688e-08
6.000000e+01	6.150000e+01	4.422483e-07	7.174216e-08	7.174216e-08
6.150000e+01	6.300000e+01	2.676766e-07	5.581443e-08	5.581443e-08
6.300000e+01	6.450000e+01	2.094861e-07	4.937633e-08	4.937633e-08
6.450000e+01	6.600000e+01	1.163811e-07	3.680295e-08	3.680295e-08
6.600000e+01	6.750000e+01	9.310493e-08	3.291755e-08	3.291755e-08
6.750000e+01	6.900000e+01	4.655245e-08	2.327623e-08	2.327623e-08
6.900000e+01	7.050000e+01	5.819057e-08	2.602361e-08	2.602361e-08
7.050000e+01	7.200000e+01	5.819057e-08	2.602361e-08	2.602361e-08
7.200000e+01	7.350000e+01	1.163811e-08	1.163811e-08	1.163811e-08
7.350000e+01	7.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+01	7.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.650000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	7.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.950000e+01	8.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+01	8.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.250000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.550000e+01	8.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+01	8.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.850000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.150000e+01	9.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+01	9.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.450000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.750000e+01	9.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+01	1.005000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.005000e+02	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.035000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.035000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.065000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.065000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.095000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.095000e+02	1.110000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+02	1.125000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.155000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.155000e+02	1.170000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+02	1.185000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.185000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.215000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.215000e+02	1.230000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+02	1.245000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.245000e+02	1.260000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+02	1.275000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+02	1.290000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.290000e+02	1.305000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.305000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.335000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.335000e+02	1.350000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+02	1.365000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.365000e+02	1.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+02	1.395000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.395000e+02	1.410000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+02	1.425000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.425000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+02	1.455000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.455000e+02	1.470000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.470000e+02	1.485000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.485000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

