# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Pt
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Pt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Pt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/Pt
ScaledBy=4.58406468228226673e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.829906e-01	7.361567e-05	7.361567e-05
1.500000e+00	3.000000e+00	9.165853e-02	3.206915e-05	3.206915e-05
3.000000e+00	4.500000e+00	3.737293e-02	2.047763e-05	2.047763e-05
4.500000e+00	6.000000e+00	1.936417e-02	1.474010e-05	1.474010e-05
6.000000e+00	7.500000e+00	1.133179e-02	1.127587e-05	1.127587e-05
7.500000e+00	9.000000e+00	7.139447e-03	8.950223e-06	8.950223e-06
9.000000e+00	1.050000e+01	4.738085e-03	7.291261e-06	7.291261e-06
1.050000e+01	1.200000e+01	3.232249e-03	6.022179e-06	6.022179e-06
1.200000e+01	1.350000e+01	2.296367e-03	5.076000e-06	5.076000e-06
1.350000e+01	1.500000e+01	1.641281e-03	4.291345e-06	4.291345e-06
1.500000e+01	1.650000e+01	1.204046e-03	3.675556e-06	3.675556e-06
1.650000e+01	1.800000e+01	8.952867e-04	3.169441e-06	3.169441e-06
1.800000e+01	1.950000e+01	6.663401e-04	2.734327e-06	2.734327e-06
1.950000e+01	2.100000e+01	5.044433e-04	2.379080e-06	2.379080e-06
2.100000e+01	2.250000e+01	3.828934e-04	2.072725e-06	2.072725e-06
2.250000e+01	2.400000e+01	2.905622e-04	1.805606e-06	1.805606e-06
2.400000e+01	2.550000e+01	2.215537e-04	1.576665e-06	1.576665e-06
2.550000e+01	2.700000e+01	1.720057e-04	1.389223e-06	1.389223e-06
2.700000e+01	2.850000e+01	1.306951e-04	1.210971e-06	1.210971e-06
2.850000e+01	3.000000e+01	1.009263e-04	1.064152e-06	1.064152e-06
3.000000e+01	3.150000e+01	7.946340e-05	9.442556e-07	9.442556e-07
3.150000e+01	3.300000e+01	5.989329e-05	8.197642e-07	8.197642e-07
3.300000e+01	3.450000e+01	4.693523e-05	7.256969e-07	7.256969e-07
3.450000e+01	3.600000e+01	3.510849e-05	6.276384e-07	6.276384e-07
3.600000e+01	3.750000e+01	2.704138e-05	5.508338e-07	5.508338e-07
3.750000e+01	3.900000e+01	2.047676e-05	4.793247e-07	4.793247e-07
3.900000e+01	4.050000e+01	1.543961e-05	4.162242e-07	4.162242e-07
4.050000e+01	4.200000e+01	1.175941e-05	3.632497e-07	3.632497e-07
4.200000e+01	4.350000e+01	9.728367e-06	3.303929e-07	3.303929e-07
4.350000e+01	4.500000e+01	7.203653e-06	2.843056e-07	2.843056e-07
4.500000e+01	4.650000e+01	5.048959e-06	2.380102e-07	2.380102e-07
4.650000e+01	4.800000e+01	3.814840e-06	2.068888e-07	2.068888e-07
4.800000e+01	4.950000e+01	2.996158e-06	1.833621e-07	1.833621e-07
4.950000e+01	5.100000e+01	2.243984e-06	1.586737e-07	1.586737e-07
5.100000e+01	5.250000e+01	1.526227e-06	1.308732e-07	1.308732e-07
5.250000e+01	5.400000e+01	1.009809e-06	1.064432e-07	1.064432e-07
5.400000e+01	5.550000e+01	8.754647e-07	9.912735e-08	9.912735e-08
5.550000e+01	5.700000e+01	5.048959e-07	7.526543e-08	7.526543e-08
5.700000e+01	5.850000e+01	4.487963e-07	7.096093e-08	7.096093e-08
5.850000e+01	6.000000e+01	3.253773e-07	6.042105e-08	6.042105e-08
6.000000e+01	6.150000e+01	1.907385e-07	4.626086e-08	4.626086e-08
6.150000e+01	6.300000e+01	8.975927e-08	3.173469e-08	3.173469e-08
