# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/RapidityCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/RapidityCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/RapidityCh
ScaledBy=9.76222556591038401e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	6.451358e-06	1.520600e-06	1.520600e-06
-4.900000e+00	-4.800000e+00	9.318629e-06	1.827533e-06	1.827533e-06
-4.800000e+00	-4.700000e+00	9.677037e-06	1.862347e-06	1.862347e-06
-4.700000e+00	-4.600000e+00	1.218590e-05	2.089864e-06	2.089864e-06
-4.600000e+00	-4.500000e+00	1.469476e-05	2.294936e-06	2.294936e-06
-4.500000e+00	-4.400000e+00	2.616384e-05	3.062246e-06	3.062246e-06
-4.400000e+00	-4.300000e+00	4.766837e-05	4.133372e-06	4.133372e-06
-4.300000e+00	-4.200000e+00	5.268662e-05	4.345520e-06	4.345520e-06
-4.200000e+00	-4.100000e+00	6.988971e-05	5.004907e-06	5.004907e-06
-4.100000e+00	-4.000000e+00	9.677037e-05	5.889257e-06	5.889257e-06
-4.000000e+00	-3.900000e+00	1.372753e-04	7.014443e-06	7.014443e-06
-3.900000e+00	-3.800000e+00	1.881905e-04	8.213323e-06	8.213323e-06
-3.800000e+00	-3.700000e+00	2.473203e-04	9.415335e-06	9.415335e-06
-3.700000e+00	-3.600000e+00	3.448090e-04	1.111710e-05	1.111710e-05
-3.600000e+00	-3.500000e+00	4.211533e-04	1.228631e-05	1.228631e-05
-3.500000e+00	-3.400000e+00	5.584147e-04	1.414729e-05	1.414729e-05
-3.400000e+00	-3.300000e+00	7.784863e-04	1.670403e-05	1.670403e-05
-3.300000e+00	-3.200000e+00	1.054818e-03	1.944387e-05	1.944387e-05
-3.200000e+00	-3.100000e+00	1.353056e-03	2.202203e-05	2.202203e-05
-3.100000e+00	-3.000000e+00	1.775266e-03	2.522490e-05	2.522490e-05
-3.000000e+00	-2.900000e+00	2.333684e-03	2.892133e-05	2.892133e-05
-2.900000e+00	-2.800000e+00	3.097828e-03	3.332154e-05	3.332154e-05
-2.800000e+00	-2.700000e+00	4.046180e-03	3.808181e-05	3.808181e-05
-2.700000e+00	-2.600000e+00	5.285260e-03	4.352406e-05	4.352406e-05
-2.600000e+00	-2.500000e+00	6.783795e-03	4.930964e-05	4.930964e-05
-2.500000e+00	-2.400000e+00	8.818908e-03	5.622161e-05	5.622161e-05
-2.400000e+00	-2.300000e+00	1.137649e-02	6.385546e-05	6.385546e-05
-2.300000e+00	-2.200000e+00	1.472352e-02	7.264433e-05	7.264433e-05
-2.200000e+00	-2.100000e+00	1.860336e-02	8.165654e-05	8.165654e-05
-2.100000e+00	-2.000000e+00	2.369967e-02	9.216503e-05	9.216503e-05
-2.000000e+00	-1.900000e+00	2.967338e-02	1.031284e-04	1.031284e-04
-1.900000e+00	-1.800000e+00	3.727713e-02	1.155887e-04	1.155887e-04
-1.800000e+00	-1.700000e+00	4.690791e-02	1.296635e-04	1.296635e-04
-1.700000e+00	-1.600000e+00	5.827018e-02	1.445167e-04	1.445167e-04
-1.600000e+00	-1.500000e+00	7.212405e-02	1.607811e-04	1.607811e-04
-1.500000e+00	-1.400000e+00	8.884032e-02	1.784432e-04	1.784432e-04
-1.400000e+00	-1.300000e+00	1.085770e-01	1.972714e-04	1.972714e-04
-1.300000e+00	-1.200000e+00	1.321290e-01	2.176173e-04	2.176173e-04
-1.200000e+00	-1.100000e+00	1.591412e-01	2.388286e-04	2.388286e-04
-1.100000e+00	-1.000000e+00	1.899130e-01	2.608989e-04	2.608989e-04
-1.000000e+00	-9.000000e-01	2.249861e-01	2.839705e-04	2.839705e-04
-9.000000e-01	-8.000000e-01	2.633215e-01	3.072122e-04	3.072122e-04
-8.000000e-01	-7.000000e-01	3.041345e-01	3.301628e-04	3.301628e-04
-7.000000e-01	-6.000000e-01	3.467486e-01	3.525357e-04	3.525357e-04
-6.000000e-01	-5.000000e-01	3.899529e-01	3.738537e-04	3.738537e-04
-5.000000e-01	-4.000000e-01	4.299232e-01	3.925463e-04	3.925463e-04
-4.000000e-01	-3.000000e-01	4.670685e-01	4.091538e-04	4.091538e-04
-3.000000e-01	-2.000000e-01	4.968031e-01	4.219767e-04	4.219767e-04
-2.000000e-01	-1.000000e-01	5.183891e-01	4.310464e-04	4.310464e-04
-1.000000e-01	0.000000e+00	5.293757e-01	4.355901e-04	4.355901e-04
0.000000e+00	1.000000e-01	5.307178e-01	4.361421e-04	4.361421e-04
1.000000e-01	2.000000e-01	5.188236e-01	4.312270e-04	4.312270e-04
2.000000e-01	3.000000e-01	4.979184e-01	4.224499e-04	4.224499e-04
3.000000e-01	4.000000e-01	4.675713e-01	4.093738e-04	4.093738e-04
4.000000e-01	5.000000e-01	4.293925e-01	3.923045e-04	3.923045e-04
5.000000e-01	6.000000e-01	3.891971e-01	3.734914e-04	3.734914e-04
6.000000e-01	7.000000e-01	3.468324e-01	3.525784e-04	3.525784e-04
7.000000e-01	8.000000e-01	3.033780e-01	3.297522e-04	3.297522e-04
8.000000e-01	9.000000e-01	2.622093e-01	3.065627e-04	3.065627e-04
9.000000e-01	1.000000e+00	2.246837e-01	2.837794e-04	2.837794e-04
1.000000e+00	1.100000e+00	1.897921e-01	2.608159e-04	2.608159e-04
1.100000e+00	1.200000e+00	1.589523e-01	2.386865e-04	2.386865e-04
1.200000e+00	1.300000e+00	1.320015e-01	2.175124e-04	2.175124e-04
1.300000e+00	1.400000e+00	1.089516e-01	1.976110e-04	1.976110e-04
1.400000e+00	1.500000e+00	8.910103e-02	1.787046e-04	1.787046e-04
1.500000e+00	1.600000e+00	7.220284e-02	1.608688e-04	1.608688e-04
1.600000e+00	1.700000e+00	5.807878e-02	1.442792e-04	1.442792e-04
1.700000e+00	1.800000e+00	4.690105e-02	1.296540e-04	1.296540e-04
1.800000e+00	1.900000e+00	3.761342e-02	1.161091e-04	1.161091e-04
1.900000e+00	2.000000e+00	2.987110e-02	1.034712e-04	1.034712e-04
2.000000e+00	2.100000e+00	2.360137e-02	9.197348e-05	9.197348e-05
2.100000e+00	2.200000e+00	1.871898e-02	8.190957e-05	8.190957e-05
2.200000e+00	2.300000e+00	1.465175e-02	7.246687e-05	7.246687e-05
2.300000e+00	2.400000e+00	1.138513e-02	6.387979e-05	6.387979e-05
2.400000e+00	2.500000e+00	8.909142e-03	5.650822e-05	5.650822e-05
2.500000e+00	2.600000e+00	6.909532e-03	4.976427e-05	4.976427e-05
2.600000e+00	2.700000e+00	5.295256e-03	4.356503e-05	4.356503e-05
2.700000e+00	2.800000e+00	4.058374e-03	3.813919e-05	3.813919e-05
2.800000e+00	2.900000e+00	3.137940e-03	3.353641e-05	3.353641e-05
2.900000e+00	3.000000e+00	2.393482e-03	2.928917e-05	2.928917e-05
3.000000e+00	3.100000e+00	1.839037e-03	2.567376e-05	2.567376e-05
3.100000e+00	3.200000e+00	1.374153e-03	2.219264e-05	2.219264e-05
3.200000e+00	3.300000e+00	1.023270e-03	1.915081e-05	1.915081e-05
3.300000e+00	3.400000e+00	7.810028e-04	1.673109e-05	1.673109e-05
3.400000e+00	3.500000e+00	5.791947e-04	1.440801e-05	1.440801e-05
3.500000e+00	3.600000e+00	4.361982e-04	1.250370e-05	1.250370e-05
3.600000e+00	3.700000e+00	3.207761e-04	1.072236e-05	1.072236e-05
3.700000e+00	3.800000e+00	2.487527e-04	9.442532e-06	9.442532e-06
3.800000e+00	3.900000e+00	1.723946e-04	7.860518e-06	7.860518e-06
3.900000e+00	4.000000e+00	1.125404e-04	6.351020e-06	6.351020e-06
4.000000e+00	4.100000e+00	9.246947e-05	5.756898e-06	5.756898e-06
4.100000e+00	4.200000e+00	6.200472e-05	4.714132e-06	4.714132e-06
4.200000e+00	4.300000e+00	4.802678e-05	4.148882e-06	4.148882e-06
4.300000e+00	4.400000e+00	3.118156e-05	3.343015e-06	3.343015e-06
4.400000e+00	4.500000e+00	2.222135e-05	2.822114e-06	2.822114e-06
4.500000e+00	4.600000e+00	1.684521e-05	2.457127e-06	2.457127e-06
4.600000e+00	4.700000e+00	1.541158e-05	2.350244e-06	2.350244e-06
4.700000e+00	4.800000e+00	7.168176e-06	1.602853e-06	1.602853e-06
4.800000e+00	4.900000e+00	7.884993e-06	1.681086e-06	1.681086e-06
4.900000e+00	5.000000e+00	3.942497e-06	1.188707e-06	1.188707e-06
# END HISTO1D

