# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/H_BSum
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/H_BSum
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/H_BSum
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/H_BSum
ScaledBy=1.82123423145658342e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	5.720104e-04	2.558108e-04	2.558108e-04
3.000000e-02	4.000000e-02	4.084154e-02	2.161564e-03	2.161564e-03
4.000000e-02	5.000000e-02	2.365835e-01	5.202465e-03	5.202465e-03
5.000000e-02	6.000000e-02	5.526764e-01	7.951561e-03	7.951561e-03
6.000000e-02	7.000000e-02	9.226528e-01	1.027392e-02	1.027392e-02
7.000000e-02	8.000000e-02	1.318713e+00	1.228265e-02	1.228265e-02
8.000000e-02	9.000000e-02	1.683999e+00	1.387995e-02	1.387995e-02
9.000000e-02	1.000000e-01	2.108201e+00	1.553005e-02	1.553005e-02
1.000000e-01	1.100000e-01	2.535264e+00	1.703055e-02	1.703055e-02
1.100000e-01	1.200000e-01	3.011520e+00	1.856136e-02	1.856136e-02
1.200000e-01	1.300000e-01	3.490865e+00	1.998405e-02	1.998405e-02
1.300000e-01	1.400000e-01	4.091590e+00	2.163530e-02	2.163530e-02
1.400000e-01	1.500000e-01	4.688197e+00	2.315900e-02	2.315900e-02
1.500000e-01	1.600000e-01	5.423116e+00	2.490815e-02	2.490815e-02
1.600000e-01	1.700000e-01	6.346570e+00	2.694552e-02	2.694552e-02
1.700000e-01	1.800000e-01	7.827733e+00	2.992506e-02	2.992506e-02
1.800000e-01	1.900000e-01	1.035590e+01	3.442001e-02	3.442001e-02
1.900000e-01	2.000000e-01	1.377355e+01	3.969538e-02	3.969538e-02
2.000000e-01	2.100000e-01	1.060187e+01	3.482637e-02	3.482637e-02
2.100000e-01	2.200000e-01	5.924884e+00	2.603496e-02	2.603496e-02
2.200000e-01	2.300000e-01	3.661553e+00	2.046679e-02	2.046679e-02
2.300000e-01	2.400000e-01	2.561691e+00	1.711908e-02	1.711908e-02
2.400000e-01	2.500000e-01	1.909599e+00	1.478046e-02	1.478046e-02
2.500000e-01	2.600000e-01	1.455652e+00	1.290463e-02	1.290463e-02
2.600000e-01	2.700000e-01	1.171248e+00	1.157555e-02	1.157555e-02
2.700000e-01	2.800000e-01	9.446180e-01	1.039549e-02	1.039549e-02
2.800000e-01	2.900000e-01	7.679811e-01	9.373294e-03	9.373294e-03
2.900000e-01	3.000000e-01	6.355035e-01	8.526601e-03	8.526601e-03
3.000000e-01	3.100000e-01	5.244191e-01	7.745621e-03	7.745621e-03
3.100000e-01	3.200000e-01	4.205420e-01	6.936201e-03	6.936201e-03
3.200000e-01	3.300000e-01	3.545320e-01	6.368611e-03	6.368611e-03
3.300000e-01	3.400000e-01	2.836028e-01	5.696028e-03	5.696028e-03
3.400000e-01	3.500000e-01	1.952843e-01	4.726619e-03	4.726619e-03
3.500000e-01	3.600000e-01	1.116564e-01	3.574036e-03	3.574036e-03
