# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/Mult
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/Mult
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/Mult
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/Mult
ScaledBy=1.82123423145658342e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	1.600000e+01	1.144021e-06	1.144021e-06	1.144021e-06
1.600000e+01	1.700000e+01	2.288042e-06	1.617890e-06	1.617890e-06
1.700000e+01	1.800000e+01	2.288042e-06	1.617890e-06	1.617890e-06
1.800000e+01	1.900000e+01	9.152166e-06	3.235780e-06	3.235780e-06
1.900000e+01	2.000000e+01	2.860052e-05	5.720104e-06	5.720104e-06
2.000000e+01	2.100000e+01	4.804887e-05	7.414102e-06	7.414102e-06
2.100000e+01	2.200000e+01	1.144021e-04	1.144021e-05	1.144021e-05
2.200000e+01	2.300000e+01	2.322362e-04	1.629979e-05	1.629979e-05
