# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHbb/Analysis.yoda/MyAnalysis/PhiCh
ScaledBy=7.45393264114087856e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.577435e-01	3.428567e-04	3.428567e-04
6.283185e-02	1.256637e-01	1.582346e-01	3.433900e-04	3.433900e-04
1.256637e-01	1.884956e-01	1.588917e-01	3.441021e-04	3.441021e-04
1.884956e-01	2.513274e-01	1.596625e-01	3.449360e-04	3.449360e-04
2.513274e-01	3.141593e-01	1.594827e-01	3.447414e-04	3.447414e-04
3.141593e-01	3.769911e-01	1.588965e-01	3.441075e-04	3.441075e-04
3.769911e-01	4.398230e-01	1.594507e-01	3.447068e-04	3.447068e-04
4.398230e-01	5.026548e-01	1.583748e-01	3.435422e-04	3.435422e-04
5.026548e-01	5.654867e-01	1.593246e-01	3.445706e-04	3.445706e-04
5.654867e-01	6.283185e-01	1.587228e-01	3.439194e-04	3.439194e-04
6.283185e-01	6.911504e-01	1.589707e-01	3.441876e-04	3.441876e-04
6.911504e-01	7.539822e-01	1.590418e-01	3.442648e-04	3.442648e-04
7.539822e-01	8.168141e-01	1.590669e-01	3.442917e-04	3.442917e-04
8.168141e-01	8.796459e-01	1.590314e-01	3.442535e-04	3.442535e-04
8.796459e-01	9.424778e-01	1.593277e-01	3.445738e-04	3.445738e-04
9.424778e-01	1.005310e+00	1.592494e-01	3.444884e-04	3.444884e-04
1.005310e+00	1.068142e+00	1.594391e-01	3.446942e-04	3.446942e-04
1.068142e+00	1.130973e+00	1.587837e-01	3.439876e-04	3.439876e-04
1.130973e+00	1.193805e+00	1.590770e-01	3.443024e-04	3.443024e-04
1.193805e+00	1.256637e+00	1.587626e-01	3.439619e-04	3.439619e-04
1.256637e+00	1.319469e+00	1.590301e-01	3.442516e-04	3.442516e-04
1.319469e+00	1.382301e+00	1.588743e-01	3.440830e-04	3.440830e-04
1.382301e+00	1.445133e+00	1.585614e-01	3.437439e-04	3.437439e-04
1.445133e+00	1.507964e+00	1.587032e-01	3.439004e-04	3.439004e-04
1.507964e+00	1.570796e+00	1.582558e-01	3.434126e-04	3.434126e-04
1.570796e+00	1.633628e+00	1.589228e-01	3.441355e-04	3.441355e-04
1.633628e+00	1.696460e+00	1.593744e-01	3.446240e-04	3.446240e-04
1.696460e+00	1.759292e+00	1.588594e-01	3.440669e-04	3.440669e-04
1.759292e+00	1.822124e+00	1.589340e-01	3.441476e-04	3.441476e-04
1.822124e+00	1.884956e+00	1.590718e-01	3.442968e-04	3.442968e-04
1.884956e+00	1.947787e+00	1.585326e-01	3.437155e-04	3.437155e-04
1.947787e+00	2.010619e+00	1.594563e-01	3.447127e-04	3.447127e-04
2.010619e+00	2.073451e+00	1.587074e-01	3.439022e-04	3.439022e-04
2.073451e+00	2.136283e+00	1.590100e-01	3.442299e-04	3.442299e-04
2.136283e+00	2.199115e+00	1.585420e-01	3.437229e-04	3.437229e-04
2.199115e+00	2.261947e+00	1.584786e-01	3.436543e-04	3.436543e-04
2.261947e+00	2.324779e+00	1.581701e-01	3.433196e-04	3.433196e-04
2.324779e+00	2.387610e+00	1.588463e-01	3.440554e-04	3.440554e-04
2.387610e+00	2.450442e+00	1.591203e-01	3.443492e-04	3.443492e-04
2.450442e+00	2.513274e+00	1.586605e-01	3.438513e-04	3.438513e-04
2.513274e+00	2.576106e+00	1.579294e-01	3.430583e-04	3.430583e-04
2.576106e+00	2.638938e+00	1.581604e-01	3.433091e-04	3.433091e-04
2.638938e+00	2.701770e+00	1.593632e-01	3.446120e-04	3.446120e-04
2.701770e+00	2.764602e+00	1.590204e-01	3.442411e-04	3.442411e-04
2.764602e+00	2.827433e+00	1.596817e-01	3.449589e-04	3.449589e-04
2.827433e+00	2.890265e+00	1.589138e-01	3.441258e-04	3.441258e-04
2.890265e+00	2.953097e+00	1.596569e-01	3.449293e-04	3.449293e-04
2.953097e+00	3.015929e+00	1.586702e-01	3.438618e-04	3.438618e-04
3.015929e+00	3.078761e+00	1.587171e-01	3.439127e-04	3.439127e-04
3.078761e+00	3.141593e+00	1.590793e-01	3.443049e-04	3.443049e-04
3.141593e+00	3.204425e+00	1.591285e-01	3.443581e-04	3.443581e-04
3.204425e+00	3.267256e+00	1.594447e-01	3.447028e-04	3.447028e-04
3.267256e+00	3.330088e+00	1.584362e-01	3.436082e-04	3.436082e-04
3.330088e+00	3.392920e+00	1.590025e-01	3.442218e-04	3.442218e-04
3.392920e+00	3.455752e+00	1.588185e-01	3.440225e-04	3.440225e-04
3.455752e+00	3.518584e+00	1.596710e-01	3.449446e-04	3.449446e-04
3.518584e+00	3.581416e+00	1.593424e-01	3.445894e-04	3.445894e-04
3.581416e+00	3.644247e+00	1.597533e-01	3.450362e-04	3.450362e-04
3.644247e+00	3.707079e+00	1.591799e-01	3.444137e-04	3.444137e-04
3.707079e+00	3.769911e+00	1.598856e-01	3.451763e-04	3.451763e-04
3.769911e+00	3.832743e+00	1.591389e-01	3.443694e-04	3.443694e-04
3.832743e+00	3.895575e+00	1.587462e-01	3.439442e-04	3.439442e-04
3.895575e+00	3.958407e+00	1.590942e-01	3.443210e-04	3.443210e-04
3.958407e+00	4.021239e+00	1.597909e-01	3.450742e-04	3.450742e-04
4.021239e+00	4.084070e+00	1.600551e-01	3.453620e-04	3.453620e-04
4.084070e+00	4.146902e+00	1.595353e-01	3.447980e-04	3.447980e-04
4.146902e+00	4.209734e+00	1.592924e-01	3.445354e-04	3.445354e-04
4.209734e+00	4.272566e+00	1.600384e-01	3.453412e-04	3.453412e-04
4.272566e+00	4.335398e+00	1.593632e-01	3.446120e-04	3.446120e-04
4.335398e+00	4.398230e+00	1.601381e-01	3.454489e-04	3.454489e-04
4.398230e+00	4.461062e+00	1.598714e-01	3.451610e-04	3.451610e-04
4.461062e+00	4.523893e+00	1.601146e-01	3.454263e-04	3.454263e-04
4.523893e+00	4.586725e+00	1.598841e-01	3.451747e-04	3.451747e-04
4.586725e+00	4.649557e+00	1.596255e-01	3.448955e-04	3.448955e-04
4.649557e+00	4.712389e+00	1.599511e-01	3.452471e-04	3.452471e-04
4.712389e+00	4.775221e+00	1.603610e-01	3.456892e-04	3.456892e-04
4.775221e+00	4.838053e+00	1.594601e-01	3.447167e-04	3.447167e-04
4.838053e+00	4.900885e+00	1.590934e-01	3.443202e-04	3.443202e-04
