# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Pt
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Pt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Pt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHcc/Analysis.yoda/MyAnalysis/Pt
ScaledBy=7.73715600578441513e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.315052e-01	8.268314e-05	8.268314e-05
1.500000e+00	3.000000e+00	9.952467e-02	3.970903e-05	3.970903e-05
3.000000e+00	4.500000e+00	4.588168e-02	2.696147e-05	2.696147e-05
4.500000e+00	6.000000e+00	2.628060e-02	2.040523e-05	2.040523e-05
6.000000e+00	7.500000e+00	1.696785e-02	1.639598e-05	1.639598e-05
7.500000e+00	9.000000e+00	1.168516e-02	1.360634e-05	1.360634e-05
9.000000e+00	1.050000e+01	8.342587e-03	1.149673e-05	1.149673e-05
1.050000e+01	1.200000e+01	6.125906e-03	9.851653e-06	9.851653e-06
1.200000e+01	1.350000e+01	4.588259e-03	8.526049e-06	8.526049e-06
1.350000e+01	1.500000e+01	3.465755e-03	7.410080e-06	7.410080e-06
1.500000e+01	1.650000e+01	2.656285e-03	6.487259e-06	6.487259e-06
1.650000e+01	1.800000e+01	2.061239e-03	5.714630e-06	5.714630e-06
1.800000e+01	1.950000e+01	1.605980e-03	5.044220e-06	5.044220e-06
1.950000e+01	2.100000e+01	1.247777e-03	4.446235e-06	4.446235e-06
2.100000e+01	2.250000e+01	9.847767e-04	3.949961e-06	3.949961e-06
2.250000e+01	2.400000e+01	7.783533e-04	3.511659e-06	3.511659e-06
2.400000e+01	2.550000e+01	6.147865e-04	3.120945e-06	3.120945e-06
2.550000e+01	2.700000e+01	4.904793e-04	2.787624e-06	2.787624e-06
2.700000e+01	2.850000e+01	3.897947e-04	2.485089e-06	2.485089e-06
2.850000e+01	3.000000e+01	3.079161e-04	2.208717e-06	2.208717e-06
3.000000e+01	3.150000e+01	2.456833e-04	1.972930e-06	1.972930e-06
3.150000e+01	3.300000e+01	1.964579e-04	1.764244e-06	1.764244e-06
3.300000e+01	3.450000e+01	1.528569e-04	1.556204e-06	1.556204e-06
3.450000e+01	3.600000e+01	1.227545e-04	1.394577e-06	1.394577e-06
