# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/E
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/E
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/E
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/E
ScaledBy=1.99334790729931463e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.433606e-01	6.803221e-05	6.803221e-05
1.500000e+00	3.000000e+00	1.094949e-01	3.380905e-05	3.380905e-05
3.000000e+00	4.500000e+00	4.569031e-02	2.183977e-05	2.183977e-05
4.500000e+00	6.000000e+00	2.398180e-02	1.582257e-05	1.582257e-05
6.000000e+00	7.500000e+00	1.412774e-02	1.214430e-05	1.214430e-05
7.500000e+00	9.000000e+00	8.948947e-03	9.665441e-06	9.665441e-06
9.000000e+00	1.050000e+01	5.933725e-03	7.870460e-06	7.870460e-06
1.050000e+01	1.200000e+01	4.065972e-03	6.515063e-06	6.515063e-06
1.200000e+01	1.350000e+01	2.878501e-03	5.481747e-06	5.481747e-06
1.350000e+01	1.500000e+01	2.051743e-03	4.628046e-06	4.628046e-06
1.500000e+01	1.650000e+01	1.501393e-03	3.958980e-06	3.958980e-06
1.650000e+01	1.800000e+01	1.106128e-03	3.398118e-06	3.398118e-06
1.800000e+01	1.950000e+01	8.261593e-04	2.936762e-06	2.936762e-06
1.950000e+01	2.100000e+01	6.252000e-04	2.554733e-06	2.554733e-06
2.100000e+01	2.250000e+01	4.763362e-04	2.229940e-06	2.229940e-06
2.250000e+01	2.400000e+01	3.609206e-04	1.941079e-06	1.941079e-06
2.400000e+01	2.550000e+01	2.783645e-04	1.704681e-06	1.704681e-06
2.550000e+01	2.700000e+01	2.133492e-04	1.492391e-06	1.492391e-06
2.700000e+01	2.850000e+01	1.661951e-04	1.317185e-06	1.317185e-06
2.850000e+01	3.000000e+01	1.287801e-04	1.159476e-06	1.159476e-06
3.000000e+01	3.150000e+01	9.882907e-05	1.015731e-06	1.015731e-06
3.150000e+01	3.300000e+01	7.767913e-05	9.005107e-07	9.005107e-07
3.300000e+01	3.450000e+01	6.238431e-05	8.069936e-07	8.069936e-07
3.450000e+01	3.600000e+01	4.604848e-05	6.933410e-07	6.933410e-07
