# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/ECh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/ECh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/ECh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/ECh
ScaledBy=4.19853314334648120e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	3.703930e-01	9.024532e-05	9.024532e-05
1.500000e+00	3.000000e+00	1.390181e-01	5.528775e-05	5.528775e-05
3.000000e+00	4.500000e+00	6.107704e-02	3.664648e-05	3.664648e-05
4.500000e+00	6.000000e+00	3.299252e-02	2.693401e-05	2.693401e-05
6.000000e+00	7.500000e+00	1.978425e-02	2.085706e-05	2.085706e-05
7.500000e+00	9.000000e+00	1.271354e-02	1.671961e-05	1.671961e-05
9.000000e+00	1.050000e+01	8.520727e-03	1.368774e-05	1.368774e-05
1.050000e+01	1.200000e+01	5.890102e-03	1.138034e-05	1.138034e-05
1.200000e+01	1.350000e+01	4.198055e-03	9.607643e-06	9.607643e-06
1.350000e+01	1.500000e+01	3.006118e-03	8.130109e-06	8.130109e-06
1.500000e+01	1.650000e+01	2.208652e-03	6.968781e-06	6.968781e-06
1.650000e+01	1.800000e+01	1.630455e-03	5.987529e-06	5.987529e-06
1.800000e+01	1.950000e+01	1.223880e-03	5.187563e-06	5.187563e-06
1.950000e+01	2.100000e+01	9.265100e-04	4.513550e-06	4.513550e-06
2.100000e+01	2.250000e+01	7.083233e-04	3.946474e-06	3.946474e-06
2.250000e+01	2.400000e+01	5.348401e-04	3.429308e-06	3.429308e-06
2.400000e+01	2.550000e+01	4.145643e-04	3.019189e-06	3.019189e-06
2.550000e+01	2.700000e+01	3.177289e-04	2.643157e-06	2.643157e-06
2.700000e+01	2.850000e+01	2.460476e-04	2.325970e-06	2.325970e-06
2.850000e+01	3.000000e+01	1.910565e-04	2.049637e-06	2.049637e-06
3.000000e+01	3.150000e+01	1.457369e-04	1.790104e-06	1.790104e-06
3.150000e+01	3.300000e+01	1.167569e-04	1.602270e-06	1.602270e-06
3.300000e+01	3.450000e+01	9.397553e-05	1.437466e-06	1.437466e-06
3.450000e+01	3.600000e+01	6.895660e-05	1.231369e-06	1.231369e-06
3.600000e+01	3.750000e+01	5.411229e-05	1.090787e-06	1.090787e-06
3.750000e+01	3.900000e+01	4.184277e-05	9.591821e-07	9.591821e-07
3.900000e+01	4.050000e+01	3.403745e-05	8.651107e-07	8.651107e-07
4.050000e+01	4.200000e+01	2.669372e-05	7.661256e-07	7.661256e-07
4.200000e+01	4.350000e+01	2.178957e-05	6.921686e-07	6.921686e-07
4.350000e+01	4.500000e+01	1.521532e-05	5.783996e-07	5.783996e-07
4.500000e+01	4.650000e+01	1.147847e-05	5.023994e-07	5.023994e-07
4.650000e+01	4.800000e+01	9.388640e-06	4.543483e-07	4.543483e-07
4.800000e+01	4.950000e+01	7.146087e-06	3.963935e-07	3.963935e-07
4.950000e+01	5.100000e+01	5.606801e-06	3.511115e-07	3.511115e-07
5.100000e+01	5.250000e+01	4.573391e-06	3.171076e-07	3.171076e-07
5.250000e+01	5.400000e+01	3.738287e-06	2.867138e-07	2.867138e-07
5.400000e+01	5.550000e+01	2.770419e-06	2.468086e-07	2.468086e-07
5.550000e+01	5.700000e+01	2.132965e-06	2.165698e-07	2.165698e-07
5.700000e+01	5.850000e+01	1.099373e-06	1.554748e-07	1.554748e-07
