# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/H_C
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/H_C
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/H_C
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/H_C
ScaledBy=1.45528307020074835e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	2.286368e-04	1.616706e-04	1.616706e-04
5.000000e-02	6.000000e-02	4.572736e-04	2.286368e-04	2.286368e-04
6.000000e-02	7.000000e-02	1.371821e-03	3.960105e-04	3.960105e-04
7.000000e-02	8.000000e-02	1.600458e-03	4.277402e-04	4.277402e-04
8.000000e-02	9.000000e-02	3.086597e-03	5.940158e-04	5.940158e-04
9.000000e-02	1.000000e-01	7.430696e-03	9.216644e-04	9.216644e-04
1.000000e-01	1.100000e-01	1.314662e-02	1.225928e-03	1.225928e-03
1.100000e-01	1.200000e-01	2.080595e-02	1.542240e-03	1.542240e-03
1.200000e-01	1.300000e-01	3.223779e-02	1.919732e-03	1.919732e-03
1.300000e-01	1.400000e-01	4.046871e-02	2.150888e-03	2.150888e-03
1.400000e-01	1.500000e-01	5.864667e-02	2.589314e-03	2.589314e-03
1.500000e-01	1.600000e-01	7.956560e-02	3.015926e-03	3.015926e-03
1.600000e-01	1.700000e-01	9.865677e-02	3.358315e-03	3.358315e-03
1.700000e-01	1.800000e-01	1.222106e-01	3.737836e-03	3.737836e-03
1.800000e-01	1.900000e-01	1.544456e-01	4.201922e-03	4.201922e-03
1.900000e-01	2.000000e-01	1.872566e-01	4.626795e-03	4.626795e-03
2.000000e-01	2.100000e-01	2.157202e-01	4.965980e-03	4.965980e-03
2.100000e-01	2.200000e-01	2.493393e-01	5.339038e-03	5.339038e-03
2.200000e-01	2.300000e-01	2.775736e-01	5.633184e-03	5.633184e-03
2.300000e-01	2.400000e-01	3.281008e-01	6.124441e-03	6.124441e-03
2.400000e-01	2.500000e-01	3.567918e-01	6.386574e-03	6.386574e-03
2.500000e-01	2.600000e-01	4.037797e-01	6.794135e-03	6.794135e-03
2.600000e-01	2.700000e-01	4.416253e-01	7.105452e-03	7.105452e-03
2.700000e-01	2.800000e-01	4.974146e-01	7.540916e-03	7.540916e-03
2.800000e-01	2.900000e-01	5.370762e-01	7.835730e-03	7.835730e-03
2.900000e-01	3.000000e-01	5.848690e-01	8.176989e-03	8.176989e-03
3.000000e-01	3.100000e-01	6.452319e-01	8.588601e-03	8.588601e-03
3.100000e-01	3.200000e-01	6.720957e-01	8.765556e-03	8.765556e-03
3.200000e-01	3.300000e-01	7.345110e-01	9.163509e-03	9.163509e-03
3.300000e-01	3.400000e-01	7.947675e-01	9.532029e-03	9.532029e-03
3.400000e-01	3.500000e-01	8.601482e-01	9.916284e-03	9.916284e-03
3.500000e-01	3.600000e-01	9.273698e-01	1.029648e-02	1.029648e-02
