# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/RapidityCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/RapidityCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/RapidityCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHgg/Analysis.yoda/MyAnalysis/RapidityCh
ScaledBy=4.19853314334648120e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	3.627930e-06	1.093862e-06	1.093862e-06
-4.900000e+00	-4.800000e+00	4.617366e-06	1.234043e-06	1.234043e-06
-4.800000e+00	-4.700000e+00	8.245296e-06	1.649059e-06	1.649059e-06
-4.700000e+00	-4.600000e+00	9.894355e-06	1.806454e-06	1.806454e-06
-4.600000e+00	-4.500000e+00	1.550116e-05	2.261076e-06	2.261076e-06
-4.500000e+00	-4.400000e+00	2.506906e-05	2.875620e-06	2.875620e-06
-4.400000e+00	-4.300000e+00	2.803401e-05	3.040715e-06	3.040715e-06
-4.300000e+00	-4.200000e+00	4.254573e-05	3.745942e-06	3.745942e-06
-4.200000e+00	-4.100000e+00	5.639994e-05	4.313012e-06	4.313012e-06
-4.100000e+00	-4.000000e+00	7.156917e-05	4.858432e-06	4.858432e-06
-4.000000e+00	-3.900000e+00	1.197248e-04	6.283924e-06	6.283924e-06
-3.900000e+00	-3.800000e+00	1.593043e-04	7.248596e-06	7.248596e-06
-3.800000e+00	-3.700000e+00	2.133918e-04	8.389299e-06	8.389299e-06
-3.700000e+00	-3.600000e+00	3.034379e-04	1.000405e-05	1.000405e-05
-3.600000e+00	-3.500000e+00	4.102893e-04	1.163269e-05	1.163269e-05
-3.500000e+00	-3.400000e+00	5.329790e-04	1.325835e-05	1.325835e-05
-3.400000e+00	-3.300000e+00	7.167160e-04	1.537508e-05	1.537508e-05
-3.300000e+00	-3.200000e+00	9.512035e-04	1.771234e-05	1.771234e-05
-3.200000e+00	-3.100000e+00	1.310373e-03	2.078910e-05	2.078910e-05
-3.100000e+00	-3.000000e+00	1.714395e-03	2.377895e-05	2.377895e-05
-3.000000e+00	-2.900000e+00	2.268160e-03	2.735107e-05	2.735107e-05
-2.900000e+00	-2.800000e+00	3.009264e-03	3.150415e-05	3.150415e-05
-2.800000e+00	-2.700000e+00	3.984196e-03	3.624994e-05	3.624994e-05
-2.700000e+00	-2.600000e+00	5.140535e-03	4.117571e-05	4.117571e-05
-2.600000e+00	-2.500000e+00	6.627392e-03	4.675301e-05	4.675301e-05
-2.500000e+00	-2.400000e+00	8.604644e-03	5.327265e-05	5.327265e-05
-2.400000e+00	-2.300000e+00	1.095330e-02	6.010499e-05	6.010499e-05
-2.300000e+00	-2.200000e+00	1.420664e-02	6.845165e-05	6.845165e-05
-2.200000e+00	-2.100000e+00	1.817633e-02	7.742675e-05	7.742675e-05
-2.100000e+00	-2.000000e+00	2.303548e-02	8.716374e-05	8.716374e-05
-2.000000e+00	-1.900000e+00	2.922160e-02	9.817246e-05	9.817246e-05
-1.900000e+00	-1.800000e+00	3.693572e-02	1.103725e-04	1.103725e-04
-1.800000e+00	-1.700000e+00	4.605620e-02	1.232485e-04	1.232485e-04
-1.700000e+00	-1.600000e+00	5.756402e-02	1.377887e-04	1.377887e-04
-1.600000e+00	-1.500000e+00	7.149571e-02	1.535602e-04	1.535602e-04
-1.500000e+00	-1.400000e+00	8.803005e-02	1.703937e-04	1.703937e-04
-1.400000e+00	-1.300000e+00	1.079506e-01	1.886911e-04	1.886911e-04
-1.300000e+00	-1.200000e+00	1.311317e-01	2.079660e-04	2.079660e-04
-1.200000e+00	-1.100000e+00	1.586704e-01	2.287633e-04	2.287633e-04
-1.100000e+00	-1.000000e+00	1.891328e-01	2.497594e-04	2.497594e-04
-1.000000e+00	-9.000000e-01	2.238769e-01	2.717333e-04	2.717333e-04
-9.000000e-01	-8.000000e-01	2.629667e-01	2.945026e-04	2.945026e-04
-8.000000e-01	-7.000000e-01	3.045530e-01	3.169349e-04	3.169349e-04
-7.000000e-01	-6.000000e-01	3.473955e-01	3.384940e-04	3.384940e-04
-6.000000e-01	-5.000000e-01	3.902752e-01	3.587770e-04	3.587770e-04
-5.000000e-01	-4.000000e-01	4.311377e-01	3.770918e-04	3.770918e-04
-4.000000e-01	-3.000000e-01	4.680136e-01	3.928878e-04	3.928878e-04
-3.000000e-01	-2.000000e-01	4.982228e-01	4.053697e-04	4.053697e-04
-2.000000e-01	-1.000000e-01	5.196884e-01	4.140101e-04	4.140101e-04
-1.000000e-01	0.000000e+00	5.317268e-01	4.187780e-04	4.187780e-04
0.000000e+00	1.000000e-01	5.316600e-01	4.187516e-04	4.187516e-04
1.000000e-01	2.000000e-01	5.201256e-01	4.141841e-04	4.141841e-04
2.000000e-01	3.000000e-01	4.994274e-01	4.058591e-04	4.058591e-04
3.000000e-01	4.000000e-01	4.687263e-01	3.931867e-04	3.931867e-04
4.000000e-01	5.000000e-01	4.317918e-01	3.773775e-04	3.773775e-04
5.000000e-01	6.000000e-01	3.908539e-01	3.590425e-04	3.590425e-04
6.000000e-01	7.000000e-01	3.476999e-01	3.386421e-04	3.386421e-04
7.000000e-01	8.000000e-01	3.044453e-01	3.168787e-04	3.168787e-04
8.000000e-01	9.000000e-01	2.628999e-01	2.944652e-04	2.944652e-04
9.000000e-01	1.000000e+00	2.244080e-01	2.720557e-04	2.720557e-04
1.000000e+00	1.100000e+00	1.896924e-01	2.501288e-04	2.501288e-04
1.100000e+00	1.200000e+00	1.585770e-01	2.286960e-04	2.286960e-04
1.200000e+00	1.300000e+00	1.311607e-01	2.079892e-04	2.079892e-04
1.300000e+00	1.400000e+00	1.083299e-01	1.890221e-04	1.890221e-04
1.400000e+00	1.500000e+00	8.823958e-02	1.705964e-04	1.705964e-04
1.500000e+00	1.600000e+00	7.193407e-02	1.540298e-04	1.540298e-04
1.600000e+00	1.700000e+00	5.772952e-02	1.379866e-04	1.379866e-04
1.700000e+00	1.800000e+00	4.646274e-02	1.237916e-04	1.237916e-04
1.800000e+00	1.900000e+00	3.680536e-02	1.101774e-04	1.101774e-04
