# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/E
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/E
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/E
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/E
ScaledBy=2.52764427718511556e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.044029e-01	1.344764e-03	1.344764e-03
1.500000e+00	3.000000e+00	1.078050e-01	6.943179e-04	6.943179e-04
3.000000e+00	4.500000e+00	5.089301e-02	4.770544e-04	4.770544e-04
4.500000e+00	6.000000e+00	2.919607e-02	3.613275e-04	3.613275e-04
6.000000e+00	7.500000e+00	1.903625e-02	2.917625e-04	2.917625e-04
7.500000e+00	9.000000e+00	1.260140e-02	2.373822e-04	2.373822e-04
9.000000e+00	1.050000e+01	9.587433e-03	2.070571e-04	2.070571e-04
1.050000e+01	1.200000e+01	6.577947e-03	1.715079e-04	1.715079e-04
1.200000e+01	1.350000e+01	4.901040e-03	1.480413e-04	1.480413e-04
1.350000e+01	1.500000e+01	3.689195e-03	1.284413e-04	1.284413e-04
1.500000e+01	1.650000e+01	2.768015e-03	1.112559e-04	1.112559e-04
1.650000e+01	1.800000e+01	2.191159e-03	9.898644e-05	9.898644e-05
1.800000e+01	1.950000e+01	1.694794e-03	8.705572e-05	8.705572e-05
1.950000e+01	2.100000e+01	1.502509e-03	8.196856e-05	8.196856e-05
2.100000e+01	2.250000e+01	1.323639e-03	7.693492e-05	7.693492e-05
2.250000e+01	2.400000e+01	9.077653e-04	6.371266e-05	6.371266e-05
2.400000e+01	2.550000e+01	8.809353e-04	6.276403e-05	6.276403e-05
2.550000e+01	2.700000e+01	6.573475e-04	5.421711e-05	5.421711e-05
2.700000e+01	2.850000e+01	6.305170e-04	5.309911e-05	5.309911e-05
2.850000e+01	3.000000e+01	4.784775e-04	4.625616e-05	4.625616e-05
3.000000e+01	3.150000e+01	4.784775e-04	4.625616e-05	4.625616e-05
3.150000e+01	3.300000e+01	4.471752e-04	4.471752e-05	4.471752e-05
3.300000e+01	3.450000e+01	4.248165e-04	4.358525e-05	4.358525e-05
3.450000e+01	3.600000e+01	3.309097e-04	3.846746e-05	3.846746e-05
3.600000e+01	3.750000e+01	3.443249e-04	3.923946e-05	3.923946e-05
3.750000e+01	3.900000e+01	3.264379e-04	3.820667e-05	3.820667e-05
3.900000e+01	4.050000e+01	2.414746e-04	3.286053e-05	3.286053e-05
4.050000e+01	4.200000e+01	1.788701e-04	2.828184e-05	2.828184e-05
4.200000e+01	4.350000e+01	1.520395e-04	2.607457e-05	2.607457e-05
4.350000e+01	4.500000e+01	1.207373e-04	2.323590e-05	2.323590e-05
4.500000e+01	4.650000e+01	1.341525e-04	2.449279e-05	2.449279e-05
4.650000e+01	4.800000e+01	2.146441e-04	3.098121e-05	3.098121e-05
4.800000e+01	4.950000e+01	1.386243e-04	2.489766e-05	2.489766e-05
4.950000e+01	5.100000e+01	1.654548e-04	2.720060e-05	2.720060e-05
5.100000e+01	5.250000e+01	1.028503e-04	2.144577e-05	2.144577e-05
5.250000e+01	5.400000e+01	1.117938e-04	2.235876e-05	2.235876e-05
5.400000e+01	5.550000e+01	8.943507e-05	1.999828e-05	1.999828e-05
5.550000e+01	5.700000e+01	1.162655e-04	2.280155e-05	2.280155e-05
5.700000e+01	5.850000e+01	6.260453e-05	1.673176e-05	1.673176e-05
5.850000e+01	6.000000e+01	9.390680e-05	2.049214e-05	2.049214e-05
6.000000e+01	6.150000e+01	8.943507e-05	1.999828e-05	1.999828e-05
6.150000e+01	6.300000e+01	8.943507e-05	1.999828e-05	1.999828e-05
6.300000e+01	6.450000e+01	4.024577e-05	1.341526e-05	1.341526e-05
6.450000e+01	6.600000e+01	7.601980e-05	1.843751e-05	1.843751e-05
6.600000e+01	6.750000e+01	5.813277e-05	1.612313e-05	1.612313e-05
6.750000e+01	6.900000e+01	5.366102e-05	1.549060e-05	1.549060e-05
6.900000e+01	7.050000e+01	4.024577e-05	1.341526e-05	1.341526e-05
7.050000e+01	7.200000e+01	2.683051e-05	1.095351e-05	1.095351e-05
7.200000e+01	7.350000e+01	6.260453e-05	1.673176e-05	1.673176e-05
7.350000e+01	7.500000e+01	1.788701e-05	8.943504e-06	8.943504e-06
7.500000e+01	7.650000e+01	3.130227e-05	1.183114e-05	1.183114e-05
7.650000e+01	7.800000e+01	1.341525e-05	7.745301e-06	7.745301e-06
7.800000e+01	7.950000e+01	1.341525e-05	7.745301e-06	7.745301e-06
7.950000e+01	8.100000e+01	1.788701e-05	8.943504e-06	8.943504e-06
8.100000e+01	8.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.250000e+01	8.400000e+01	8.943507e-06	6.324012e-06	6.324012e-06
8.400000e+01	8.550000e+01	8.943507e-06	6.324012e-06	6.324012e-06
8.550000e+01	8.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+01	8.850000e+01	8.943507e-06	6.324012e-06	6.324012e-06
8.850000e+01	9.000000e+01	4.471752e-06	4.471752e-06	4.471752e-06
9.000000e+01	9.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.150000e+01	9.300000e+01	4.471752e-06	4.471752e-06	4.471752e-06
9.300000e+01	9.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.450000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.750000e+01	9.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+01	1.005000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.005000e+02	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.035000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.035000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.065000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.065000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.095000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.095000e+02	1.110000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+02	1.125000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.155000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.155000e+02	1.170000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+02	1.185000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.185000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.215000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.215000e+02	1.230000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+02	1.245000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.245000e+02	1.260000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+02	1.275000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+02	1.290000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.290000e+02	1.305000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.305000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.335000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.335000e+02	1.350000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+02	1.365000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.365000e+02	1.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+02	1.395000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.395000e+02	1.410000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+02	1.425000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.425000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
