# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/EtaCh
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/EtaCh
ScaledBy=5.58682460222035532e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.900000e+00	-4.800000e+00	1.482580e-04	1.482580e-04	1.482580e-04
-4.800000e+00	-4.700000e+00	1.482580e-04	1.482580e-04	1.482580e-04
-4.700000e+00	-4.600000e+00	2.965159e-04	2.096684e-04	2.096684e-04
-4.600000e+00	-4.500000e+00	2.965159e-04	2.096684e-04	2.096684e-04
-4.500000e+00	-4.400000e+00	5.930319e-04	2.965159e-04	2.965159e-04
-4.400000e+00	-4.300000e+00	5.930319e-04	2.965159e-04	2.965159e-04
-4.300000e+00	-4.200000e+00	7.412898e-04	3.315149e-04	3.315149e-04
-4.200000e+00	-4.100000e+00	1.482580e-04	1.482580e-04	1.482580e-04
-4.100000e+00	-4.000000e+00	2.965159e-04	2.096684e-04	2.096684e-04
-4.000000e+00	-3.900000e+00	7.412898e-04	3.315149e-04	3.315149e-04
-3.900000e+00	-3.800000e+00	4.447739e-04	2.567903e-04	2.567903e-04
-3.800000e+00	-3.700000e+00	1.186064e-03	4.193369e-04	4.193369e-04
-3.700000e+00	-3.600000e+00	1.779096e-03	5.135807e-04	5.135807e-04
-3.600000e+00	-3.500000e+00	1.334322e-03	4.447739e-04	4.447739e-04
-3.500000e+00	-3.400000e+00	2.965159e-03	6.630298e-04	6.630298e-04
-3.400000e+00	-3.300000e+00	1.779096e-03	5.135807e-04	5.135807e-04
-3.300000e+00	-3.200000e+00	3.261675e-03	6.953915e-04	6.953915e-04
-3.200000e+00	-3.100000e+00	4.002965e-03	7.703710e-04	7.703710e-04
-3.100000e+00	-3.000000e+00	4.002965e-03	7.703710e-04	7.703710e-04
-3.000000e+00	-2.900000e+00	4.151223e-03	7.845074e-04	7.845074e-04
-2.900000e+00	-2.800000e+00	6.375093e-03	9.721925e-04	9.721925e-04
-2.800000e+00	-2.700000e+00	8.747220e-03	1.138791e-03	1.138791e-03
-2.700000e+00	-2.600000e+00	7.857672e-03	1.079335e-03	1.079335e-03
-2.600000e+00	-2.500000e+00	1.304670e-02	1.390783e-03	1.390783e-03
-2.500000e+00	-2.400000e+00	1.556709e-02	1.519192e-03	1.519192e-03
-2.400000e+00	-2.300000e+00	1.942179e-02	1.696890e-03	1.696890e-03
-2.300000e+00	-2.200000e+00	2.001483e-02	1.722602e-03	1.722602e-03
-2.200000e+00	-2.100000e+00	2.564863e-02	1.950029e-03	1.950029e-03
-2.100000e+00	-2.000000e+00	2.920682e-02	2.080900e-03	2.080900e-03
-2.000000e+00	-1.900000e+00	3.780578e-02	2.367490e-03	2.367490e-03
-1.900000e+00	-1.800000e+00	4.299481e-02	2.524742e-03	2.524742e-03
-1.800000e+00	-1.700000e+00	5.144552e-02	2.761740e-03	2.761740e-03
-1.700000e+00	-1.600000e+00	7.220163e-02	3.271769e-03	3.271769e-03
-1.600000e+00	-1.500000e+00	8.317272e-02	3.511555e-03	3.511555e-03
-1.500000e+00	-1.400000e+00	9.488510e-02	3.750663e-03	3.750663e-03
-1.400000e+00	-1.300000e+00	1.061527e-01	3.967112e-03	3.967112e-03
-1.300000e+00	-1.200000e+00	1.331357e-01	4.442794e-03	4.442794e-03
-1.200000e+00	-1.100000e+00	1.661972e-01	4.963876e-03	4.963876e-03
-1.100000e+00	-1.000000e+00	2.023721e-01	5.477525e-03	5.477525e-03
-1.000000e+00	-9.000000e-01	2.265382e-01	5.795351e-03	5.795351e-03
-9.000000e-01	-8.000000e-01	2.778354e-01	6.418046e-03	6.418046e-03
-8.000000e-01	-7.000000e-01	3.042254e-01	6.715939e-03	6.715939e-03
-7.000000e-01	-6.000000e-01	3.433655e-01	7.134891e-03	7.134891e-03
-6.000000e-01	-5.000000e-01	3.681245e-01	7.387652e-03	7.387652e-03
-5.000000e-01	-4.000000e-01	4.013343e-01	7.713690e-03	7.713690e-03
-4.000000e-01	-3.000000e-01	4.440326e-01	8.113653e-03	8.113653e-03
-3.000000e-01	-2.000000e-01	4.719051e-01	8.364430e-03	8.364430e-03
-2.000000e-01	-1.000000e-01	5.018532e-01	8.625760e-03	8.625760e-03
-1.000000e-01	0.000000e+00	4.877687e-01	8.503858e-03	8.503858e-03
0.000000e+00	1.000000e-01	5.037806e-01	8.642308e-03	8.642308e-03
1.000000e-01	2.000000e-01	4.802076e-01	8.437689e-03	8.437689e-03
2.000000e-01	3.000000e-01	4.465530e-01	8.136648e-03	8.136648e-03
3.000000e-01	4.000000e-01	4.357302e-01	8.037442e-03	8.037442e-03
4.000000e-01	5.000000e-01	4.028169e-01	7.727925e-03	7.727925e-03
5.000000e-01	6.000000e-01	3.762787e-01	7.469024e-03	7.469024e-03
6.000000e-01	7.000000e-01	3.489993e-01	7.193186e-03	7.193186e-03
7.000000e-01	8.000000e-01	3.175686e-01	6.861638e-03	6.861638e-03
8.000000e-01	9.000000e-01	2.650852e-01	6.269051e-03	6.269051e-03
9.000000e-01	1.000000e+00	2.281690e-01	5.816173e-03	5.816173e-03
