# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Mult
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Mult
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Mult
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Mult
ScaledBy=1.28523642366987385e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	2.728513e-03	9.646750e-04	9.646750e-04
3.000000e+00	4.000000e+00	3.410641e-04	3.410641e-04	3.410641e-04
4.000000e+00	5.000000e+00	8.867667e-03	1.739093e-03	1.739093e-03
5.000000e+00	6.000000e+00	1.023192e-02	1.868085e-03	1.868085e-03
6.000000e+00	7.000000e+00	1.159618e-02	1.988728e-03	1.988728e-03
7.000000e+00	8.000000e+00	1.159618e-02	1.988728e-03	1.988728e-03
8.000000e+00	9.000000e+00	1.364256e-02	2.157079e-03	2.157079e-03
9.000000e+00	1.000000e+01	1.159618e-02	1.988728e-03	1.988728e-03
1.000000e+01	1.100000e+01	5.798090e-03	1.406243e-03	1.406243e-03
1.100000e+01	1.200000e+01	6.139154e-03	1.447012e-03	1.447012e-03
1.200000e+01	1.300000e+01	5.115962e-03	1.320936e-03	1.320936e-03
1.300000e+01	1.400000e+01	3.410641e-03	1.078539e-03	1.078539e-03
1.400000e+01	1.500000e+01	2.728513e-03	9.646750e-04	9.646750e-04
1.500000e+01	1.600000e+01	1.364256e-03	6.821282e-04	6.821282e-04
1.600000e+01	1.700000e+01	6.821282e-04	4.823375e-04	4.823375e-04
1.700000e+01	1.800000e+01	2.728513e-03	9.646750e-04	9.646750e-04
1.800000e+01	1.900000e+01	1.023192e-03	5.907404e-04	5.907404e-04
1.900000e+01	2.000000e+01	1.705321e-03	7.626426e-04	7.626426e-04
2.000000e+01	2.100000e+01	1.705321e-03	7.626426e-04	7.626426e-04
2.100000e+01	2.200000e+01	2.728513e-03	9.646750e-04	9.646750e-04
2.200000e+01	2.300000e+01	3.069577e-03	1.023193e-03	1.023193e-03
