# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Pt
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Pt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Pt
ScaledBy=2.52764427718511556e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.516157e-01	1.421096e-03	1.421096e-03
1.500000e+00	3.000000e+00	9.407673e-02	6.486045e-04	6.486045e-04
3.000000e+00	4.500000e+00	4.264263e-02	4.366775e-04	4.366775e-04
4.500000e+00	6.000000e+00	2.356613e-02	3.246258e-04	3.246258e-04
6.000000e+00	7.500000e+00	1.502956e-02	2.592459e-04	2.592459e-04
7.500000e+00	9.000000e+00	9.931760e-03	2.107424e-04	2.107424e-04
9.000000e+00	1.050000e+01	6.761287e-03	1.738816e-04	1.738816e-04
1.050000e+01	1.200000e+01	4.749001e-03	1.457270e-04	1.457270e-04
1.200000e+01	1.350000e+01	3.528212e-03	1.256077e-04	1.256077e-04
1.350000e+01	1.500000e+01	2.566785e-03	1.071356e-04	1.071356e-04
1.500000e+01	1.650000e+01	1.998873e-03	9.454346e-05	9.454346e-05
1.650000e+01	1.800000e+01	1.439904e-03	8.024272e-05	8.024272e-05
1.800000e+01	1.950000e+01	1.207373e-03	7.347837e-05	7.347837e-05
1.950000e+01	2.100000e+01	1.019559e-03	6.752198e-05	6.752198e-05
2.100000e+01	2.250000e+01	8.719913e-04	6.244462e-05	6.244462e-05
2.250000e+01	2.400000e+01	7.154800e-04	5.656369e-05	5.656369e-05
2.400000e+01	2.550000e+01	5.410820e-04	4.918927e-05	4.918927e-05
2.550000e+01	2.700000e+01	5.231950e-04	4.836939e-05	4.836939e-05
2.700000e+01	2.850000e+01	4.695339e-04	4.582182e-05	4.582182e-05
2.850000e+01	3.000000e+01	3.622119e-04	4.024577e-05	4.024577e-05
3.000000e+01	3.150000e+01	2.772486e-04	3.521061e-05	3.521061e-05
3.150000e+01	3.300000e+01	3.487967e-04	3.949344e-05	3.949344e-05
3.300000e+01	3.450000e+01	2.638333e-04	3.434818e-05	3.434818e-05
3.450000e+01	3.600000e+01	2.370029e-04	3.255484e-05	3.255484e-05
3.600000e+01	3.750000e+01	2.280593e-04	3.193470e-05	3.193470e-05
3.750000e+01	3.900000e+01	1.878136e-04	2.898026e-05	2.898026e-05
3.900000e+01	4.050000e+01	1.252091e-04	2.366229e-05	2.366229e-05
4.050000e+01	4.200000e+01	1.207373e-04	2.323590e-05	2.323590e-05
4.200000e+01	4.350000e+01	1.654548e-04	2.720060e-05	2.720060e-05
4.350000e+01	4.500000e+01	7.601980e-05	1.843751e-05	1.843751e-05
4.500000e+01	4.650000e+01	1.162655e-04	2.280155e-05	2.280155e-05
4.650000e+01	4.800000e+01	1.162655e-04	2.280155e-05	2.280155e-05
4.800000e+01	4.950000e+01	9.390680e-05	2.049214e-05	2.049214e-05
4.950000e+01	5.100000e+01	7.154800e-05	1.788701e-05	1.788701e-05
5.100000e+01	5.250000e+01	4.471752e-05	1.414092e-05	1.414092e-05
5.250000e+01	5.400000e+01	8.049153e-05	1.897204e-05	1.897204e-05
5.400000e+01	5.550000e+01	4.918927e-05	1.483112e-05	1.483112e-05
