# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/PtCh
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/PtCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/PtCh
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/PtCh
ScaledBy=5.58682460222035532e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	3.785026e-01	1.934184e-03	1.934184e-03
1.500000e+00	3.000000e+00	1.216407e-01	1.096485e-03	1.096485e-03
3.000000e+00	4.500000e+00	5.828515e-02	7.590011e-04	7.590011e-04
4.500000e+00	6.000000e+00	3.322955e-02	5.730937e-04	5.730937e-04
6.000000e+00	7.500000e+00	2.156659e-02	4.616939e-04	4.616939e-04
7.500000e+00	9.000000e+00	1.430195e-02	3.759768e-04	3.759768e-04
9.000000e+00	1.050000e+01	9.409440e-03	3.049616e-04	3.049616e-04
1.050000e+01	1.200000e+01	6.819867e-03	2.596279e-04	2.596279e-04
1.200000e+01	1.350000e+01	4.902397e-03	2.201241e-04	2.201241e-04
1.350000e+01	1.500000e+01	3.726217e-03	1.919099e-04	1.919099e-04
1.500000e+01	1.650000e+01	2.698295e-03	1.633082e-04	1.633082e-04
1.650000e+01	1.800000e+01	2.006425e-03	1.408234e-04	1.408234e-04
1.800000e+01	1.950000e+01	1.660489e-03	1.281095e-04	1.281095e-04
1.950000e+01	2.100000e+01	1.235483e-03	1.105050e-04	1.105050e-04
2.100000e+01	2.250000e+01	1.067457e-03	1.027161e-04	1.027161e-04
2.250000e+01	2.400000e+01	8.598960e-04	9.219055e-05	9.219055e-05
2.400000e+01	2.550000e+01	6.721027e-04	8.150444e-05	8.150444e-05
2.550000e+01	2.700000e+01	6.029157e-04	7.719545e-05	7.719545e-05
2.700000e+01	2.850000e+01	5.831480e-04	7.591940e-05	7.591940e-05
2.850000e+01	3.000000e+01	4.447739e-04	6.630298e-05	6.630298e-05
3.000000e+01	3.150000e+01	2.866321e-04	5.322624e-05	5.322624e-05
3.150000e+01	3.300000e+01	3.162837e-04	5.591158e-05	5.591158e-05
3.300000e+01	3.450000e+01	1.877934e-04	4.308277e-05	4.308277e-05
3.450000e+01	3.600000e+01	2.372127e-04	4.842085e-05	4.842085e-05
3.600000e+01	3.750000e+01	2.174450e-04	4.635944e-05	4.635944e-05
3.750000e+01	3.900000e+01	1.680257e-04	4.075222e-05	4.075222e-05
3.900000e+01	4.050000e+01	6.918707e-05	2.615025e-05	2.615025e-05
4.050000e+01	4.200000e+01	1.186064e-04	3.423871e-05	3.423871e-05
4.200000e+01	4.350000e+01	1.284903e-04	3.563678e-05	3.563678e-05
4.350000e+01	4.500000e+01	2.965159e-05	1.711936e-05	1.711936e-05
4.500000e+01	4.650000e+01	6.918707e-05	2.615025e-05	2.615025e-05
4.650000e+01	4.800000e+01	6.918707e-05	2.615025e-05	2.615025e-05
4.800000e+01	4.950000e+01	5.930319e-05	2.421043e-05	2.421043e-05
4.950000e+01	5.100000e+01	3.953546e-05	1.976773e-05	1.976773e-05
5.100000e+01	5.250000e+01	3.953546e-05	1.976773e-05	1.976773e-05
5.250000e+01	5.400000e+01	3.953546e-05	1.976773e-05	1.976773e-05
5.400000e+01	5.550000e+01	6.918707e-05	2.615025e-05	2.615025e-05
5.550000e+01	5.700000e+01	1.976773e-05	1.397790e-05	1.397790e-05
5.700000e+01	5.850000e+01	3.953546e-05	1.976773e-05	1.976773e-05
5.850000e+01	6.000000e+01	4.941932e-05	2.210099e-05	2.210099e-05
6.000000e+01	6.150000e+01	9.883867e-06	9.883866e-06	9.883866e-06
6.150000e+01	6.300000e+01	1.976773e-05	1.397790e-05	1.397790e-05
6.300000e+01	6.450000e+01	2.965159e-05	1.711936e-05	1.711936e-05
6.450000e+01	6.600000e+01	1.976773e-05	1.397790e-05	1.397790e-05
6.600000e+01	6.750000e+01	1.976773e-05	1.397790e-05	1.397790e-05
6.750000e+01	6.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+01	7.050000e+01	9.883867e-06	9.883866e-06	9.883866e-06
7.050000e+01	7.200000e+01	9.883867e-06	9.883866e-06	9.883866e-06
7.200000e+01	7.350000e+01	3.953546e-05	1.976773e-05	1.976773e-05
7.350000e+01	7.500000e+01	9.883867e-06	9.883866e-06	9.883866e-06
7.500000e+01	7.650000e+01	9.883867e-06	9.883866e-06	9.883866e-06
7.650000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	7.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.950000e+01	8.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+01	8.250000e+01	9.883867e-06	9.883866e-06	9.883866e-06
8.250000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.550000e+01	8.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+01	8.850000e+01	9.883867e-06	9.883866e-06	9.883866e-06
8.850000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.150000e+01	9.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+01	9.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.450000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.750000e+01	9.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+01	1.005000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.005000e+02	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.035000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.035000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.065000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.065000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.095000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.095000e+02	1.110000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+02	1.125000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.155000e+02	0.000000e+00	0.000000e+00	0.000000e+00
