# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Rapidity
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Rapidity
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Rapidity
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyFSAnalysis/Rapidity
ScaledBy=2.52764427718511556e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	6.707628e-05	6.707628e-05	6.707628e-05
-4.900000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.700000e+00	6.707628e-05	6.707628e-05	6.707628e-05
-4.700000e+00	-4.600000e+00	6.707628e-05	6.707628e-05	6.707628e-05
-4.600000e+00	-4.500000e+00	3.353814e-04	1.499871e-04	1.499871e-04
-4.500000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.300000e+00	2.012288e-04	1.161795e-04	1.161795e-04
-4.300000e+00	-4.200000e+00	3.353814e-04	1.499871e-04	1.499871e-04
-4.200000e+00	-4.100000e+00	2.683051e-04	1.341526e-04	1.341526e-04
-4.100000e+00	-4.000000e+00	2.683051e-04	1.341526e-04	1.341526e-04
-4.000000e+00	-3.900000e+00	6.036865e-04	2.012288e-04	2.012288e-04
-3.900000e+00	-3.800000e+00	5.366102e-04	1.897204e-04	1.897204e-04
-3.800000e+00	-3.700000e+00	8.049153e-04	2.323591e-04	2.323591e-04
-3.700000e+00	-3.600000e+00	4.695340e-04	1.774672e-04	1.774672e-04
-3.600000e+00	-3.500000e+00	1.073220e-03	2.683051e-04	2.683051e-04
-3.500000e+00	-3.400000e+00	1.811060e-03	3.485385e-04	3.485385e-04
-3.400000e+00	-3.300000e+00	1.945212e-03	3.612168e-04	3.612168e-04
-3.300000e+00	-3.200000e+00	2.146441e-03	3.794408e-04	3.794408e-04
-3.200000e+00	-3.100000e+00	2.951356e-03	4.449337e-04	4.449337e-04
-3.100000e+00	-3.000000e+00	3.823348e-03	5.064148e-04	5.064148e-04
-3.000000e+00	-2.900000e+00	3.420890e-03	4.790205e-04	4.790205e-04
-2.900000e+00	-2.800000e+00	4.695340e-03	5.612004e-04	5.612004e-04
-2.800000e+00	-2.700000e+00	5.164873e-03	5.885920e-04	5.885920e-04
-2.700000e+00	-2.600000e+00	7.177162e-03	6.938424e-04	6.938424e-04
-2.600000e+00	-2.500000e+00	9.994366e-03	8.187704e-04	8.187704e-04
-2.500000e+00	-2.400000e+00	1.173835e-02	8.873358e-04	8.873358e-04
-2.400000e+00	-2.300000e+00	1.556170e-02	1.021676e-03	1.021676e-03
-2.300000e+00	-2.200000e+00	1.596415e-02	1.034802e-03	1.034802e-03
-2.200000e+00	-2.100000e+00	2.240348e-02	1.225864e-03	1.225864e-03
-2.100000e+00	-2.000000e+00	2.736712e-02	1.354875e-03	1.354875e-03
-2.000000e+00	-1.900000e+00	3.481259e-02	1.528103e-03	1.528103e-03
-1.900000e+00	-1.800000e+00	4.058115e-02	1.649858e-03	1.649858e-03
-1.800000e+00	-1.700000e+00	4.715462e-02	1.778470e-03	1.778470e-03
-1.700000e+00	-1.600000e+00	6.050280e-02	2.014523e-03	2.014523e-03
-1.600000e+00	-1.500000e+00	7.425344e-02	2.231736e-03	2.231736e-03
-1.500000e+00	-1.400000e+00	8.901022e-02	2.443456e-03	2.443456e-03
-1.400000e+00	-1.300000e+00	1.043707e-01	2.645902e-03	2.645902e-03
-1.300000e+00	-1.200000e+00	1.316037e-01	2.971108e-03	2.971108e-03
-1.200000e+00	-1.100000e+00	1.641357e-01	3.318073e-03	3.318073e-03
-1.100000e+00	-1.000000e+00	1.993507e-01	3.656734e-03	3.656734e-03
-1.000000e+00	-9.000000e-01	2.258458e-01	3.892159e-03	3.892159e-03
-9.000000e-01	-8.000000e-01	2.794398e-01	4.329409e-03	4.329409e-03
-8.000000e-01	-7.000000e-01	3.079472e-01	4.544882e-03	4.544882e-03
-7.000000e-01	-6.000000e-01	3.439672e-01	4.803336e-03	4.803336e-03
-6.000000e-01	-5.000000e-01	3.802554e-01	5.050358e-03	5.050358e-03
-5.000000e-01	-4.000000e-01	4.166778e-01	5.286700e-03	5.286700e-03
-4.000000e-01	-3.000000e-01	4.562529e-01	5.532065e-03	5.532065e-03
-3.000000e-01	-2.000000e-01	4.846932e-01	5.701879e-03	5.701879e-03
-2.000000e-01	-1.000000e-01	5.083040e-01	5.839104e-03	5.839104e-03
-1.000000e-01	0.000000e+00	5.031392e-01	5.809363e-03	5.809363e-03
0.000000e+00	1.000000e-01	5.072308e-01	5.832938e-03	5.832938e-03
1.000000e-01	2.000000e-01	4.954254e-01	5.764659e-03	5.764659e-03
2.000000e-01	3.000000e-01	4.601433e-01	5.555601e-03	5.555601e-03
3.000000e-01	4.000000e-01	4.400204e-01	5.432764e-03	5.432764e-03
4.000000e-01	5.000000e-01	4.182206e-01	5.296478e-03	5.296478e-03
5.000000e-01	6.000000e-01	3.909206e-01	5.120693e-03	5.120693e-03
6.000000e-01	7.000000e-01	3.535591e-01	4.869849e-03	4.869849e-03
7.000000e-01	8.000000e-01	3.123742e-01	4.577434e-03	4.577434e-03
8.000000e-01	9.000000e-01	2.642805e-01	4.210340e-03	4.210340e-03
9.000000e-01	1.000000e+00	2.351024e-01	3.971119e-03	3.971119e-03
1.000000e+00	1.100000e+00	1.995519e-01	3.658579e-03	3.658579e-03
1.100000e+00	1.200000e+00	1.662821e-01	3.339698e-03	3.339698e-03
1.200000e+00	1.300000e+00	1.367685e-01	3.028849e-03	3.028849e-03
1.300000e+00	1.400000e+00	1.116820e-01	2.737008e-03	2.737008e-03
1.400000e+00	1.500000e+00	9.222988e-02	2.487255e-03	2.487255e-03
1.500000e+00	1.600000e+00	7.358268e-02	2.221633e-03	2.221633e-03
1.600000e+00	1.700000e+00	6.197848e-02	2.038942e-03	2.038942e-03
1.700000e+00	1.800000e+00	5.017306e-02	1.834509e-03	1.834509e-03
1.800000e+00	1.900000e+00	4.433742e-02	1.724526e-03	1.724526e-03
1.900000e+00	2.000000e+00	3.353814e-02	1.499871e-03	1.499871e-03
2.000000e+00	2.100000e+00	3.226369e-02	1.471098e-03	1.471098e-03
2.100000e+00	2.200000e+00	2.421454e-02	1.274449e-03	1.274449e-03
2.200000e+00	2.300000e+00	2.005581e-02	1.159857e-03	1.159857e-03
2.300000e+00	2.400000e+00	1.676907e-02	1.060569e-03	1.060569e-03
2.400000e+00	2.500000e+00	1.173835e-02	8.873358e-04	8.873358e-04
2.500000e+00	2.600000e+00	1.106759e-02	8.616104e-04	8.616104e-04
2.600000e+00	2.700000e+00	7.244238e-03	6.970771e-04	6.970771e-04
2.700000e+00	2.800000e+00	7.043009e-03	6.873274e-04	6.873274e-04
2.800000e+00	2.900000e+00	6.372247e-03	6.537787e-04	6.537787e-04
2.900000e+00	3.000000e+00	4.292882e-03	5.366102e-04	5.366102e-04
3.000000e+00	3.100000e+00	3.420890e-03	4.790205e-04	4.790205e-04
3.100000e+00	3.200000e+00	2.683051e-03	4.242277e-04	4.242277e-04
3.200000e+00	3.300000e+00	2.079365e-03	3.734649e-04	3.734649e-04
3.300000e+00	3.400000e+00	1.609831e-03	3.286054e-04	3.286054e-04
3.400000e+00	3.500000e+00	2.012288e-03	3.673919e-04	3.673919e-04
3.500000e+00	3.600000e+00	8.719916e-04	2.418470e-04	2.418470e-04
3.600000e+00	3.700000e+00	9.390679e-04	2.509765e-04	2.509765e-04
3.700000e+00	3.800000e+00	6.036865e-04	2.012288e-04	2.012288e-04
3.800000e+00	3.900000e+00	2.012288e-04	1.161795e-04	1.161795e-04
3.900000e+00	4.000000e+00	4.024577e-04	1.643026e-04	1.643026e-04
4.000000e+00	4.100000e+00	4.695340e-04	1.774672e-04	1.774672e-04
4.100000e+00	4.200000e+00	6.036865e-04	2.012288e-04	2.012288e-04
4.200000e+00	4.300000e+00	2.012288e-04	1.161795e-04	1.161795e-04
4.300000e+00	4.400000e+00	4.695340e-04	1.774672e-04	1.774672e-04
4.400000e+00	4.500000e+00	2.012288e-04	1.161795e-04	1.161795e-04
4.500000e+00	4.600000e+00	1.341526e-04	9.486018e-05	9.486018e-05
4.600000e+00	4.700000e+00	6.707628e-05	6.707628e-05	6.707628e-05
4.700000e+00	4.800000e+00	1.341526e-04	9.486018e-05	9.486018e-05
4.800000e+00	4.900000e+00	1.341526e-04	9.486018e-05	9.486018e-05
4.900000e+00	5.000000e+00	1.341526e-04	9.486018e-05	9.486018e-05
# END HISTO1D

