# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/ZM
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/ZM
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/ZM
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/ZM
ScaledBy=1.28523642366987385e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.410641e-04	3.410641e-04	3.410641e-04
1.000000e+00	2.000000e+00	6.821282e-04	4.823375e-04	4.823375e-04
2.000000e+00	3.000000e+00	6.821282e-04	4.823375e-04	4.823375e-04
3.000000e+00	4.000000e+00	1.705321e-03	7.626426e-04	7.626426e-04
4.000000e+00	5.000000e+00	3.069577e-03	1.023193e-03	1.023193e-03
5.000000e+00	6.000000e+00	4.433834e-03	1.229724e-03	1.229724e-03
6.000000e+00	7.000000e+00	2.728513e-03	9.646750e-04	9.646750e-04
7.000000e+00	8.000000e+00	2.046385e-03	8.354331e-04	8.354331e-04
8.000000e+00	9.000000e+00	2.728513e-03	9.646750e-04	9.646750e-04
9.000000e+00	1.000000e+01	3.069577e-03	1.023193e-03	1.023193e-03
1.000000e+01	1.100000e+01	5.798090e-03	1.406243e-03	1.406243e-03
1.100000e+01	1.200000e+01	5.457026e-03	1.364257e-03	1.364257e-03
1.200000e+01	1.300000e+01	5.457026e-03	1.364257e-03	1.364257e-03
1.300000e+01	1.400000e+01	7.503411e-03	1.599732e-03	1.599732e-03
1.400000e+01	1.500000e+01	5.115962e-03	1.320936e-03	1.320936e-03
1.500000e+01	1.600000e+01	3.410641e-03	1.078539e-03	1.078539e-03
1.600000e+01	1.700000e+01	7.503411e-03	1.599732e-03	1.599732e-03
1.700000e+01	1.800000e+01	5.798090e-03	1.406243e-03	1.406243e-03
1.800000e+01	1.900000e+01	9.890859e-03	1.836686e-03	1.836686e-03
1.900000e+01	2.000000e+01	8.526603e-03	1.705320e-03	1.705320e-03
2.000000e+01	2.100000e+01	7.503411e-03	1.599732e-03	1.599732e-03
2.100000e+01	2.200000e+01	7.844475e-03	1.635686e-03	1.635686e-03
2.200000e+01	2.300000e+01	7.844475e-03	1.635686e-03	1.635686e-03
2.300000e+01	2.400000e+01	1.125512e-02	1.959264e-03	1.959264e-03
2.400000e+01	2.500000e+01	1.330150e-02	2.129945e-03	2.129945e-03
2.500000e+01	2.600000e+01	1.091405e-02	1.929350e-03	1.929350e-03
2.600000e+01	2.700000e+01	1.432469e-02	2.210348e-03	2.210348e-03
2.700000e+01	2.800000e+01	9.890859e-03	1.836686e-03	1.836686e-03
2.800000e+01	2.900000e+01	8.867667e-03	1.739093e-03	1.739093e-03
2.900000e+01	3.000000e+01	1.364256e-02	2.157079e-03	2.157079e-03
3.000000e+01	3.100000e+01	1.739427e-02	2.435685e-03	2.435685e-03
3.100000e+01	3.200000e+01	1.466576e-02	2.236507e-03	2.236507e-03
3.200000e+01	3.300000e+01	1.909959e-02	2.552290e-03	2.552290e-03
3.300000e+01	3.400000e+01	1.261937e-02	2.074612e-03	2.074612e-03
3.400000e+01	3.500000e+01	2.046385e-02	2.641871e-03	2.641871e-03
3.500000e+01	3.600000e+01	1.568895e-02	2.313209e-03	2.313209e-03
3.600000e+01	3.700000e+01	1.807640e-02	2.482984e-03	2.482984e-03
3.700000e+01	3.800000e+01	2.421555e-02	2.873857e-03	2.873857e-03
3.800000e+01	3.900000e+01	2.012278e-02	2.619763e-03	2.619763e-03
3.900000e+01	4.000000e+01	2.557981e-02	2.953702e-03	2.953702e-03
4.000000e+01	4.100000e+01	1.909959e-02	2.552290e-03	2.552290e-03
4.100000e+01	4.200000e+01	2.933151e-02	3.162899e-03	3.162899e-03
4.200000e+01	4.300000e+01	2.899045e-02	3.144456e-03	3.144456e-03
4.300000e+01	4.400000e+01	2.796726e-02	3.088467e-03	3.088467e-03
4.400000e+01	4.500000e+01	3.649386e-02	3.527995e-03	3.527995e-03
4.500000e+01	4.600000e+01	3.683492e-02	3.544442e-03	3.544442e-03
4.600000e+01	4.700000e+01	4.399727e-02	3.873744e-03	3.873744e-03
4.700000e+01	4.800000e+01	5.115962e-02	4.177165e-03	4.177165e-03
4.800000e+01	4.900000e+01	5.695771e-02	4.407520e-03	4.407520e-03
4.900000e+01	5.000000e+01	6.412005e-02	4.676436e-03	4.676436e-03
5.000000e+01	5.100000e+01	7.571623e-02	5.081741e-03	5.081741e-03
5.100000e+01	5.200000e+01	6.548431e-02	4.725923e-03	4.725923e-03
