# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/Z_pT
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/Z_pT
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/Z_pT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/Z_pT
ScaledBy=1.28523642366987385e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.049039e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.049039e+00	1.100484e+00	6.629684e-03	6.629684e-03	6.629684e-03
1.100484e+00	1.154451e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.154451e+00	1.211064e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.211064e+00	1.270454e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.270454e+00	1.332757e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.332757e+00	1.398114e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.398114e+00	1.466677e+00	4.974463e-03	4.974462e-03	4.974462e-03
1.466677e+00	1.538602e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.538602e+00	1.614054e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.614054e+00	1.693207e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.693207e+00	1.776240e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.776240e+00	1.863346e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.863346e+00	1.954724e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.954724e+00	2.050582e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.050582e+00	2.151142e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.151142e+00	2.256632e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.256632e+00	2.367296e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.367296e+00	2.483387e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.483387e+00	2.605171e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.605171e+00	2.732927e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.732927e+00	2.866948e+00	5.089711e-03	3.598970e-03	3.598970e-03
2.866948e+00	3.007542e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.007542e+00	3.155030e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.155030e+00	3.309751e+00	2.204381e-03	2.204381e-03	2.204381e-03
3.309751e+00	3.472059e+00	4.202678e-03	2.971742e-03	2.971742e-03
3.472059e+00	3.642327e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.642327e+00	3.820945e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.820945e+00	4.008322e+00	3.640405e-03	2.574156e-03	2.574156e-03
4.008322e+00	4.204887e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.204887e+00	4.411093e+00	1.653997e-03	1.653997e-03	1.653997e-03
4.411093e+00	4.627410e+00	3.153373e-03	2.229772e-03	2.229772e-03
4.627410e+00	4.854336e+00	4.508924e-03	2.603229e-03	2.603229e-03
4.854336e+00	5.092390e+00	4.298151e-03	2.481539e-03	2.481539e-03
5.092390e+00	5.342118e+00	1.365742e-03	1.365742e-03	1.365742e-03
5.342118e+00	5.604092e+00	1.171711e-02	3.905703e-03	3.905703e-03
5.604092e+00	5.878913e+00	3.723122e-03	2.149546e-03	2.149546e-03
5.878913e+00	6.167212e+00	1.183022e-03	1.183022e-03	1.183022e-03
6.167212e+00	6.469649e+00	2.255439e-03	1.594836e-03	1.594836e-03
6.469649e+00	6.786916e+00	4.300025e-03	2.150013e-03	2.150013e-03
6.786916e+00	7.119743e+00	1.024749e-03	1.024749e-03	1.024749e-03
7.119743e+00	7.468891e+00	1.953694e-03	1.381470e-03	1.381470e-03
7.468891e+00	7.835161e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.835161e+00	8.219393e+00	4.438259e-03	1.984849e-03	1.984849e-03
8.219393e+00	8.622467e+00	1.692315e-03	1.196648e-03	1.196648e-03
8.622467e+00	9.045308e+00	4.839609e-03	1.975762e-03	1.975762e-03
9.045308e+00	9.488885e+00	3.075579e-03	1.537790e-03	1.537790e-03
9.488885e+00	9.954215e+00	2.931803e-03	1.465902e-03	1.465902e-03
9.954215e+00	1.044236e+01	5.589554e-03	1.976206e-03	1.976206e-03
1.044236e+01	1.095445e+01	3.996143e-03	1.631418e-03	1.631418e-03
1.095445e+01	1.149165e+01	6.983814e-03	2.105699e-03	2.105699e-03
1.149165e+01	1.205520e+01	4.841652e-03	1.711782e-03	1.711782e-03
1.205520e+01	1.264638e+01	6.346130e-03	1.913430e-03	1.913430e-03
1.264638e+01	1.326655e+01	8.249290e-03	2.129957e-03	2.129957e-03
1.326655e+01	1.391713e+01	5.242462e-03	1.657812e-03	1.657812e-03
1.391713e+01	1.459962e+01	4.497615e-03	1.499205e-03	1.499205e-03
1.459962e+01	1.531558e+01	4.763731e-03	1.506424e-03	1.506424e-03
1.531558e+01	1.606664e+01	3.632883e-03	1.284418e-03	1.284418e-03
1.606664e+01	1.685454e+01	8.224671e-03	1.886869e-03	1.886869e-03
1.685454e+01	1.768108e+01	7.427534e-03	1.750687e-03	1.750687e-03
1.768108e+01	1.854815e+01	7.080344e-03	1.668853e-03	1.668853e-03
1.854815e+01	1.945774e+01	7.874259e-03	1.718304e-03	1.718304e-03
1.945774e+01	2.041194e+01	8.935866e-03	1.787173e-03	1.787173e-03
2.041194e+01	2.141293e+01	7.836717e-03	1.634068e-03	1.634068e-03
2.141293e+01	2.246300e+01	7.145629e-03	1.523453e-03	1.523453e-03
2.246300e+01	2.356458e+01	1.021725e-02	1.778595e-03	1.778595e-03
2.356458e+01	2.472017e+01	1.298628e-02	1.957756e-03	1.957756e-03
2.472017e+01	2.593243e+01	1.181652e-02	1.823328e-03	1.823328e-03
2.593243e+01	2.720414e+01	1.233689e-02	1.818976e-03	1.818976e-03
2.720414e+01	2.853822e+01	8.947919e-03	1.512475e-03	1.512475e-03
2.853822e+01	2.993772e+01	1.340374e-02	1.807359e-03	1.807359e-03
2.993772e+01	3.140585e+01	1.486796e-02	1.858495e-03	1.858495e-03
3.140585e+01	3.294597e+01	1.926641e-02	2.065575e-03	2.065575e-03
3.294597e+01	3.456162e+01	1.498812e-02	1.778762e-03	1.778762e-03
3.456162e+01	3.625650e+01	1.710472e-02	1.855267e-03	1.855267e-03
3.625650e+01	3.803450e+01	2.186800e-02	2.048126e-03	2.048126e-03
3.803450e+01	3.989969e+01	2.285720e-02	2.044410e-03	2.044410e-03
3.989969e+01	4.185635e+01	2.300883e-02	2.002662e-03	2.002662e-03
4.185635e+01	4.390896e+01	2.857973e-02	2.179183e-03	2.179183e-03
4.390896e+01	4.606223e+01	3.706409e-02	2.422956e-03	2.422956e-03
4.606223e+01	4.832110e+01	4.922235e-02	2.726174e-03	2.726174e-03
4.832110e+01	5.069074e+01	6.592031e-02	3.080253e-03	3.080253e-03
5.069074e+01	5.317658e+01	5.680193e-02	2.791663e-03	2.791663e-03
5.317658e+01	5.578433e+01	9.809150e-03	1.132663e-03	1.132663e-03
5.578433e+01	5.851997e+01	8.727205e-04	3.298573e-04	3.298573e-04
