# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/Z_pT_peak
LegendOnly=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/Z_pT_peak
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/Z_pT_peak
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/CX/Analysis.yoda/MyZAnalysis/Z_pT_peak
ScaledBy=1.28523642366987385e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	4.020000e+01	1.705320e-02	5.392696e-03	5.392696e-03
4.020000e+01	4.040000e+01	2.216917e-02	6.148622e-03	6.148622e-03
4.040000e+01	4.060000e+01	2.899045e-02	7.031216e-03	7.031216e-03
4.060000e+01	4.080000e+01	1.364257e-02	4.823375e-03	4.823375e-03
4.080000e+01	4.100000e+01	1.364256e-02	4.823375e-03	4.823375e-03
4.100000e+01	4.120000e+01	3.751705e-02	7.998662e-03	7.998662e-03
4.120000e+01	4.140000e+01	2.899045e-02	7.031216e-03	7.031216e-03
4.140000e+01	4.160000e+01	2.387449e-02	6.380725e-03	6.380725e-03
4.160000e+01	4.180000e+01	2.387449e-02	6.380725e-03	6.380725e-03
4.180000e+01	4.200000e+01	3.240109e-02	7.433320e-03	7.433320e-03
4.200000e+01	4.220000e+01	1.875852e-02	5.655908e-03	5.655908e-03
4.220000e+01	4.240000e+01	2.728513e-02	6.821283e-03	6.821283e-03
4.240000e+01	4.260000e+01	3.410641e-02	7.626426e-03	7.626426e-03
4.260000e+01	4.280000e+01	2.728513e-02	6.821283e-03	6.821283e-03
4.280000e+01	4.300000e+01	3.751705e-02	7.998662e-03	7.998662e-03
4.300000e+01	4.320000e+01	2.216917e-02	6.148622e-03	6.148622e-03
4.320000e+01	4.340000e+01	2.557981e-02	6.604678e-03	6.604678e-03
4.340000e+01	4.360000e+01	3.240109e-02	7.433320e-03	7.433320e-03
4.360000e+01	4.380000e+01	2.387449e-02	6.380725e-03	6.380725e-03
4.380000e+01	4.400000e+01	3.581173e-02	7.814760e-03	7.814760e-03
4.400000e+01	4.420000e+01	4.263301e-02	8.526602e-03	8.526602e-03
4.420000e+01	4.440000e+01	3.410641e-02	7.626426e-03	7.626426e-03
4.440000e+01	4.460000e+01	4.263301e-02	8.526602e-03	8.526602e-03
4.460000e+01	4.480000e+01	2.557981e-02	6.604678e-03	6.604678e-03
4.480000e+01	4.500000e+01	3.751705e-02	7.998662e-03	7.998662e-03
4.500000e+01	4.520000e+01	4.092769e-02	8.354331e-03	8.354331e-03
4.520000e+01	4.540000e+01	3.240109e-02	7.433320e-03	7.433320e-03
4.540000e+01	4.560000e+01	2.728513e-02	6.821283e-03	6.821283e-03
4.560000e+01	4.580000e+01	3.581174e-02	7.814760e-03	7.814760e-03
4.580000e+01	4.600000e+01	4.774897e-02	9.023709e-03	9.023709e-03
4.600000e+01	4.620000e+01	3.581173e-02	7.814760e-03	7.814760e-03
4.620000e+01	4.640000e+01	3.922238e-02	8.178430e-03	8.178430e-03
4.640000e+01	4.660000e+01	4.263301e-02	8.526602e-03	8.526602e-03
4.660000e+01	4.680000e+01	5.798090e-02	9.943642e-03	9.943642e-03
4.680000e+01	4.700000e+01	4.433833e-02	8.695463e-03	8.695463e-03
4.700000e+01	4.720000e+01	4.774897e-02	9.023709e-03	9.023709e-03
4.720000e+01	4.740000e+01	3.069577e-02	7.235062e-03	7.235062e-03
4.740000e+01	4.760000e+01	6.821280e-02	1.078539e-02	1.078539e-02
4.760000e+01	4.780000e+01	6.480220e-02	1.051230e-02	1.051230e-02
4.780000e+01	4.800000e+01	4.433833e-02	8.695463e-03	8.695463e-03
4.800000e+01	4.820000e+01	5.968620e-02	1.008881e-02	1.008881e-02
4.820000e+01	4.840000e+01	5.457025e-02	9.646749e-03	9.646749e-03
4.840000e+01	4.860000e+01	6.991815e-02	1.091938e-02	1.091938e-02
4.860000e+01	4.880000e+01	5.115960e-02	9.340426e-03	9.340426e-03
4.880000e+01	4.900000e+01	4.945429e-02	9.183432e-03	9.183432e-03
4.900000e+01	4.920000e+01	4.945429e-02	9.183432e-03	9.183432e-03
4.920000e+01	4.940000e+01	5.286495e-02	9.494824e-03	9.494824e-03
4.940000e+01	4.960000e+01	7.673945e-02	1.143964e-02	1.143964e-02
4.960000e+01	4.980000e+01	6.650750e-02	1.064972e-02	1.064972e-02
4.980000e+01	5.000000e+01	7.503410e-02	1.131182e-02	1.131182e-02
5.000000e+01	5.020000e+01	8.015005e-02	1.169109e-02	1.169109e-02
5.020000e+01	5.040000e+01	7.162345e-02	1.105174e-02	1.105174e-02
5.040000e+01	5.060000e+01	8.185540e-02	1.181481e-02	1.181481e-02
5.060000e+01	5.080000e+01	8.185540e-02	1.181481e-02	1.181481e-02
5.080000e+01	5.100000e+01	6.309685e-02	1.037306e-02	1.037306e-02
5.100000e+01	5.120000e+01	7.332880e-02	1.118254e-02	1.118254e-02
5.120000e+01	5.140000e+01	5.798090e-02	9.943642e-03	9.943642e-03
5.140000e+01	5.160000e+01	6.139155e-02	1.023192e-02	1.023192e-02
5.160000e+01	5.180000e+01	7.332880e-02	1.118254e-02	1.118254e-02
5.180000e+01	5.200000e+01	6.139155e-02	1.023192e-02	1.023192e-02
5.200000e+01	5.220000e+01	6.139155e-02	1.023192e-02	1.023192e-02
5.220000e+01	5.240000e+01	5.115960e-02	9.340426e-03	9.340426e-03
5.240000e+01	5.260000e+01	5.115960e-02	9.340426e-03	9.340426e-03
5.260000e+01	5.280000e+01	4.092770e-02	8.354331e-03	8.354331e-03
5.280000e+01	5.300000e+01	3.922237e-02	8.178430e-03	8.178430e-03
5.300000e+01	5.320000e+01	2.728513e-02	6.821283e-03	6.821283e-03
5.320000e+01	5.340000e+01	2.216917e-02	6.148622e-03	6.148622e-03
5.340000e+01	5.360000e+01	1.534788e-02	5.115963e-03	5.115963e-03
5.360000e+01	5.380000e+01	2.046385e-02	5.907404e-03	5.907404e-03
5.380000e+01	5.400000e+01	1.705320e-02	5.392696e-03	5.392696e-03
5.400000e+01	5.420000e+01	3.410641e-03	2.411688e-03	2.411688e-03
5.420000e+01	5.440000e+01	1.193725e-02	4.511854e-03	4.511854e-03
5.440000e+01	5.460000e+01	6.821280e-03	3.410641e-03	3.410641e-03
5.460000e+01	5.480000e+01	5.115960e-03	2.953702e-03	2.953702e-03
5.480000e+01	5.500000e+01	6.821280e-03	3.410641e-03	3.410641e-03
5.500000e+01	5.520000e+01	1.705320e-03	1.705320e-03	1.705320e-03
5.520000e+01	5.540000e+01	6.821280e-03	3.410641e-03	3.410641e-03
5.540000e+01	5.560000e+01	6.821280e-03	3.410641e-03	3.410641e-03
5.560000e+01	5.580000e+01	1.705321e-03	1.705320e-03	1.705320e-03
5.580000e+01	5.600000e+01	1.705320e-03	1.705320e-03	1.705320e-03
5.600000e+01	5.620000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.620000e+01	5.640000e+01	1.705321e-03	1.705320e-03	1.705320e-03
5.640000e+01	5.660000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.660000e+01	5.680000e+01	1.705321e-03	1.705320e-03	1.705320e-03
5.680000e+01	5.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e+01	5.720000e+01	1.705320e-03	1.705320e-03	1.705320e-03
5.720000e+01	5.740000e+01	0.000000e+00	0.000000e+00	0.000000e+00
