# BEGIN PLOT
Legend=1
LogY=1
Title=Oblateness ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$O$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}O$
LegendXPos=0.05
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d133-x01-y01 //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d133-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d133-x01-y01 //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d133-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d133-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d133-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d133-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.072004e+01	5.546837e-01	5.546837e-01
1.000000e-02	2.000000e-02	1.188986e+01	6.193761e-01	6.193761e-01
2.000000e-02	3.000000e-02	1.136637e+01	5.810344e-01	5.810344e-01
3.000000e-02	4.000000e-02	9.391670e+00	9.900542e-02	9.900542e-02
4.000000e-02	5.000000e-02	7.474890e+00	7.875200e-02	7.875200e-02
5.000000e-02	6.000000e-02	6.080970e+00	6.716447e-02	6.716447e-02
6.000000e-02	7.000000e-02	5.019760e+00	1.757913e-01	1.757913e-01
7.000000e-02	8.000000e-02	4.270700e+00	1.529241e-01	1.529241e-01
8.000000e-02	9.000000e-02	3.645510e+00	1.308376e-01	1.308376e-01
9.000000e-02	1.000000e-01	3.201620e+00	1.218762e-01	1.218762e-01
1.000000e-01	1.100000e-01	2.828300e+00	1.083208e-01	1.083208e-01
1.100000e-01	1.200000e-01	2.472320e+00	9.215686e-02	9.215686e-02
1.200000e-01	1.300000e-01	2.186640e+00	1.007948e-01	1.007948e-01
1.300000e-01	1.400000e-01	1.937850e+00	8.885631e-02	8.885631e-02
1.400000e-01	1.500000e-01	1.747200e+00	7.900290e-02	7.900290e-02
1.500000e-01	1.600000e-01	1.611690e+00	6.518191e-02	6.518191e-02
1.600000e-01	1.700000e-01	1.402250e+00	6.239767e-02	6.239767e-02
1.700000e-01	1.800000e-01	1.273290e+00	4.765998e-02	4.765998e-02
1.800000e-01	1.900000e-01	1.172230e+00	4.893503e-02	4.893503e-02
1.900000e-01	2.000000e-01	1.043690e+00	4.587648e-02	4.587648e-02
2.000000e-01	2.100000e-01	9.532900e-01	4.494034e-02	4.494034e-02
2.100000e-01	2.200000e-01	8.789200e-01	2.769387e-02	2.769387e-02
2.200000e-01	2.300000e-01	7.754300e-01	2.969366e-02	2.969366e-02
2.300000e-01	2.400000e-01	7.085500e-01	2.601090e-02	2.601090e-02
2.400000e-01	2.500000e-01	6.543500e-01	3.277927e-02	3.277927e-02
2.500000e-01	2.600000e-01	5.843200e-01	2.778263e-02	2.778263e-02
2.600000e-01	2.700000e-01	5.444900e-01	2.630366e-02	2.630366e-02
2.700000e-01	2.800000e-01	4.818600e-01	2.029667e-02	2.029667e-02
2.800000e-01	2.900000e-01	4.510200e-01	2.299006e-02	2.299006e-02
2.900000e-01	3.000000e-01	3.976100e-01	1.742375e-02	1.742375e-02
3.000000e-01	3.100000e-01	3.758100e-01	1.285062e-02	1.285062e-02
3.100000e-01	3.200000e-01	3.317200e-01	1.621664e-02	1.621664e-02
3.200000e-01	3.300000e-01	2.979300e-01	1.118634e-02	1.118634e-02
3.300000e-01	3.400000e-01	2.622000e-01	1.635386e-02	1.635386e-02
3.400000e-01	3.500000e-01	2.230300e-01	2.284733e-02	2.284733e-02
3.500000e-01	3.600000e-01	2.103500e-01	1.386070e-02	1.386070e-02
3.600000e-01	3.700000e-01	1.897700e-01	8.639317e-03	8.639317e-03
3.700000e-01	3.800000e-01	1.632400e-01	7.353441e-03	7.353441e-03
3.800000e-01	3.900000e-01	1.482900e-01	6.850526e-03	6.850526e-03
3.900000e-01	4.000000e-01	1.193300e-01	8.330120e-03	8.330120e-03
4.000000e-01	4.100000e-01	1.093500e-01	7.487182e-03	7.487182e-03
4.100000e-01	4.200000e-01	9.194000e-02	7.586890e-03	7.586890e-03
4.200000e-01	4.300000e-01	7.835000e-02	5.060919e-03	5.060919e-03
4.300000e-01	4.400000e-01	5.943000e-02	8.011379e-03	8.011379e-03
4.400000e-01	4.500000e-01	5.317000e-02	3.308610e-03	3.308610e-03
4.500000e-01	4.600000e-01	3.726000e-02	4.832815e-03	4.832815e-03
4.600000e-01	4.700000e-01	2.715000e-02	3.536453e-03	3.536453e-03
4.700000e-01	4.800000e-01	1.974000e-02	3.134167e-03	3.134167e-03
4.800000e-01	4.900000e-01	1.334000e-02	2.040735e-03	2.040735e-03
4.900000e-01	5.000000e-01	9.090000e-03	1.540325e-03	1.540325e-03
5.000000e-01	5.100000e-01	5.950000e-03	9.921189e-04	9.921189e-04
5.100000e-01	5.200000e-01	3.030000e-03	1.307861e-03	1.307861e-03
5.200000e-01	5.300000e-01	2.010000e-03	9.178235e-04	9.178235e-04
5.300000e-01	5.400000e-01	7.700000e-04	3.605551e-04	3.605551e-04
5.400000e-01	5.500000e-01	7.800000e-04	2.513961e-04	2.513961e-04
5.500000e-01	5.600000e-01	2.000000e-04	8.062258e-05	8.062258e-05
5.600000e-01	5.700000e-01	3.000000e-05	1.414214e-05	1.414214e-05
5.700000e-01	5.800000e-01	4.000000e-05	6.164414e-05	6.164414e-05
# END HISTO1D


# BEGIN HISTO1D //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d133-x01-y01
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d133-x01-y01
ScaledBy=5.94055776320561839e-12
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.206199e+00	7.878011e-02	7.878011e-02
1.000000e-02	2.000000e-02	1.200912e+01	1.095885e-01	1.095885e-01
2.000000e-02	3.000000e-02	1.261183e+01	1.123298e-01	1.123298e-01
3.000000e-02	4.000000e-02	1.089394e+01	1.043771e-01	1.043771e-01
4.000000e-02	5.000000e-02	8.321355e+00	9.123803e-02	9.123803e-02
5.000000e-02	6.000000e-02	6.641879e+00	8.153242e-02	8.153242e-02
6.000000e-02	7.000000e-02	5.313644e+00	7.290489e-02	7.290489e-02
7.000000e-02	8.000000e-02	4.534647e+00	6.734148e-02	6.734148e-02
8.000000e-02	9.000000e-02	3.751628e+00	6.125975e-02	6.125975e-02
9.000000e-02	1.000000e-01	3.321798e+00	5.769962e-02	5.769962e-02
1.000000e-01	1.100000e-01	2.947650e+00	5.432015e-02	5.432015e-02
1.100000e-01	1.200000e-01	2.523471e+00	5.022989e-02	5.022989e-02
1.200000e-01	1.300000e-01	2.163072e+00	4.651264e-02	4.651264e-02
1.300000e-01	1.400000e-01	1.954026e+00	4.420761e-02	4.420761e-02
1.400000e-01	1.500000e-01	1.710157e+00	4.134395e-02	4.134395e-02
1.500000e-01	1.600000e-01	1.523306e+00	3.902080e-02	3.902080e-02
1.600000e-01	1.700000e-01	1.371678e+00	3.703262e-02	3.703262e-02
1.700000e-01	1.800000e-01	1.242640e+00	3.524673e-02	3.524673e-02
1.800000e-01	1.900000e-01	1.118451e+00	3.343516e-02	3.343516e-02
1.900000e-01	2.000000e-01	1.047044e+00	3.236041e-02	3.236041e-02
2.000000e-01	2.100000e-01	8.857062e-01	2.975669e-02	2.975669e-02
2.100000e-01	2.200000e-01	8.359215e-01	2.891379e-02	2.891379e-02
2.200000e-01	2.300000e-01	7.466908e-01	2.732027e-02	2.732027e-02
2.300000e-01	2.400000e-01	6.949834e-01	2.636504e-02	2.636504e-02
2.400000e-01	2.500000e-01	5.886591e-01	2.425528e-02	2.425528e-02
2.500000e-01	2.600000e-01	5.506811e-01	2.345980e-02	2.345980e-02
2.600000e-01	2.700000e-01	4.947135e-01	2.223572e-02	2.223572e-02
2.700000e-01	2.800000e-01	4.659622e-01	2.158653e-02	2.158653e-02
2.800000e-01	2.900000e-01	4.589285e-01	2.142182e-02	2.142182e-02
2.900000e-01	3.000000e-01	4.027667e-01	2.006324e-02	2.006324e-02
3.000000e-01	3.100000e-01	3.198148e-01	1.787819e-02	1.787819e-02
3.100000e-01	3.200000e-01	2.888327e-01	1.699016e-02	1.699016e-02
3.200000e-01	3.300000e-01	2.958287e-01	1.719469e-02	1.719469e-02
3.300000e-01	3.400000e-01	2.498553e-01	1.580224e-02	1.580224e-02
3.400000e-01	3.500000e-01	1.998842e-01	1.413395e-02	1.413395e-02
3.500000e-01	3.600000e-01	1.898900e-01	1.377607e-02	1.377607e-02
3.600000e-01	3.700000e-01	1.818947e-01	1.348293e-02	1.348293e-02
3.700000e-01	3.800000e-01	1.489138e-01	1.219949e-02	1.219949e-02
3.800000e-01	3.900000e-01	1.279259e-01	1.130716e-02	1.130716e-02
3.900000e-01	4.000000e-01	1.219294e-01	1.103897e-02	1.103897e-02
4.000000e-01	4.100000e-01	9.994212e-02	9.994212e-03	9.994212e-03
4.100000e-01	4.200000e-01	1.069381e-01	1.033809e-02	1.033809e-02
4.200000e-01	4.300000e-01	4.397453e-02	6.629410e-03	6.629410e-03
4.300000e-01	4.400000e-01	6.596180e-02	8.119336e-03	8.119336e-03
4.400000e-01	4.500000e-01	4.697280e-02	6.851687e-03	6.851687e-03
4.500000e-01	4.600000e-01	4.097627e-02	6.399418e-03	6.399418e-03
4.600000e-01	4.700000e-01	3.398032e-02	5.827577e-03	5.827577e-03
4.700000e-01	4.800000e-01	2.198727e-02	4.687701e-03	4.687701e-03
4.800000e-01	4.900000e-01	1.998842e-02	4.469548e-03	4.469548e-03
4.900000e-01	5.000000e-01	8.994791e-03	2.998264e-03	2.998264e-03
5.000000e-01	5.100000e-01	4.997106e-03	2.234774e-03	2.234774e-03
5.100000e-01	5.200000e-01	3.997685e-03	1.998842e-03	1.998842e-03
5.200000e-01	5.300000e-01	3.997685e-03	1.998842e-03	1.998842e-03
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	1.998842e-03	1.413395e-03	1.413395e-03
5.500000e-01	5.600000e-01	9.994212e-04	9.994212e-04	9.994212e-04
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

