# BEGIN PLOT
Legend=1
LogY=1
Title=5-jet fraction ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$\ln(y_\mathrm{cut})$
YLabel=$\sigma(\mathrm{5~jet})/\sigma(\mathrm{inclusive})$
LegendXPos=0.15
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d219-x01-y01 //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d219-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d219-x01-y01 //mt/home/mbridge/Work/LEP_Jets/Analysis.yoda/ALEPH_2004_S5765862/d219-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d219-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d219-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d219-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	5.770000e-03	7.854298e-04	7.854298e-04
-9.800000e+00	-9.600000e+00	1.129000e-02	8.648699e-04	8.648699e-04
-9.600000e+00	-9.400000e+00	2.099000e-02	1.092932e-03	1.092932e-03
-9.400000e+00	-9.200000e+00	3.699000e-02	1.111081e-03	1.111081e-03
-9.200000e+00	-9.000000e+00	5.969000e-02	1.511655e-03	1.511655e-03
-9.000000e+00	-8.800000e+00	8.982000e-02	2.805958e-03	2.805958e-03
-8.800000e+00	-8.600000e+00	1.247700e-01	3.816360e-03	3.816360e-03
-8.600000e+00	-8.400000e+00	1.621700e-01	4.960514e-03	4.960514e-03
-8.400000e+00	-8.200000e+00	1.974200e-01	4.829845e-03	4.829845e-03
-8.200000e+00	-8.000000e+00	2.257300e-01	3.409311e-03	3.409311e-03
-8.000000e+00	-7.800000e+00	2.452900e-01	2.922961e-03	2.922961e-03
-7.800000e+00	-7.600000e+00	2.521900e-01	3.217546e-03	3.217546e-03
-7.600000e+00	-7.400000e+00	2.489300e-01	3.878157e-03	3.878157e-03
-7.400000e+00	-7.200000e+00	2.342300e-01	4.995248e-03	4.995248e-03
-7.200000e+00	-7.000000e+00	2.100800e-01	5.794575e-03	5.794575e-03
-7.000000e+00	-6.800000e+00	1.805600e-01	5.886102e-03	5.886102e-03
-6.800000e+00	-6.600000e+00	1.491700e-01	6.297500e-03	6.297500e-03
-6.600000e+00	-6.400000e+00	1.183100e-01	6.116968e-03	6.116968e-03
-6.400000e+00	-6.200000e+00	9.014000e-02	6.108339e-03	6.108339e-03
-6.200000e+00	-6.000000e+00	6.624000e-02	5.575096e-03	5.575096e-03
-6.000000e+00	-5.800000e+00	4.782000e-02	4.598619e-03	4.598619e-03
-5.800000e+00	-5.600000e+00	3.371000e-02	3.350507e-03	3.350507e-03
