# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/Eta
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/Eta
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/Eta
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/Eta
ScaledBy=2.30894092070307606e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.900000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.700000e+00	4.413835e-04	3.121053e-04	3.121053e-04
-4.700000e+00	-4.600000e+00	7.591940e-06	7.591940e-06	7.591940e-06
-4.600000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.400000e+00	4.413835e-04	3.121053e-04	3.121053e-04
-4.400000e+00	-4.300000e+00	2.206917e-04	2.206917e-04	2.206917e-04
-4.300000e+00	-4.200000e+00	4.413835e-04	3.121053e-04	3.121053e-04
-4.200000e+00	-4.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.100000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.900000e+00	1.103459e-03	4.934817e-04	4.934817e-04
-3.900000e+00	-3.800000e+00	6.620752e-04	3.822493e-04	3.822493e-04
-3.800000e+00	-3.700000e+00	8.827670e-04	4.413835e-04	4.413835e-04
-3.700000e+00	-3.600000e+00	4.413835e-04	3.121053e-04	3.121053e-04
-3.600000e+00	-3.500000e+00	2.427609e-03	7.319517e-04	7.319517e-04
-3.500000e+00	-3.400000e+00	1.552434e-03	5.839448e-04	5.839448e-04
-3.400000e+00	-3.300000e+00	1.986226e-03	6.620752e-04	6.620752e-04
-3.300000e+00	-3.200000e+00	2.206917e-03	6.978885e-04	6.978885e-04
-3.200000e+00	-3.100000e+00	2.891768e-03	7.958240e-04	7.958240e-04
-3.100000e+00	-3.000000e+00	5.304194e-03	1.081191e-03	1.081191e-03
-3.000000e+00	-2.900000e+00	4.208327e-03	9.620329e-04	9.620329e-04
-2.900000e+00	-2.800000e+00	8.606978e-03	1.378220e-03	1.378220e-03
-2.800000e+00	-2.700000e+00	7.503519e-03	1.286843e-03	1.286843e-03
-2.700000e+00	-2.600000e+00	1.017460e-02	1.496862e-03	1.496862e-03
-2.600000e+00	-2.500000e+00	1.456580e-02	1.792926e-03	1.792926e-03
-2.500000e+00	-2.400000e+00	1.327195e-02	1.709539e-03	1.709539e-03
-2.400000e+00	-2.300000e+00	1.593536e-02	1.872724e-03	1.872724e-03
-2.300000e+00	-2.200000e+00	2.144506e-02	2.173628e-03	2.173628e-03
-2.200000e+00	-2.100000e+00	2.671888e-02	2.427633e-03	2.427633e-03
-2.100000e+00	-2.000000e+00	3.403967e-02	2.738786e-03	2.738786e-03
-2.000000e+00	-1.900000e+00	4.244888e-02	3.058089e-03	3.058089e-03
-1.900000e+00	-1.800000e+00	5.106330e-02	3.354318e-03	3.354318e-03
-1.800000e+00	-1.700000e+00	6.208271e-02	3.699538e-03	3.699538e-03
-1.700000e+00	-1.600000e+00	7.584166e-02	4.087403e-03	4.087403e-03
-1.600000e+00	-1.500000e+00	8.330751e-02	4.285160e-03	4.285160e-03
