# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/EtaCh
ScaledBy=5.07289600340326587e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.900000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.700000e+00	4.848744e-04	4.848743e-04	4.848743e-04
-4.700000e+00	-4.600000e+00	1.667999e-05	1.667999e-05	1.667999e-05
-4.600000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.300000e+00	-4.200000e+00	4.848744e-04	4.848743e-04	4.848743e-04
-4.200000e+00	-4.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.100000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.900000e+00	1.454623e-03	8.398270e-04	8.398270e-04
-3.900000e+00	-3.800000e+00	4.848744e-04	4.848743e-04	4.848743e-04
-3.800000e+00	-3.700000e+00	9.697487e-04	6.857159e-04	6.857159e-04
-3.700000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.500000e+00	2.424372e-03	1.084212e-03	1.084212e-03
-3.500000e+00	-3.400000e+00	9.697487e-04	6.857159e-04	6.857159e-04
-3.400000e+00	-3.300000e+00	9.697487e-04	6.857159e-04	6.857159e-04
-3.300000e+00	-3.200000e+00	3.394120e-03	1.282857e-03	1.282857e-03
-3.200000e+00	-3.100000e+00	3.878995e-03	1.371432e-03	1.371432e-03
-3.100000e+00	-3.000000e+00	5.350298e-03	1.608233e-03	1.608233e-03
-3.000000e+00	-2.900000e+00	5.350298e-03	1.608233e-03	1.608233e-03
-2.900000e+00	-2.800000e+00	9.212613e-03	2.113518e-03	2.113518e-03
-2.800000e+00	-2.700000e+00	9.212613e-03	2.113518e-03	2.113518e-03
-2.700000e+00	-2.600000e+00	1.407804e-02	2.611182e-03	2.611182e-03
-2.600000e+00	-2.500000e+00	1.406136e-02	2.611128e-03	2.611128e-03
-2.500000e+00	-2.400000e+00	1.260673e-02	2.472384e-03	2.472384e-03
-2.400000e+00	-2.300000e+00	1.506447e-02	2.699769e-03	2.699769e-03
-2.300000e+00	-2.200000e+00	1.987985e-02	3.104711e-03	3.104711e-03
-2.200000e+00	-2.100000e+00	2.862427e-02	3.724427e-03	3.724427e-03
-2.100000e+00	-2.000000e+00	3.544587e-02	4.142869e-03	4.142869e-03
-2.000000e+00	-1.900000e+00	4.373910e-02	4.600104e-03	4.600104e-03
-1.900000e+00	-1.800000e+00	5.393781e-02	5.108659e-03	5.108659e-03
-1.800000e+00	-1.700000e+00	6.403678e-02	5.570832e-03	5.570832e-03
-1.700000e+00	-1.600000e+00	8.120754e-02	6.266268e-03	6.266268e-03
