# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/Phi
ScaledBy=2.30894092070307606e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.682567e-01	7.679580e-03	7.679580e-03
6.283185e-02	1.256637e-01	1.540380e-01	7.351117e-03	7.351117e-03
1.256637e-01	1.884956e-01	1.636059e-01	7.574377e-03	7.574377e-03
1.884956e-01	2.513274e-01	1.663317e-01	7.639195e-03	7.639195e-03
2.513274e-01	3.141593e-01	1.434882e-01	7.094909e-03	7.094909e-03
3.141593e-01	3.769911e-01	1.625048e-01	7.549900e-03	7.549900e-03
3.769911e-01	4.398230e-01	1.565089e-01	7.409629e-03	7.409629e-03
4.398230e-01	5.026548e-01	1.473761e-01	7.189919e-03	7.189919e-03
5.026548e-01	5.654867e-01	1.533830e-01	7.334337e-03	7.334337e-03
5.654867e-01	6.283185e-01	1.526810e-01	7.317510e-03	7.317510e-03
6.283185e-01	6.911504e-01	1.509122e-01	7.275216e-03	7.275216e-03
6.911504e-01	7.539822e-01	1.540615e-01	7.351132e-03	7.351132e-03
7.539822e-01	8.168141e-01	1.487202e-01	7.224093e-03	7.224093e-03
8.168141e-01	8.796459e-01	1.532747e-01	7.334261e-03	7.334261e-03
8.796459e-01	9.424778e-01	1.318968e-01	6.801924e-03	6.801924e-03
9.424778e-01	1.005310e+00	1.481267e-01	7.207065e-03	7.207065e-03
1.005310e+00	1.068142e+00	1.571379e-01	7.426177e-03	7.426177e-03
1.068142e+00	1.130973e+00	1.462877e-01	7.164195e-03	7.164195e-03
1.130973e+00	1.193805e+00	1.491928e-01	7.232718e-03	7.232718e-03
1.193805e+00	1.256637e+00	1.530802e-01	7.325951e-03	7.325951e-03
1.256637e+00	1.319469e+00	1.516147e-01	7.292144e-03	7.292144e-03
1.319469e+00	1.382301e+00	1.688625e-01	7.695514e-03	7.695514e-03
1.382301e+00	1.445133e+00	1.793998e-01	7.932343e-03	7.932343e-03
1.445133e+00	1.507964e+00	1.691073e-01	7.703562e-03	7.703562e-03
1.507964e+00	1.570796e+00	1.691646e-01	7.703487e-03	7.703487e-03
1.570796e+00	1.633628e+00	1.748205e-01	7.830586e-03	7.830586e-03
1.633628e+00	1.696460e+00	1.627940e-01	7.557940e-03	7.557940e-03
1.696460e+00	1.759292e+00	1.585912e-01	7.459378e-03	7.459378e-03
1.759292e+00	1.822124e+00	1.796895e-01	7.940068e-03	7.940068e-03
1.822124e+00	1.884956e+00	1.607468e-01	7.508860e-03	7.508860e-03
1.884956e+00	1.947787e+00	1.561954e-01	7.401423e-03	7.401423e-03
1.947787e+00	2.010619e+00	1.615701e-01	7.525368e-03	7.525368e-03
2.010619e+00	2.073451e+00	1.519898e-01	7.300616e-03	7.300616e-03
2.073451e+00	2.136283e+00	1.466973e-01	7.172738e-03	7.172738e-03
2.136283e+00	2.199115e+00	1.438272e-01	7.103554e-03	7.103554e-03
2.199115e+00	2.261947e+00	1.329629e-01	6.829089e-03	6.829089e-03
2.261947e+00	2.324779e+00	1.484054e-01	7.215569e-03	7.215569e-03
2.324779e+00	2.387610e+00	1.474142e-01	7.190041e-03	7.190041e-03
2.387610e+00	2.450442e+00	1.441176e-01	7.112180e-03	7.112180e-03
2.450442e+00	2.513274e+00	1.571981e-01	7.426226e-03	7.426226e-03
2.513274e+00	2.576106e+00	1.488772e-01	7.224213e-03	7.224213e-03
2.576106e+00	2.638938e+00	1.460187e-01	7.155537e-03	7.155537e-03
2.638938e+00	2.701770e+00	1.634723e-01	7.574238e-03	7.574238e-03
2.701770e+00	2.764602e+00	1.466004e-01	7.172655e-03	7.172655e-03
2.764602e+00	2.827433e+00	1.558804e-01	7.393112e-03	7.393112e-03
2.827433e+00	2.890265e+00	1.624908e-01	7.549814e-03	7.549814e-03
2.890265e+00	2.953097e+00	1.680865e-01	7.679408e-03	7.679408e-03
2.953097e+00	3.015929e+00	1.579369e-01	7.442850e-03	7.442850e-03
3.015929e+00	3.078761e+00	1.506699e-01	7.266822e-03	7.266822e-03
3.078761e+00	3.141593e+00	1.463219e-01	7.164123e-03	7.164123e-03
3.141593e+00	3.204425e+00	1.688374e-01	7.695495e-03	7.695495e-03
3.204425e+00	3.267256e+00	1.474142e-01	7.190041e-03	7.190041e-03
3.267256e+00	3.330088e+00	1.576945e-01	7.434646e-03	7.434646e-03
3.330088e+00	3.392920e+00	1.642354e-01	7.590567e-03	7.590567e-03
3.392920e+00	3.455752e+00	1.663426e-01	7.639149e-03	7.639149e-03
3.455752e+00	3.518584e+00	1.629636e-01	7.558106e-03	7.558106e-03
3.518584e+00	3.581416e+00	1.618128e-01	7.533484e-03	7.533484e-03
3.581416e+00	3.644247e+00	1.659582e-01	7.631184e-03	7.631184e-03
3.644247e+00	3.707079e+00	1.702788e-01	7.727529e-03	7.727529e-03
3.707079e+00	3.769911e+00	1.649623e-01	7.606831e-03	7.606831e-03
3.769911e+00	3.832743e+00	1.745176e-01	7.822741e-03	7.822741e-03
3.832743e+00	3.895575e+00	1.667060e-01	7.647241e-03	7.647241e-03
3.895575e+00	3.958407e+00	1.740096e-01	7.814741e-03	7.814741e-03
3.958407e+00	4.021239e+00	1.853094e-01	8.063410e-03	8.063410e-03
4.021239e+00	4.084070e+00	1.723410e-01	7.775384e-03	7.775384e-03
4.084070e+00	4.146902e+00	1.624438e-01	7.549807e-03	7.549807e-03
4.146902e+00	4.209734e+00	1.575507e-01	7.434582e-03	7.434582e-03
4.209734e+00	4.272566e+00	1.709093e-01	7.743442e-03	7.743442e-03
4.272566e+00	4.335398e+00	1.796172e-01	7.940022e-03	7.940022e-03
4.335398e+00	4.398230e+00	1.719264e-01	7.767265e-03	7.767265e-03
4.398230e+00	4.461062e+00	1.575737e-01	7.434548e-03	7.434548e-03
4.461062e+00	4.523893e+00	1.708871e-01	7.743516e-03	7.743516e-03
4.523893e+00	4.586725e+00	1.613767e-01	7.525213e-03	7.525213e-03
4.586725e+00	4.649557e+00	1.540371e-01	7.351100e-03	7.351100e-03
4.649557e+00	4.712389e+00	1.473754e-01	7.189896e-03	7.189896e-03
4.712389e+00	4.775221e+00	1.416951e-01	7.051237e-03	7.051237e-03
4.775221e+00	4.838053e+00	1.421432e-01	7.060074e-03	7.060074e-03
4.838053e+00	4.900885e+00	1.469758e-01	7.181270e-03	7.181270e-03
4.900885e+00	4.963716e+00	1.392628e-01	6.989866e-03	6.989866e-03
4.963716e+00	5.026548e+00	1.526442e-01	7.317466e-03	7.317466e-03
5.026548e+00	5.089380e+00	1.583364e-01	7.451173e-03	7.451173e-03
5.089380e+00	5.152212e+00	1.599959e-01	7.492373e-03	7.492373e-03
5.152212e+00	5.215044e+00	1.621156e-01	7.541630e-03	7.541630e-03
5.215044e+00	5.277876e+00	1.751354e-01	7.838431e-03	7.838431e-03
5.277876e+00	5.340708e+00	1.886160e-01	8.132087e-03	8.132087e-03
5.340708e+00	5.403539e+00	1.635354e-01	7.574405e-03	7.574405e-03
5.403539e+00	5.466371e+00	1.789871e-01	7.924515e-03	7.924515e-03
5.466371e+00	5.529203e+00	1.804409e-01	7.955637e-03	7.955637e-03
5.529203e+00	5.592035e+00	1.779940e-01	7.901174e-03	7.901174e-03
5.592035e+00	5.654867e+00	1.481752e-01	7.207118e-03	7.207118e-03
5.654867e+00	5.717699e+00	1.600805e-01	7.492440e-03	7.492440e-03
5.717699e+00	5.780530e+00	1.689851e-01	7.695731e-03	7.695731e-03
5.780530e+00	5.843362e+00	1.573191e-01	7.426335e-03	7.426335e-03
5.843362e+00	5.906194e+00	1.540009e-01	7.351058e-03	7.351058e-03
