# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/RapidityPMRatio
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/RapidityPMRatio
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/RapidityPMRatio
ErrorBreakdown={0: {"": {up: 0.039770419566305476, dn: 0.039770419566305476}}, 1: {"": {up: 0.041794218828161894, dn: 0.041794218828161894}}, 2: {"": {up: 0.0416985177438653, dn: 0.0416985177438653}}, 3: {"": {up: 0.040719090472636013, dn: 0.040719090472636013}}, 4: {"": {up: 0.042232364712854589, dn: 0.042232364712854589}}, 5: {"": {up: 0.046666668614480836, dn: 0.046666668614480836}}, 6: {"": {up: 0.045043314658095225, dn: 0.045043314658095225}}, 7: {"": {up: 0.046482647571679088, dn: 0.046482647571679088}}, 8: {"": {up: 0.048926082785785099, dn: 0.048926082785785099}}, 9: {"": {up: 0.051483103076408444, dn: 0.051483103076408444}}, 10: {"": {up: 0.050387101897182325, dn: 0.050387101897182325}}, 11: {"": {up: 0.051022334206831443, dn: 0.051022334206831443}}, 12: {"": {up: 0.052363007998697537, dn: 0.052363007998697537}}, 13: {"": {up: 0.052160895684546245, dn: 0.052160895684546245}}, 14: {"": {up: 0.052967122457215292, dn: 0.052967122457215292}}, 15: {"": {up: 0.051920919590277941, dn: 0.051920919590277941}}, 16: {"": {up: 0.064302631535025107, dn: 0.064302631535025107}}, 17: {"": {up: 0.06426807419613878, dn: 0.06426807419613878}}, 18: {"": {up: 0.062588014628302199, dn: 0.062588014628302199}}, 19: {"": {up: 0.075828215673664295, dn: 0.075828215673664295}}, 20: {"": {up: 0.07499040340873489, dn: 0.07499040340873489}}, 21: {"": {up: 0.071765547261271698, dn: 0.071765547261271698}}, 22: {"": {up: 0.07022684228013433, dn: 0.07022684228013433}}, 23: {"": {up: 0.068971609525821903, dn: 0.068971609525821903}}, 24: {"": {up: 0.071699211751340905, dn: 0.071699211751340905}}, 25: {"": {up: 0.08545785248667255, dn: 0.08545785248667255}}, 26: {"": {up: 0.085074558596898844, dn: 0.085074558596898844}}, 27: {"": {up: 0.09206411183390488, dn: 0.09206411183390488}}, 28: {"": {up: 0.082834221473381944, dn: 0.082834221473381944}}, 29: {"": {up: 0.086592230610700538, dn: 0.086592230610700538}}, 30: {"": {up: 0.11059855207347404, dn: 0.11059855207347404}}, 31: {"": {up: 0.096624041896206603, dn: 0.096624041896206603}}, 32: {"": {up: 0.10978080762557105, dn: 0.10978080762557105}}, 33: {"": {up: 0.11548009578446811, dn: 0.11548009578446811}}, 34: {"": {up: 0.10300994950615361, dn: 0.10300994950615361}}, 35: {"": {up: 0.13027069457716856, dn: 0.13027069457716856}}, 36: {"": {up: 0.11701039403346207, dn: 0.11701039403346207}}, 37: {"": {up: 0.15337903881793324, dn: 0.15337903881793324}}, 38: {"": {up: 0.15876933436833032, dn: 0.15876933436833032}}, 39: {"": {up: 0.1651401718232022, dn: 0.1651401718232022}}, 40: {"": {up: 0.15696176918459645, dn: 0.15696176918459645}}, 41: {"": {up: 0.13997884159638696, dn: 0.13997884159638696}}, 42: {"": {up: 0.19052010558512703, dn: 0.19052010558512703}}, 43: {"": {up: 0.24238281641732792, dn: 0.24238281641732792}}, 44: {"": {up: 0.18444283525481447, dn: 0.18444283525481447}}, 45: {"": {up: 0.24976910562796248, dn: 0.24976910562796248}}, 46: {"": {up: 0.30850458554603638, dn: 0.30850458554603638}}, 47: {"": {up: 0.2313860025981169, dn: 0.2313860025981169}}, 48: {"": {up: 0.21735064067864202, dn: 0.21735064067864202}}, 49: {"": {up: 0.35118705861061794, dn: 0.35118705861061794}}, 50: {"": {up: 0.21951721867652435, dn: 0.21951721867652435}}, 51: {"": {up: 0.23181124976007125, dn: 0.23181124976007125}}, 52: {"": {up: 0.21709188349681058, dn: 0.21709188349681058}}, 53: {"": {up: 0.43658983533125834, dn: 0.43658983533125834}}, 54: {"": {up: 0.32021721143623744, dn: 0.32021721143623744}}, 55: {"": {up: 0.34401468837703303, dn: 0.34401468837703303}}, 56: {"": {up: 0.5430997562600941, dn: 0.5430997562600941}}, 57: {"": {up: 0.43368041655544426, dn: 0.43368041655544426}}, 58: {"": {up: 0.41536523063461794, dn: 0.41536523063461794}}, 59: {"": {up: 0.70710678118654735, dn: 0.70710678118654735}}, 60: {"": {up: 0.10798984943120776, dn: 0.10798984943120776}}, 61: {"": {up: 0.43301270189221935, dn: 0.43301270189221935}}, 62: {"": {up: 0.89475684424844337, dn: 0.89475684424844337}}, 63: {"": {up: 3.0675434380913709, dn: 3.0675434380913709}}, 64: {"": {up: 0.33466401061363027, dn: 0.33466401061363027}}, 65: {"": {up: 0.61289646964790456, dn: 0.61289646964790456}}, 66: {"": {up: 6.4807406984078595, dn: 6.4807406984078595}}, 67: {"": {up: 0.53665631459994956, dn: 0.53665631459994956}}, 68: {"": {up: 0.013054396445294238, dn: 0.013054396445294238}}, 69: {"": {up: 0.38490017945975047, dn: 0.38490017945975047}}, 70: {"": {up: 1.3693063937629155, dn: 1.3693063937629155}}, 71: {"": {up: 0.60858061945018471, dn: 0.60858061945018471}}, 72: {"": {up: 0, dn: 0}}, 73: {"": {up: .nan, dn: .nan}}, 74: {"": {up: 0.99999999999999989, dn: 0.99999999999999989}}, 75: {"": {up: .nan, dn: .nan}}, 76: {"": {up: 0, dn: 0}}, 77: {"": {up: 0, dn: 0}}, 78: {"": {up: .nan, dn: .nan}}, 79: {"": {up: 0, dn: 0}}, 80: {"": {up: .nan, dn: .nan}}, 81: {"": {up: .nan, dn: .nan}}, 82: {"": {up: .nan, dn: .nan}}, 83: {"": {up: .nan, dn: .nan}}, 84: {"": {up: .nan, dn: .nan}}, 85: {"": {up: 0, dn: 0}}, 86: {"": {up: 0, dn: 0}}, 87: {"": {up: .nan, dn: .nan}}, 88: {"": {up: 0, dn: 0}}, 89: {"": {up: .nan, dn: .nan}}, 90: {"": {up: .nan, dn: .nan}}, 91: {"": {up: .nan, dn: .nan}}, 92: {"": {up: .nan, dn: .nan}}, 93: {"": {up: 0, dn: 0}}, 94: {"": {up: .nan, dn: .nan}}, 95: {"": {up: 0, dn: 0}}, 96: {"": {up: .nan, dn: .nan}}, 97: {"": {up: .nan, dn: .nan}}, 98: {"": {up: .nan, dn: .nan}}, 99: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyFSAnalysis/RapidityPMRatio
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	9.459803e-01	3.977042e-02	3.977042e-02
5.000000e-02	1.000000e-01	9.918506e-01	4.179422e-02	4.179422e-02
1.000000e-01	1.500000e-01	9.922263e-01	4.169852e-02	4.169852e-02
1.500000e-01	2.000000e-01	9.701017e-01	4.071909e-02	4.071909e-02
2.000000e-01	2.500000e-01	9.927843e-01	4.223236e-02	4.223236e-02
2.500000e-01	3.000000e-01	1.069919e+00	4.666667e-02	4.666667e-02
3.000000e-01	3.500000e-01	1.029145e+00	4.504331e-02	4.504331e-02
3.500000e-01	4.000000e-01	1.017798e+00	4.648265e-02	4.648265e-02
4.000000e-01	4.500000e-01	1.077526e+00	4.892608e-02	4.892608e-02
4.500000e-01	5.000000e-01	1.117693e+00	5.148310e-02	5.148310e-02
5.000000e-01	5.500000e-01	1.069379e+00	5.038710e-02	5.038710e-02
5.500000e-01	6.000000e-01	1.083534e+00	5.102233e-02	5.102233e-02
6.000000e-01	6.500000e-01	1.047372e+00	5.236301e-02	5.236301e-02
6.500000e-01	7.000000e-01	1.008446e+00	5.216090e-02	5.216090e-02
7.000000e-01	7.500000e-01	9.790500e-01	5.296712e-02	5.296712e-02
7.500000e-01	8.000000e-01	9.663422e-01	5.192092e-02	5.192092e-02
8.000000e-01	8.500000e-01	1.122357e+00	6.430263e-02	6.430263e-02
8.500000e-01	9.000000e-01	1.095627e+00	6.426807e-02	6.426807e-02
9.000000e-01	9.500000e-01	1.051127e+00	6.258801e-02	6.258801e-02
9.500000e-01	1.000000e+00	1.164201e+00	7.582822e-02	7.582822e-02
1.000000e+00	1.050000e+00	1.139008e+00	7.499040e-02	7.499040e-02
1.050000e+00	1.100000e+00	1.063289e+00	7.176555e-02	7.176555e-02
1.100000e+00	1.150000e+00	9.911909e-01	7.022684e-02	7.022684e-02
1.150000e+00	1.200000e+00	9.561793e-01	6.897161e-02	6.897161e-02
1.200000e+00	1.250000e+00	9.279619e-01	7.169921e-02	7.169921e-02
1.250000e+00	1.300000e+00	1.024201e+00	8.545785e-02	8.545785e-02
1.300000e+00	1.350000e+00	9.524147e-01	8.507456e-02	8.507456e-02
1.350000e+00	1.400000e+00	1.012207e+00	9.206411e-02	9.206411e-02
1.400000e+00	1.450000e+00	8.640087e-01	8.283422e-02	8.283422e-02
1.450000e+00	1.500000e+00	8.697026e-01	8.659223e-02	8.659223e-02
1.500000e+00	1.550000e+00	1.091430e+00	1.105986e-01	1.105986e-01
1.550000e+00	1.600000e+00	8.740663e-01	9.662404e-02	9.662404e-02
1.600000e+00	1.650000e+00	1.010450e+00	1.097808e-01	1.097808e-01
1.650000e+00	1.700000e+00	9.567106e-01	1.154801e-01	1.154801e-01
1.700000e+00	1.750000e+00	7.898954e-01	1.030099e-01	1.030099e-01
1.750000e+00	1.800000e+00	1.007816e+00	1.302707e-01	1.302707e-01
1.800000e+00	1.850000e+00	8.928711e-01	1.170104e-01	1.170104e-01
1.850000e+00	1.900000e+00	1.055788e+00	1.533790e-01	1.533790e-01
1.900000e+00	1.950000e+00	9.991306e-01	1.587693e-01	1.587693e-01
1.950000e+00	2.000000e+00	1.051481e+00	1.651402e-01	1.651402e-01
2.000000e+00	2.050000e+00	9.320101e-01	1.569618e-01	1.569618e-01
2.050000e+00	2.100000e+00	7.675921e-01	1.399788e-01	1.399788e-01
2.100000e+00	2.150000e+00	1.000637e+00	1.905201e-01	1.905201e-01
2.150000e+00	2.200000e+00	1.201529e+00	2.423828e-01	2.423828e-01
2.200000e+00	2.250000e+00	8.745530e-01	1.844428e-01	1.844428e-01
2.250000e+00	2.300000e+00	1.084048e+00	2.497691e-01	2.497691e-01
2.300000e+00	2.350000e+00	1.182173e+00	3.085046e-01	3.085046e-01
2.350000e+00	2.400000e+00	9.044082e-01	2.313860e-01	2.313860e-01
2.400000e+00	2.450000e+00	8.467195e-01	2.173506e-01	2.173506e-01
2.450000e+00	2.500000e+00	1.154675e+00	3.511871e-01	3.511871e-01
2.500000e+00	2.550000e+00	8.034401e-01	2.195172e-01	2.195172e-01
2.550000e+00	2.600000e+00	6.516991e-01	2.318112e-01	2.318112e-01
2.600000e+00	2.650000e+00	6.353701e-01	2.170919e-01	2.170919e-01
2.650000e+00	2.700000e+00	1.211309e+00	4.365898e-01	4.365898e-01
2.700000e+00	2.750000e+00	8.750000e-01	3.202172e-01	3.202172e-01
2.750000e+00	2.800000e+00	7.010285e-01	3.440147e-01	3.440147e-01
2.800000e+00	2.850000e+00	1.120183e+00	5.430998e-01	5.430998e-01
2.850000e+00	2.900000e+00	1.083333e+00	4.336804e-01	4.336804e-01
2.900000e+00	2.950000e+00	7.107926e-01	4.153652e-01	4.153652e-01
2.950000e+00	3.000000e+00	1.000000e+00	7.071068e-01	7.071068e-01
3.000000e+00	3.050000e+00	1.428571e-01	1.079898e-01	1.079898e-01
3.050000e+00	3.100000e+00	5.000000e-01	4.330127e-01	4.330127e-01
3.100000e+00	3.150000e+00	1.585069e+00	8.947568e-01	8.947568e-01
3.150000e+00	3.200000e+00	3.932362e+00	3.067543e+00	3.067543e+00
3.200000e+00	3.250000e+00	4.000000e-01	3.346640e-01	3.346640e-01
3.250000e+00	3.300000e+00	6.781336e-01	6.128965e-01	6.128965e-01
3.300000e+00	3.350000e+00	6.000000e+00	6.480741e+00	6.480741e+00
3.350000e+00	3.400000e+00	8.000000e-01	5.366563e-01	5.366563e-01
3.400000e+00	3.450000e+00	1.133689e-02	1.305440e-02	1.305440e-02
3.450000e+00	3.500000e+00	3.333333e-01	3.849002e-01	3.849002e-01
3.500000e+00	3.550000e+00	1.500000e+00	1.369306e+00	1.369306e+00
3.550000e+00	3.600000e+00	6.666667e-01	6.085806e-01	6.085806e-01
3.600000e+00	3.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.650000e+00	3.700000e+00	nan	nan	nan
3.700000e+00	3.750000e+00	1.000000e+00	1.000000e+00	1.000000e+00
3.750000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	3.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.850000e+00	3.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+00	3.950000e+00	nan	nan	nan
3.950000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.050000e+00	nan	nan	nan
4.050000e+00	4.100000e+00	nan	nan	nan
4.100000e+00	4.150000e+00	nan	nan	nan
4.150000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.250000e+00	nan	nan	nan
4.250000e+00	4.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e+00	4.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.450000e+00	4.500000e+00	nan	nan	nan
