# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_O
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_O
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_O
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_O
ScaledBy=1.31203706187202063e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.023911e+00	8.688515e-01	8.688515e-01
1.000000e-02	2.000000e-02	9.280066e+00	1.078786e+00	1.078786e+00
2.000000e-02	3.000000e-02	1.040872e+01	1.142506e+00	1.142506e+00
3.000000e-02	4.000000e-02	6.274629e+00	8.867669e-01	8.867669e-01
4.000000e-02	5.000000e-02	5.773004e+00	8.505579e-01	8.505579e-01
5.000000e-02	6.000000e-02	4.151350e+00	7.204431e-01	7.204431e-01
6.000000e-02	7.000000e-02	4.263814e+00	7.312381e-01	7.312381e-01
7.000000e-02	8.000000e-02	4.030258e+00	7.094576e-01	7.094576e-01
8.000000e-02	9.000000e-02	3.027007e+00	6.144235e-01	6.144235e-01
9.000000e-02	1.000000e-01	3.014065e+00	6.143781e-01	6.143781e-01
1.000000e-01	1.100000e-01	2.261627e+00	5.320713e-01	5.320713e-01
1.100000e-01	1.200000e-01	2.771881e+00	5.882551e-01	5.882551e-01
1.200000e-01	1.300000e-01	3.018379e+00	6.143932e-01	6.143932e-01
1.300000e-01	1.400000e-01	2.010815e+00	5.016438e-01	5.016438e-01
1.400000e-01	1.500000e-01	2.153477e+00	5.171534e-01	5.171534e-01
1.500000e-01	1.600000e-01	1.037843e+00	3.549408e-01	3.549408e-01
1.600000e-01	1.700000e-01	1.383783e+00	4.159481e-01	4.159481e-01
1.700000e-01	1.800000e-01	1.509190e+00	4.344416e-01	4.344416e-01
1.800000e-01	1.900000e-01	2.395662e+00	5.466845e-01	5.466845e-01
1.900000e-01	2.000000e-01	1.262776e+00	3.966174e-01	3.966174e-01
2.000000e-01	2.100000e-01	1.651852e+00	4.522618e-01	4.522618e-01
2.100000e-01	2.200000e-01	2.529741e+00	5.609174e-01	5.609174e-01
2.200000e-01	2.300000e-01	7.567519e-01	3.072117e-01	3.072117e-01
2.300000e-01	2.400000e-01	1.137285e+00	3.762684e-01	3.762684e-01
2.400000e-01	2.500000e-01	1.401040e+00	4.160375e-01	4.160375e-01
2.500000e-01	2.600000e-01	8.864722e-01	3.318500e-01	3.318500e-01
2.600000e-01	2.700000e-01	1.392411e+00	4.159928e-01	4.159928e-01
2.700000e-01	2.800000e-01	1.154541e+00	3.763672e-01	3.763672e-01
2.800000e-01	2.900000e-01	1.396726e+00	4.160151e-01	4.160151e-01
2.900000e-01	3.000000e-01	2.508126e-01	1.773513e-01	1.773513e-01
3.000000e-01	3.100000e-01	6.486018e-01	2.805829e-01	2.805829e-01
3.100000e-01	3.200000e-01	1.267005e+00	3.966399e-01	3.966399e-01
3.200000e-01	3.300000e-01	2.680688e-01	1.775611e-01	1.775611e-01
3.300000e-01	3.400000e-01	1.513504e+00	4.344630e-01	4.344630e-01
3.400000e-01	3.500000e-01	7.653800e-01	3.072723e-01	3.072723e-01
3.500000e-01	3.600000e-01	5.016252e-01	2.508126e-01	2.508126e-01
3.600000e-01	3.700000e-01	6.313456e-01	2.804502e-01	2.804502e-01
3.700000e-01	3.800000e-01	7.610659e-01	3.072420e-01	3.072420e-01
3.800000e-01	3.900000e-01	3.762189e-01	2.172101e-01	2.172101e-01
3.900000e-01	4.000000e-01	3.762189e-01	2.172101e-01	2.172101e-01
4.000000e-01	4.100000e-01	2.508126e-01	1.773513e-01	1.773513e-01
4.100000e-01	4.200000e-01	5.016252e-01	2.508126e-01	2.508126e-01
4.200000e-01	4.300000e-01	8.778441e-01	3.317939e-01	3.317939e-01
4.300000e-01	4.400000e-01	6.313456e-01	2.804502e-01	2.804502e-01
4.400000e-01	4.500000e-01	1.254063e-01	1.254063e-01	1.254063e-01
4.500000e-01	4.600000e-01	2.551267e-01	1.774037e-01	1.774037e-01
4.600000e-01	4.700000e-01	3.805330e-01	2.172529e-01	2.172529e-01
