# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_T
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_T
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_T
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_T
ScaledBy=1.13102314470798437e+00
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	5.050000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.050000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.150000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.250000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.250000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.350000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.350000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.450000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.450000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.550000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.650000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.650000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.750000e-01	2.162094e+00	2.162095e+00	2.162095e+00
5.750000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	5.850000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.850000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	5.950000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.050000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.050000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.150000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.150000e-01	6.200000e-01	2.162094e+00	2.162095e+00	2.162095e+00
6.200000e-01	6.250000e-01	4.324190e+00	3.057664e+00	3.057664e+00
6.250000e-01	6.300000e-01	4.324190e+00	3.057664e+00	3.057664e+00
6.300000e-01	6.350000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.350000e-01	6.400000e-01	2.162094e+00	2.162095e+00	2.162095e+00
6.400000e-01	6.450000e-01	2.162094e+00	2.162095e+00	2.162095e+00
6.450000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.550000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.550000e-01	6.600000e-01	2.162094e+00	2.162095e+00	2.162095e+00
6.600000e-01	6.650000e-01	4.324190e+00	3.057664e+00	3.057664e+00
6.650000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.750000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.750000e-01	6.800000e-01	4.324190e+00	3.057664e+00	3.057664e+00
6.800000e-01	6.850000e-01	4.324190e+00	3.057664e+00	3.057664e+00
6.850000e-01	6.900000e-01	2.162094e+00	2.162095e+00	2.162095e+00
6.900000e-01	6.950000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.950000e-01	7.000000e-01	4.324190e+00	3.057664e+00	3.057664e+00
7.000000e-01	7.050000e-01	4.324190e+00	3.057664e+00	3.057664e+00
7.050000e-01	7.100000e-01	1.304695e+01	5.296551e+00	5.296551e+00
7.100000e-01	7.150000e-01	1.729676e+01	6.115328e+00	6.115328e+00
7.150000e-01	7.200000e-01	4.324190e+00	3.057664e+00	3.057664e+00
7.200000e-01	7.250000e-01	1.088485e+01	4.835163e+00	4.835163e+00
7.250000e-01	7.300000e-01	1.088562e+01	4.835175e+00	4.835175e+00
7.300000e-01	7.350000e-01	1.081047e+01	4.834591e+00	4.834591e+00
