# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_TM
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_TM
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_TM
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyHAnalysis/H_TM
ScaledBy=1.31203706187202063e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.016252e-01	2.508126e-01	2.508126e-01
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	1.254063e-01	1.254063e-01	1.254063e-01
5.000000e-02	6.000000e-02	2.261722e+00	5.320722e-01	5.320722e-01
6.000000e-02	7.000000e-02	4.640033e+00	7.628168e-01	7.628168e-01
7.000000e-02	8.000000e-02	6.400035e+00	8.955905e-01	8.955905e-01
8.000000e-02	9.000000e-02	5.016252e+00	7.931391e-01	7.931391e-01
9.000000e-02	1.000000e-01	3.636783e+00	6.753336e-01	6.753336e-01
1.000000e-01	1.100000e-01	2.763253e+00	5.882235e-01	5.882235e-01
1.100000e-01	1.200000e-01	4.518941e+00	7.524502e-01	7.524502e-01
1.200000e-01	1.300000e-01	2.508126e+00	5.608340e-01	5.608340e-01
1.300000e-01	1.400000e-01	2.888659e+00	6.014429e-01	6.014429e-01
1.400000e-01	1.500000e-01	2.763253e+00	5.882235e-01	5.882235e-01
1.500000e-01	1.600000e-01	2.637846e+00	5.747001e-01	5.747001e-01
1.600000e-01	1.700000e-01	2.637846e+00	5.747001e-01	5.747001e-01
1.700000e-01	1.800000e-01	2.023757e+00	5.016994e-01	5.016994e-01
1.800000e-01	1.900000e-01	2.512440e+00	5.608506e-01	5.608506e-01
1.900000e-01	2.000000e-01	1.885409e+00	4.857157e-01	4.857157e-01
2.000000e-01	2.100000e-01	1.643224e+00	4.522206e-01	4.522206e-01
2.100000e-01	2.200000e-01	2.144849e+00	5.171174e-01	5.171174e-01
2.200000e-01	2.300000e-01	1.543702e+00	4.346129e-01	4.346129e-01
2.300000e-01	2.400000e-01	1.132971e+00	3.762437e-01	3.762437e-01
2.400000e-01	2.500000e-01	1.132971e+00	3.762437e-01	3.762437e-01
2.500000e-01	2.600000e-01	3.148100e+00	6.270760e-01	6.270760e-01
2.600000e-01	2.700000e-01	6.399737e-01	2.805166e-01	2.805166e-01
2.700000e-01	2.800000e-01	1.383783e+00	4.159481e-01	4.159481e-01
2.800000e-01	2.900000e-01	1.011879e+00	3.547550e-01	3.547550e-01
2.900000e-01	3.000000e-01	1.772944e+00	4.693067e-01	4.693067e-01
3.000000e-01	3.100000e-01	1.894037e+00	4.857540e-01	4.857540e-01
3.100000e-01	3.200000e-01	2.270256e+00	5.321064e-01	5.321064e-01
3.200000e-01	3.300000e-01	1.902665e+00	4.857923e-01	4.857923e-01
3.300000e-01	3.400000e-01	2.006501e+00	5.016252e-01	5.016252e-01
3.400000e-01	3.500000e-01	1.526531e+00	4.345281e-01	4.345281e-01
3.500000e-01	3.600000e-01	8.907863e-01	3.318780e-01	3.318780e-01
3.600000e-01	3.700000e-01	5.189620e-01	2.510013e-01	2.510013e-01
3.700000e-01	3.800000e-01	1.647538e+00	4.522412e-01	4.522412e-01
3.800000e-01	3.900000e-01	2.391348e+00	5.466674e-01	5.466674e-01
3.900000e-01	4.000000e-01	1.777259e+00	4.693265e-01	4.693265e-01
4.000000e-01	4.100000e-01	1.517862e+00	4.344849e-01	4.344849e-01
4.100000e-01	4.200000e-01	1.530760e+00	4.345487e-01	4.345487e-01
4.200000e-01	4.300000e-01	2.015129e+00	5.016623e-01	5.016623e-01
4.300000e-01	4.400000e-01	1.003250e+00	3.547026e-01	3.547026e-01
4.400000e-01	4.500000e-01	2.594407e-01	1.774562e-01	1.774562e-01
4.500000e-01	4.600000e-01	1.128657e+00	3.762190e-01	3.762190e-01
4.600000e-01	4.700000e-01	1.262691e+00	3.966164e-01	3.966164e-01
4.700000e-01	4.800000e-01	1.141599e+00	3.762931e-01	3.762931e-01
4.800000e-01	4.900000e-01	1.258377e+00	3.965930e-01	3.965930e-01
4.900000e-01	5.000000e-01	1.128657e+00	3.762190e-01	3.762190e-01
5.000000e-01	5.100000e-01	5.059393e-01	2.508497e-01	2.508497e-01
5.100000e-01	5.200000e-01	1.132971e+00	3.762437e-01	3.762437e-01
5.200000e-01	5.300000e-01	3.762189e-01	2.172101e-01	2.172101e-01
5.300000e-01	5.400000e-01	2.508126e-01	1.773513e-01	1.773513e-01
5.400000e-01	5.500000e-01	7.524378e-01	3.071814e-01	3.071814e-01
5.500000e-01	5.600000e-01	7.524378e-01	3.071814e-01	3.071814e-01
5.600000e-01	5.700000e-01	6.270315e-01	2.804170e-01	2.804170e-01
5.700000e-01	5.800000e-01	1.254063e-01	1.254063e-01	1.254063e-01
5.800000e-01	5.900000e-01	2.508126e-01	1.773513e-01	1.773513e-01
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	3.762189e-01	2.172101e-01	2.172101e-01
6.100000e-01	6.200000e-01	1.254063e-01	1.254063e-01	1.254063e-01
6.200000e-01	6.300000e-01	1.254063e-01	1.254063e-01	1.254063e-01
6.300000e-01	6.400000e-01	2.508126e-01	1.773513e-01	1.773513e-01
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
