# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyZAnalysis/Z_phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyZAnalysis/Z_phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyZAnalysis/Z_phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlung/Analysis.yoda/MyZAnalysis/Z_phi
ScaledBy=1.31203706187202063e-01
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.624187e-01	5.646938e-02	5.646938e-02
6.283185e-02	1.256637e-01	2.016501e-01	6.312720e-02	6.312720e-02
1.256637e-01	1.884956e-01	2.002768e-01	6.311969e-02	6.311969e-02
1.884956e-01	2.513274e-01	5.987715e-02	3.457009e-02	3.457009e-02
2.513274e-01	3.141593e-01	1.218139e-01	4.890387e-02	4.890387e-02
3.141593e-01	3.769911e-01	7.983620e-02	3.991810e-02	3.991810e-02
3.769911e-01	4.398230e-01	1.810044e-01	5.988493e-02	5.988493e-02
4.398230e-01	5.026548e-01	2.608408e-01	7.196992e-02	7.196992e-02
5.026548e-01	5.654867e-01	1.603587e-01	5.645679e-02	5.645679e-02
5.654867e-01	6.283185e-01	2.801133e-01	7.468309e-02	7.468309e-02
6.283185e-01	6.911504e-01	1.610454e-01	5.646097e-02	5.646097e-02
6.911504e-01	7.539822e-01	2.202361e-01	6.620025e-02	6.620025e-02
7.539822e-01	8.168141e-01	1.803178e-01	5.988100e-02	5.988100e-02
8.168141e-01	8.796459e-01	1.610457e-01	5.646106e-02	5.646106e-02
8.796459e-01	9.424778e-01	3.991804e-02	2.822631e-02	2.822631e-02
9.424778e-01	1.005310e+00	1.596713e-01	5.645235e-02	5.645235e-02
1.005310e+00	1.068142e+00	3.028178e-01	7.731607e-02	7.731607e-02
1.068142e+00	1.130973e+00	9.979652e-02	4.463036e-02	4.463036e-02
1.130973e+00	1.193805e+00	1.404123e-01	5.281582e-02	5.281582e-02
1.193805e+00	1.256637e+00	8.052255e-02	3.992388e-02	3.992388e-02
1.256637e+00	1.319469e+00	1.397129e-01	5.280652e-02	5.280652e-02
1.319469e+00	1.382301e+00	9.979493e-02	4.462965e-02	4.462965e-02
1.382301e+00	1.445133e+00	1.397129e-01	5.280652e-02	5.280652e-02
1.445133e+00	1.507964e+00	1.397151e-01	5.280736e-02	5.280736e-02
1.507964e+00	1.570796e+00	1.596718e-01	5.645253e-02	5.645253e-02
1.570796e+00	1.633628e+00	1.197539e-01	4.888933e-02	4.888933e-02
1.633628e+00	1.696460e+00	3.200304e-01	7.983890e-02	7.983890e-02
1.696460e+00	1.759292e+00	2.794258e-01	7.467969e-02	7.467969e-02
1.759292e+00	1.822124e+00	1.596718e-01	5.645253e-02	5.645253e-02
1.822124e+00	1.884956e+00	1.397129e-01	5.280652e-02	5.280652e-02
1.884956e+00	1.947787e+00	1.810070e-01	5.988579e-02	5.988579e-02
1.947787e+00	2.010619e+00	5.987696e-02	3.456998e-02	3.456998e-02
2.010619e+00	2.073451e+00	1.197539e-01	4.888933e-02	4.888933e-02
2.073451e+00	2.136283e+00	1.816907e-01	5.988877e-02	5.988877e-02
2.136283e+00	2.199115e+00	2.002765e-01	6.311959e-02	6.311959e-02
2.199115e+00	2.261947e+00	1.397129e-01	5.280652e-02	5.280652e-02
2.261947e+00	2.324779e+00	1.596718e-01	5.645253e-02	5.645253e-02
2.324779e+00	2.387610e+00	2.216193e-01	6.620828e-02	6.620828e-02
2.387610e+00	2.450442e+00	1.803175e-01	5.988090e-02	5.988090e-02
2.450442e+00	2.513274e+00	9.979493e-02	4.462965e-02	4.462965e-02
2.513274e+00	2.576106e+00	1.603584e-01	5.645671e-02	5.645671e-02
2.576106e+00	2.638938e+00	1.004815e-01	4.463493e-02	4.463493e-02
2.638938e+00	2.701770e+00	8.052255e-02	3.992388e-02	3.992388e-02
2.701770e+00	2.764602e+00	1.796309e-01	5.987697e-02	5.987697e-02
2.764602e+00	2.827433e+00	1.417750e-01	5.282074e-02	5.282074e-02
2.827433e+00	2.890265e+00	1.397129e-01	5.280652e-02	5.280652e-02
2.890265e+00	2.953097e+00	1.596718e-01	5.645253e-02	5.645253e-02
2.953097e+00	3.015929e+00	1.816907e-01	5.988877e-02	5.988877e-02
3.015929e+00	3.078761e+00	1.596718e-01	5.645253e-02	5.645253e-02
