# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/EtaCh
ScaledBy=9.15466970245413946e-06
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	9.588719e-05	8.744396e-06	8.744396e-06
-4.900000e+00	-4.800000e+00	1.314393e-04	1.024554e-05	1.024554e-05
-4.800000e+00	-4.700000e+00	1.381829e-04	1.049580e-05	1.049580e-05
-4.700000e+00	-4.600000e+00	1.848367e-04	1.215454e-05	1.215454e-05
-4.600000e+00	-4.500000e+00	2.366522e-04	1.375499e-05	1.375499e-05
-4.500000e+00	-4.400000e+00	2.780600e-04	1.490795e-05	1.490795e-05
-4.400000e+00	-4.300000e+00	3.460821e-04	1.661467e-05	1.661467e-05
-4.300000e+00	-4.200000e+00	4.002013e-04	1.787329e-05	1.787329e-05
-4.200000e+00	-4.100000e+00	4.733586e-04	1.943645e-05	1.943645e-05
-4.100000e+00	-4.000000e+00	6.323304e-04	2.248114e-05	2.248114e-05
-4.000000e+00	-3.900000e+00	7.237487e-04	2.404141e-05	2.404141e-05
-3.900000e+00	-3.800000e+00	9.467184e-04	2.749866e-05	2.749866e-05
-3.800000e+00	-3.700000e+00	1.064474e-03	2.914635e-05	2.914635e-05
-3.700000e+00	-3.600000e+00	1.382166e-03	3.321903e-05	3.321903e-05
-3.600000e+00	-3.500000e+00	1.604191e-03	3.578287e-05	3.578287e-05
-3.500000e+00	-3.400000e+00	2.040498e-03	4.035331e-05	4.035331e-05
-3.400000e+00	-3.300000e+00	2.454135e-03	4.427303e-05	4.427303e-05
-3.300000e+00	-3.200000e+00	2.994712e-03	4.890455e-05	4.890455e-05
-3.200000e+00	-3.100000e+00	3.640914e-03	5.390336e-05	5.390336e-05
-3.100000e+00	-3.000000e+00	4.378876e-03	5.913091e-05	5.913091e-05
-3.000000e+00	-2.900000e+00	5.549869e-03	6.657414e-05	6.657414e-05
-2.900000e+00	-2.800000e+00	6.577428e-03	7.246088e-05	7.246088e-05
-2.800000e+00	-2.700000e+00	8.133914e-03	8.058935e-05	8.058935e-05
-2.700000e+00	-2.600000e+00	9.684570e-03	8.793701e-05	8.793701e-05
-2.600000e+00	-2.500000e+00	1.207864e-02	9.820294e-05	9.820294e-05
-2.500000e+00	-2.400000e+00	1.449953e-02	1.075836e-04	1.075836e-04
-2.400000e+00	-2.300000e+00	1.787968e-02	1.194803e-04	1.194803e-04
-2.300000e+00	-2.200000e+00	2.152317e-02	1.310866e-04	1.310866e-04
-2.200000e+00	-2.100000e+00	2.617997e-02	1.445723e-04	1.445723e-04
-2.100000e+00	-2.000000e+00	3.193585e-02	1.596883e-04	1.596883e-04
-2.000000e+00	-1.900000e+00	3.860423e-02	1.755716e-04	1.755716e-04
-1.900000e+00	-1.800000e+00	4.674075e-02	1.931857e-04	1.931857e-04
-1.800000e+00	-1.700000e+00	5.657936e-02	2.125585e-04	2.125585e-04
-1.700000e+00	-1.600000e+00	6.839965e-02	2.337001e-04	2.337001e-04
-1.600000e+00	-1.500000e+00	8.227968e-02	2.563224e-04	2.563224e-04
-1.500000e+00	-1.400000e+00	9.823405e-02	2.800631e-04	2.800631e-04
-1.400000e+00	-1.300000e+00	1.180881e-01	3.070768e-04	3.070768e-04
-1.300000e+00	-1.200000e+00	1.392743e-01	3.334803e-04	3.334803e-04
-1.200000e+00	-1.100000e+00	1.651292e-01	3.631250e-04	3.631250e-04
-1.100000e+00	-1.000000e+00	1.943048e-01	3.939139e-04	3.939139e-04
-1.000000e+00	-9.000000e-01	2.261123e-01	4.249389e-04	4.249389e-04
-9.000000e-01	-8.000000e-01	2.605103e-01	4.561140e-04	4.561140e-04
-8.000000e-01	-7.000000e-01	3.000271e-01	4.895061e-04	4.895061e-04
-7.000000e-01	-6.000000e-01	3.373059e-01	5.190234e-04	5.190234e-04
-6.000000e-01	-5.000000e-01	3.747144e-01	5.470489e-04	5.470489e-04
-5.000000e-01	-4.000000e-01	4.125663e-01	5.740408e-04	5.740408e-04
-4.000000e-01	-3.000000e-01	4.451881e-01	5.963017e-04	5.963017e-04
-3.000000e-01	-2.000000e-01	4.705374e-01	6.130607e-04	6.130607e-04
-2.000000e-01	-1.000000e-01	4.890242e-01	6.249899e-04	6.249899e-04
-1.000000e-01	0.000000e+00	5.003221e-01	6.321697e-04	6.321697e-04
0.000000e+00	1.000000e-01	4.991381e-01	6.314150e-04	6.314150e-04
1.000000e-01	2.000000e-01	4.897037e-01	6.254131e-04	6.254131e-04
2.000000e-01	3.000000e-01	4.702494e-01	6.128587e-04	6.128587e-04
3.000000e-01	4.000000e-01	4.430495e-01	5.948583e-04	5.948583e-04
4.000000e-01	5.000000e-01	4.105963e-01	5.726470e-04	5.726470e-04
5.000000e-01	6.000000e-01	3.746974e-01	5.470484e-04	5.470484e-04
6.000000e-01	7.000000e-01	3.374536e-01	5.191558e-04	5.191558e-04
7.000000e-01	8.000000e-01	2.979936e-01	4.878415e-04	4.878415e-04
8.000000e-01	9.000000e-01	2.614928e-01	4.569693e-04	4.569693e-04
9.000000e-01	1.000000e+00	2.262193e-01	4.250271e-04	4.250271e-04
1.000000e+00	1.100000e+00	1.938229e-01	3.934060e-04	3.934060e-04
1.100000e+00	1.200000e+00	1.657265e-01	3.637846e-04	3.637846e-04
1.200000e+00	1.300000e+00	1.403435e-01	3.347666e-04	3.347666e-04
1.300000e+00	1.400000e+00	1.174272e-01	3.062004e-04	3.062004e-04
1.400000e+00	1.500000e+00	9.830324e-02	2.801637e-04	2.801637e-04
1.500000e+00	1.600000e+00	8.209614e-02	2.560329e-04	2.560329e-04
1.600000e+00	1.700000e+00	6.860198e-02	2.340544e-04	2.340544e-04
1.700000e+00	1.800000e+00	5.612785e-02	2.116857e-04	2.116857e-04
1.800000e+00	1.900000e+00	4.679814e-02	1.933015e-04	1.933015e-04
1.900000e+00	2.000000e+00	3.883337e-02	1.760947e-04	1.760947e-04
2.000000e+00	2.100000e+00	3.198980e-02	1.598084e-04	1.598084e-04
2.100000e+00	2.200000e+00	2.588913e-02	1.437481e-04	1.437481e-04
2.200000e+00	2.300000e+00	2.170212e-02	1.316174e-04	1.316174e-04
2.300000e+00	2.400000e+00	1.774760e-02	1.190349e-04	1.190349e-04
2.400000e+00	2.500000e+00	1.476918e-02	1.085817e-04	1.085817e-04
2.500000e+00	2.600000e+00	1.209746e-02	9.827245e-05	9.827245e-05
2.600000e+00	2.700000e+00	9.872126e-03	8.878402e-05	8.878402e-05
2.700000e+00	2.800000e+00	8.041047e-03	8.011406e-05	8.011406e-05
2.800000e+00	2.900000e+00	6.670016e-03	7.298169e-05	7.298169e-05
2.900000e+00	3.000000e+00	5.416403e-03	6.576634e-05	6.576634e-05
3.000000e+00	3.100000e+00	4.454003e-03	5.963297e-05	5.963297e-05
3.100000e+00	3.200000e+00	3.597926e-03	5.358970e-05	5.358970e-05
3.200000e+00	3.300000e+00	2.932320e-03	4.837885e-05	4.837885e-05
3.300000e+00	3.400000e+00	2.361217e-03	4.342345e-05	4.342345e-05
3.400000e+00	3.500000e+00	2.044331e-03	4.040885e-05	4.040885e-05
3.500000e+00	3.600000e+00	1.646877e-03	3.626807e-05	3.626807e-05
3.600000e+00	3.700000e+00	1.377367e-03	3.317935e-05	3.317935e-05
3.700000e+00	3.800000e+00	1.099332e-03	2.962046e-05	2.962046e-05
3.800000e+00	3.900000e+00	9.065311e-04	2.690332e-05	2.690332e-05
3.900000e+00	4.000000e+00	7.208895e-04	2.398766e-05	2.398766e-05
4.000000e+00	4.100000e+00	6.018001e-04	2.191259e-05	2.191259e-05
4.100000e+00	4.200000e+00	5.289212e-04	2.055417e-05	2.055417e-05
4.200000e+00	4.300000e+00	4.318412e-04	1.858361e-05	1.858361e-05
4.300000e+00	4.400000e+00	3.463050e-04	1.663367e-05	1.663367e-05
4.400000e+00	4.500000e+00	2.750068e-04	1.482094e-05	1.482094e-05
4.500000e+00	4.600000e+00	2.396487e-04	1.382603e-05	1.382603e-05
4.600000e+00	4.700000e+00	1.769822e-04	1.188530e-05	1.188530e-05
4.700000e+00	4.800000e+00	1.373504e-04	1.046486e-05	1.046486e-05
4.800000e+00	4.900000e+00	1.071828e-04	9.248474e-06	9.248474e-06
4.900000e+00	5.000000e+00	9.402808e-05	8.669600e-06	8.669600e-06
# END HISTO1D

