# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/H_BDiff
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/H_BDiff
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/H_BDiff
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/H_BDiff
ScaledBy=1.94724396198779040e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	9.131128e+00	3.918662e-02	3.918662e-02
1.000000e-02	2.000000e-02	8.541479e+00	3.791639e-02	3.791639e-02
2.000000e-02	3.000000e-02	7.922245e+00	3.651924e-02	3.651924e-02
3.000000e-02	4.000000e-02	7.443261e+00	3.539667e-02	3.539667e-02
4.000000e-02	5.000000e-02	6.834210e+00	3.391214e-02	3.391214e-02
5.000000e-02	6.000000e-02	6.427522e+00	3.288532e-02	3.288532e-02
6.000000e-02	7.000000e-02	5.961086e+00	3.166249e-02	3.166249e-02
7.000000e-02	8.000000e-02	5.571176e+00	3.060852e-02	3.060852e-02
8.000000e-02	9.000000e-02	5.259999e+00	2.974634e-02	2.974634e-02
9.000000e-02	1.000000e-01	4.923954e+00	2.878763e-02	2.878763e-02
1.000000e-01	1.100000e-01	4.609465e+00	2.785664e-02	2.785664e-02
1.100000e-01	1.200000e-01	4.271480e+00	2.683081e-02	2.683081e-02
1.200000e-01	1.300000e-01	3.878430e+00	2.556875e-02	2.556875e-02
1.300000e-01	1.400000e-01	3.503760e+00	2.431325e-02	2.431325e-02
1.400000e-01	1.500000e-01	3.021508e+00	2.258479e-02	2.258479e-02
1.500000e-01	1.600000e-01	2.570353e+00	2.083620e-02	2.083620e-02
1.600000e-01	1.700000e-01	2.176074e+00	1.917617e-02	1.917617e-02
1.700000e-01	1.800000e-01	1.831216e+00	1.759637e-02	1.759637e-02
1.800000e-01	1.900000e-01	1.468714e+00	1.576542e-02	1.576542e-02
1.900000e-01	2.000000e-01	1.191760e+00	1.420390e-02	1.420390e-02
2.000000e-01	2.100000e-01	9.360917e-01	1.259091e-02	1.259091e-02
2.100000e-01	2.200000e-01	7.123717e-01	1.098536e-02	1.098536e-02
2.200000e-01	2.300000e-01	5.539656e-01	9.693497e-03	9.693497e-03
2.300000e-01	2.400000e-01	4.045840e-01	8.282793e-03	8.282793e-03
2.400000e-01	2.500000e-01	3.002215e-01	7.140151e-03	7.140151e-03
2.500000e-01	2.600000e-01	2.023100e-01	5.859243e-03	5.859243e-03
2.600000e-01	2.700000e-01	1.290269e-01	4.676715e-03	4.676715e-03
2.700000e-01	2.800000e-01	7.955143e-02	3.664681e-03	3.664681e-03
2.800000e-01	2.900000e-01	5.422079e-02	3.024718e-03	3.024718e-03
2.900000e-01	3.000000e-01	3.950995e-02	2.580074e-03	2.580074e-03
3.000000e-01	3.100000e-01	2.518866e-02	2.055126e-03	2.055126e-03
3.100000e-01	3.200000e-01	1.304577e-02	1.473442e-03	1.473442e-03
3.200000e-01	3.300000e-01	6.044660e-03	9.988988e-04	9.988988e-04
3.300000e-01	3.400000e-01	2.437748e-03	6.182696e-04	6.182696e-04
3.400000e-01	3.500000e-01	1.375204e-03	4.540921e-04	4.540921e-04
3.500000e-01	3.600000e-01	4.720678e-04	2.436816e-04	2.436816e-04
3.600000e-01	3.700000e-01	7.378343e-04	3.428491e-04	3.428491e-04
3.700000e-01	3.800000e-01	2.357728e-05	1.178864e-05	1.178864e-05
3.800000e-01	3.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	4.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e-01	4.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	4.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	8.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
