# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/Mass
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/Mass
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/Mass
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlung2/Analysis.yoda/MyAnalysis/Mass
ScaledBy=1.94724396198779040e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	1.141309e-06	8.070274e-07	8.070274e-07
3.000000e+00	6.000000e+00	8.161147e-04	2.157953e-05	2.157953e-05
6.000000e+00	9.000000e+00	9.621433e-03	7.409727e-05	7.409727e-05
9.000000e+00	1.200000e+01	2.501372e-02	1.194728e-04	1.194728e-04
1.200000e+01	1.500000e+01	3.290429e-02	1.370261e-04	1.370261e-04
1.500000e+01	1.800000e+01	3.174952e-02	1.345973e-04	1.345973e-04
1.800000e+01	2.100000e+01	2.811714e-02	1.266575e-04	1.266575e-04
2.100000e+01	2.400000e+01	2.417537e-02	1.174337e-04	1.174337e-04
2.400000e+01	2.700000e+01	2.039051e-02	1.078295e-04	1.078295e-04
2.700000e+01	3.000000e+01	1.692762e-02	9.820516e-05	9.820516e-05
3.000000e+01	3.300000e+01	1.426879e-02	9.008742e-05	9.008742e-05
3.300000e+01	3.600000e+01	1.253744e-02	8.433646e-05	8.433646e-05
3.600000e+01	3.900000e+01	1.157232e-02	8.087001e-05	8.087001e-05
3.900000e+01	4.200000e+01	1.122210e-02	7.945421e-05	7.945421e-05
4.200000e+01	4.500000e+01	1.181225e-02	8.135649e-05	8.135649e-05
4.500000e+01	4.800000e+01	1.209288e-02	8.209430e-05	8.209430e-05
4.800000e+01	5.100000e+01	1.182430e-02	8.088506e-05	8.088506e-05
5.100000e+01	5.400000e+01	1.121216e-02	7.840927e-05	7.840927e-05
5.400000e+01	5.700000e+01	1.047258e-02	7.546837e-05	7.546837e-05
5.700000e+01	6.000000e+01	8.970820e-03	6.946345e-05	6.946345e-05
6.000000e+01	6.300000e+01	7.516827e-03	6.325660e-05	6.325660e-05
6.300000e+01	6.600000e+01	6.228773e-03	5.725697e-05	5.725697e-05
6.600000e+01	6.900000e+01	4.790930e-03	4.981283e-05	4.981283e-05
6.900000e+01	7.200000e+01	3.566400e-03	4.246081e-05	4.246081e-05
7.200000e+01	7.500000e+01	2.424608e-03	3.439566e-05	3.439566e-05
7.500000e+01	7.800000e+01	1.600151e-03	2.748785e-05	2.748785e-05
7.800000e+01	8.100000e+01	8.276153e-04	2.046306e-05	2.046306e-05
8.100000e+01	8.400000e+01	4.281673e-04	1.492839e-05	1.492839e-05
8.400000e+01	8.700000e+01	1.852118e-04	9.656751e-06	9.656751e-06
8.700000e+01	9.000000e+01	4.922477e-05	4.986399e-06	4.986399e-06
9.000000e+01	9.300000e+01	1.174710e-05	2.553330e-06	2.553330e-06
9.300000e+01	9.600000e+01	1.141309e-06	8.070274e-07	8.070274e-07
9.600000e+01	9.900000e+01	3.929547e-08	2.778609e-08	2.778609e-08
9.900000e+01	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.110000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.170000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.230000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+02	1.260000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+02	1.290000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.290000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.350000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+02	1.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+02	1.410000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+02	1.470000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.470000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.530000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.530000e+02	1.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+02	1.590000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.590000e+02	1.620000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.620000e+02	1.650000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.710000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.710000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.770000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.770000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	1.830000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.830000e+02	1.860000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.860000e+02	1.890000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.890000e+02	1.920000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+02	1.950000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+02	1.980000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.980000e+02	2.010000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.010000e+02	2.040000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.040000e+02	2.070000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.070000e+02	2.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+02	2.130000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.130000e+02	2.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.160000e+02	2.190000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.190000e+02	2.220000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.220000e+02	2.250000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+02	2.280000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.280000e+02	2.310000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.310000e+02	2.340000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.340000e+02	2.370000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.370000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.430000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.430000e+02	2.460000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.460000e+02	2.490000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.490000e+02	2.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.520000e+02	2.550000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+02	2.580000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.580000e+02	2.610000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.610000e+02	2.640000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.640000e+02	2.670000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.670000e+02	2.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+02	2.730000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.730000e+02	2.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.760000e+02	2.790000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.790000e+02	2.820000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.820000e+02	2.850000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+02	2.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.880000e+02	2.910000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.910000e+02	2.940000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.940000e+02	2.970000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.970000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

