# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyFSAnalysis/ECh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyFSAnalysis/ECh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyFSAnalysis/ECh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyFSAnalysis/ECh
ScaledBy=1.14570555054640036e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	3.184817e-01	4.287022e-04	4.287022e-04
1.500000e+00	3.000000e+00	1.382908e-01	2.834636e-04	2.834636e-04
3.000000e+00	4.500000e+00	6.978753e-02	2.019502e-04	2.019502e-04
4.500000e+00	6.000000e+00	4.180635e-02	1.565960e-04	1.565960e-04
6.000000e+00	7.500000e+00	2.718165e-02	1.264541e-04	1.264541e-04
7.500000e+00	9.000000e+00	1.854985e-02	1.045060e-04	1.045060e-04
9.000000e+00	1.050000e+01	1.322201e-02	8.832591e-05	8.832591e-05
1.050000e+01	1.200000e+01	9.535020e-03	7.493292e-05	7.493292e-05
1.200000e+01	1.350000e+01	6.918507e-03	6.388811e-05	6.388811e-05
1.350000e+01	1.500000e+01	5.198751e-03	5.543746e-05	5.543746e-05
1.500000e+01	1.650000e+01	3.905238e-03	4.801896e-05	4.801896e-05
1.650000e+01	1.800000e+01	3.008445e-03	4.217613e-05	4.217613e-05
1.800000e+01	1.950000e+01	2.351265e-03	3.726718e-05	3.726718e-05
1.950000e+01	2.100000e+01	1.810422e-03	3.272191e-05	3.272191e-05
2.100000e+01	2.250000e+01	1.370151e-03	2.846129e-05	2.846129e-05
2.250000e+01	2.400000e+01	1.067626e-03	2.514469e-05	2.514469e-05
2.400000e+01	2.550000e+01	8.703327e-04	2.266746e-05	2.266746e-05
2.550000e+01	2.700000e+01	6.428899e-04	1.947980e-05	1.947980e-05
2.700000e+01	2.850000e+01	5.810981e-04	1.857571e-05	1.857571e-05
2.850000e+01	3.000000e+01	4.134120e-04	1.572501e-05	1.572501e-05
3.000000e+01	3.150000e+01	3.366241e-04	1.421488e-05	1.421488e-05
3.150000e+01	3.300000e+01	2.782317e-04	1.289817e-05	1.289817e-05
3.300000e+01	3.450000e+01	1.888281e-04	1.060600e-05	1.060600e-05
3.450000e+01	3.600000e+01	1.760161e-04	1.026681e-05	1.026681e-05
3.600000e+01	3.750000e+01	1.347161e-04	8.954750e-06	8.954750e-06
3.750000e+01	3.900000e+01	1.082400e-04	8.021914e-06	8.021914e-06
3.900000e+01	4.050000e+01	9.023053e-05	7.346022e-06	7.346022e-06
4.050000e+01	4.200000e+01	8.055233e-05	6.932811e-06	6.932811e-06
4.200000e+01	4.350000e+01	6.188248e-05	6.104246e-06	6.104246e-06
4.350000e+01	4.500000e+01	4.395398e-05	5.165405e-06	5.165405e-06
4.500000e+01	4.650000e+01	3.631111e-05	4.676175e-06	4.676175e-06
4.650000e+01	4.800000e+01	3.718640e-05	4.717000e-06	4.717000e-06
4.800000e+01	4.950000e+01	1.919427e-05	3.409278e-06	3.409278e-06
4.950000e+01	5.100000e+01	1.855163e-05	3.349197e-06	3.349197e-06
5.100000e+01	5.250000e+01	1.650665e-05	3.101009e-06	3.101009e-06
5.250000e+01	5.400000e+01	1.341463e-05	2.821189e-06	2.821189e-06
5.400000e+01	5.550000e+01	8.689813e-06	2.264050e-06	2.264050e-06
5.550000e+01	5.700000e+01	4.122596e-06	1.569834e-06	1.569834e-06
5.700000e+01	5.850000e+01	5.771655e-06	1.843681e-06	1.843681e-06
5.850000e+01	6.000000e+01	2.283610e-06	1.153591e-06	1.153591e-06
6.000000e+01	6.150000e+01	2.267443e-06	1.147685e-06	1.147685e-06
6.150000e+01	6.300000e+01	6.183841e-07	6.183841e-07	6.183841e-07
6.300000e+01	6.450000e+01	5.359364e-06	1.796991e-06	1.796991e-06
6.450000e+01	6.600000e+01	1.236768e-06	8.745272e-07	8.745272e-07
6.600000e+01	6.750000e+01	1.236768e-06	8.745272e-07	8.745272e-07
6.750000e+01	6.900000e+01	6.183841e-07	6.183841e-07	6.183841e-07
6.900000e+01	7.050000e+01	1.030675e-06	7.432248e-07	7.432248e-07
7.050000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.350000e+01	7.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+01	7.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.650000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	7.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.950000e+01	8.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+01	8.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.250000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.550000e+01	8.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
