# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyFSAnalysis/PtCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyFSAnalysis/PtCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyFSAnalysis/PtCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyFSAnalysis/PtCh
ScaledBy=1.14570555054640036e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	3.792681e-01	4.681118e-04	4.681118e-04
1.500000e+00	3.000000e+00	1.246172e-01	2.693942e-04	2.693942e-04
3.000000e+00	4.500000e+00	5.927654e-02	1.863303e-04	1.863303e-04
4.500000e+00	6.000000e+00	3.385526e-02	1.410350e-04	1.410350e-04
6.000000e+00	7.500000e+00	2.111420e-02	1.115133e-04	1.115133e-04
7.500000e+00	9.000000e+00	1.369034e-02	8.983234e-05	8.983234e-05
9.000000e+00	1.050000e+01	9.524020e-03	7.491871e-05	7.491871e-05
1.050000e+01	1.200000e+01	6.544398e-03	6.214925e-05	6.214925e-05
1.200000e+01	1.350000e+01	4.702227e-03	5.267849e-05	5.267849e-05
1.350000e+01	1.500000e+01	3.478715e-03	4.531357e-05	4.531357e-05
1.500000e+01	1.650000e+01	2.506920e-03	3.849921e-05	3.849921e-05
1.650000e+01	1.800000e+01	1.900849e-03	3.355797e-05	3.355797e-05
1.800000e+01	1.950000e+01	1.457407e-03	2.936492e-05	2.936492e-05
1.950000e+01	2.100000e+01	1.052297e-03	2.494068e-05	2.494068e-05
2.100000e+01	2.250000e+01	8.320867e-04	2.216974e-05	2.216974e-05
2.250000e+01	2.400000e+01	6.360623e-04	1.941598e-05	1.941598e-05
2.400000e+01	2.550000e+01	4.801217e-04	1.687887e-05	1.687887e-05
2.550000e+01	2.700000e+01	3.673523e-04	1.475363e-05	1.475363e-05
2.700000e+01	2.850000e+01	3.129684e-04	1.367847e-05	1.367847e-05
2.850000e+01	3.000000e+01	2.316316e-04	1.180015e-05	1.180015e-05
3.000000e+01	3.150000e+01	1.640883e-04	9.909768e-06	9.909768e-06
3.150000e+01	3.300000e+01	1.335533e-04	8.916011e-06	8.916011e-06
3.300000e+01	3.450000e+01	1.180404e-04	8.405170e-06	8.405170e-06
3.450000e+01	3.600000e+01	9.458653e-05	7.544319e-06	7.544319e-06
3.600000e+01	3.750000e+01	7.432013e-05	6.629046e-06	6.629046e-06
3.750000e+01	3.900000e+01	4.957459e-05	5.446291e-06	5.446291e-06
3.900000e+01	4.050000e+01	3.878465e-05	4.836963e-06	4.836963e-06
4.050000e+01	4.200000e+01	3.361037e-05	4.512914e-06	4.512914e-06
4.200000e+01	4.350000e+01	2.827201e-05	4.141289e-06	4.141289e-06
4.350000e+01	4.500000e+01	1.649028e-05	3.179993e-06	3.179993e-06
4.500000e+01	4.650000e+01	1.818207e-05	3.291243e-06	3.291243e-06
4.650000e+01	4.800000e+01	1.052880e-05	2.501905e-06	2.501905e-06
4.800000e+01	4.950000e+01	7.626807e-06	2.132218e-06	2.132218e-06
4.950000e+01	5.100000e+01	1.257399e-05	2.711218e-06	2.711218e-06
5.100000e+01	5.250000e+01	5.153271e-06	1.736882e-06	1.736882e-06
