# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyHAnalysis/H_Tm
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyHAnalysis/H_Tm
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyHAnalysis/H_Tm
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyHAnalysis/H_Tm
ScaledBy=3.03660502498083462e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	2.458470e-02	7.774364e-03	7.774364e-03
2.000000e-02	3.000000e-02	4.007953e-01	3.132684e-02	3.132684e-02
3.000000e-02	4.000000e-02	2.838111e+00	8.349268e-02	8.349268e-02
4.000000e-02	5.000000e-02	8.131443e+00	1.412972e-01	1.412972e-01
5.000000e-02	6.000000e-02	1.107777e+01	1.648446e-01	1.648446e-01
6.000000e-02	7.000000e-02	1.163582e+01	1.686763e-01	1.686763e-01
7.000000e-02	8.000000e-02	1.027735e+01	1.580468e-01	1.580468e-01
8.000000e-02	9.000000e-02	8.824715e+00	1.459095e-01	1.459095e-01
9.000000e-02	1.000000e-01	7.422569e+00	1.331702e-01	1.331702e-01
1.000000e-01	1.100000e-01	6.140690e+00	1.203298e-01	1.203298e-01
1.100000e-01	1.200000e-01	5.035802e+00	1.080932e-01	1.080932e-01
1.200000e-01	1.300000e-01	3.966318e+00	9.502616e-02	9.502616e-02
1.300000e-01	1.400000e-01	3.472627e+00	8.864282e-02	8.864282e-02
1.400000e-01	1.500000e-01	2.977085e+00	8.116977e-02	8.116977e-02
1.500000e-01	1.600000e-01	2.483805e+00	7.363925e-02	7.363925e-02
1.600000e-01	1.700000e-01	2.110898e+00	6.695070e-02	6.695070e-02
1.700000e-01	1.800000e-01	1.877153e+00	6.287069e-02	6.287069e-02
1.800000e-01	1.900000e-01	1.681137e+00	5.899043e-02	5.899043e-02
1.900000e-01	2.000000e-01	1.426847e+00	5.383413e-02	5.383413e-02
2.000000e-01	2.100000e-01	1.214056e+00	4.974412e-02	4.974412e-02
2.100000e-01	2.200000e-01	1.038835e+00	4.587190e-02	4.587190e-02
2.200000e-01	2.300000e-01	9.092935e-01	4.246296e-02	4.246296e-02
2.300000e-01	2.400000e-01	7.731603e-01	3.862375e-02	3.862375e-02
2.400000e-01	2.500000e-01	6.625218e-01	3.578884e-02	3.578884e-02
2.500000e-01	2.600000e-01	5.369901e-01	3.195409e-02	3.195409e-02
2.600000e-01	2.700000e-01	5.100584e-01	3.104238e-02	3.104238e-02
2.700000e-01	2.800000e-01	4.259508e-01	2.843900e-02	2.843900e-02
2.800000e-01	2.900000e-01	3.575266e-01	2.587946e-02	2.587946e-02
2.900000e-01	3.000000e-01	3.347266e-01	2.491061e-02	2.491061e-02
3.000000e-01	3.100000e-01	2.975903e-01	2.343412e-02	2.343412e-02
3.100000e-01	3.200000e-01	2.135474e-01	1.976087e-02	1.976087e-02
3.200000e-01	3.300000e-01	2.132891e-01	2.004287e-02	2.004287e-02
3.300000e-01	3.400000e-01	1.571108e-01	1.711001e-02	1.711001e-02
3.400000e-01	3.500000e-01	1.140628e-01	1.430809e-02	1.430809e-02
3.500000e-01	3.600000e-01	9.501917e-02	1.308289e-02	1.308289e-02
3.600000e-01	3.700000e-01	8.145673e-02	1.200569e-02	1.200569e-02
3.700000e-01	3.800000e-01	6.299311e-02	1.041567e-02	1.041567e-02
3.800000e-01	3.900000e-01	4.520329e-02	9.186092e-03	9.186092e-03
3.900000e-01	4.000000e-01	4.199996e-02	8.903827e-03	8.903827e-03
4.000000e-01	4.100000e-01	3.058059e-02	7.251035e-03	7.251035e-03
4.100000e-01	4.200000e-01	2.162949e-02	6.326880e-03	6.326880e-03
4.200000e-01	4.300000e-01	9.898990e-03	4.041672e-03	4.041672e-03
4.300000e-01	4.400000e-01	1.569997e-02	5.288424e-03	5.288424e-03
4.400000e-01	4.500000e-01	1.078261e-02	4.461759e-03	4.461759e-03
4.500000e-01	4.600000e-01	4.917359e-03	2.839039e-03	2.839039e-03
4.600000e-01	4.700000e-01	1.065407e-02	4.413348e-03	4.413348e-03
4.700000e-01	4.800000e-01	1.639120e-03	1.639120e-03	1.639120e-03
4.800000e-01	4.900000e-01	3.278240e-03	2.318065e-03	2.318065e-03
4.900000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.100000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.300000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.700000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	7.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.900000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.300000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	8.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.900000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.100000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e-01	9.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.700000e-01	9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	9.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

