# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyZAnalysis/ZM
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyZAnalysis/ZM
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyZAnalysis/ZM
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungAll/Analysis.yoda/MyZAnalysis/ZM
ScaledBy=3.03660502498083462e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	7.375409e-05	4.258194e-05	4.258194e-05
1.000000e+00	2.000000e+00	5.415144e-04	1.118608e-04	1.118608e-04
2.000000e+00	3.000000e+00	8.384673e-04	1.379296e-04	1.379296e-04
3.000000e+00	4.000000e+00	9.915940e-04	1.526553e-04	1.526553e-04
4.000000e+00	5.000000e+00	1.420302e-03	1.832960e-04	1.832960e-04
5.000000e+00	6.000000e+00	1.677573e-03	1.961465e-04	1.961465e-04
6.000000e+00	7.000000e+00	2.382332e-03	2.367875e-04	2.367875e-04
7.000000e+00	8.000000e+00	2.502042e-03	2.428640e-04	2.428640e-04
8.000000e+00	9.000000e+00	3.138851e-03	2.700814e-04	2.700814e-04
9.000000e+00	1.000000e+01	3.056257e-03	2.667889e-04	2.667889e-04
1.000000e+01	1.100000e+01	4.133659e-03	3.104110e-04	3.104110e-04
1.100000e+01	1.200000e+01	3.841673e-03	3.021258e-04	3.021258e-04
1.200000e+01	1.300000e+01	4.034026e-03	3.077336e-04	3.077336e-04
1.300000e+01	1.400000e+01	5.261363e-03	3.493369e-04	3.493369e-04
1.400000e+01	1.500000e+01	5.686202e-03	3.652528e-04	3.652528e-04
1.500000e+01	1.600000e+01	6.026055e-03	3.758480e-04	3.758480e-04
1.600000e+01	1.700000e+01	6.177262e-03	3.803560e-04	3.803560e-04
1.700000e+01	1.800000e+01	6.492078e-03	3.860321e-04	3.860321e-04
1.800000e+01	1.900000e+01	7.529628e-03	4.164442e-04	4.164442e-04
1.900000e+01	2.000000e+01	7.182846e-03	4.090171e-04	4.090171e-04
2.000000e+01	2.100000e+01	7.131102e-03	4.079252e-04	4.079252e-04
2.100000e+01	2.200000e+01	7.703620e-03	4.249008e-04	4.249008e-04
2.200000e+01	2.300000e+01	9.032342e-03	4.591964e-04	4.591964e-04
2.300000e+01	2.400000e+01	1.009657e-02	4.852586e-04	4.852586e-04
2.400000e+01	2.500000e+01	9.523559e-03	4.716659e-04	4.716659e-04
2.500000e+01	2.600000e+01	9.783422e-03	4.747807e-04	4.747807e-04
2.600000e+01	2.700000e+01	1.044848e-02	4.933455e-04	4.933455e-04
2.700000e+01	2.800000e+01	1.175194e-02	5.256491e-04	5.256491e-04
2.800000e+01	2.900000e+01	1.092557e-02	5.033053e-04	5.033053e-04
2.900000e+01	3.000000e+01	1.399001e-02	5.709961e-04	5.709961e-04
3.000000e+01	3.100000e+01	1.330918e-02	5.566240e-04	5.566240e-04
3.100000e+01	3.200000e+01	1.414445e-02	5.723103e-04	5.723103e-04
3.200000e+01	3.300000e+01	1.557981e-02	6.048082e-04	6.048082e-04
3.300000e+01	3.400000e+01	1.580866e-02	6.068974e-04	6.068974e-04
3.400000e+01	3.500000e+01	1.752911e-02	6.404313e-04	6.404313e-04
3.500000e+01	3.600000e+01	1.875903e-02	6.605801e-04	6.605801e-04
3.600000e+01	3.700000e+01	2.099014e-02	6.998793e-04	6.998793e-04
3.700000e+01	3.800000e+01	2.162421e-02	7.103296e-04	7.103296e-04
3.800000e+01	3.900000e+01	2.051338e-02	6.925578e-04	6.925578e-04
3.900000e+01	4.000000e+01	2.303455e-02	7.332864e-04	7.332864e-04
4.000000e+01	4.100000e+01	2.409798e-02	7.499057e-04	7.499057e-04
4.100000e+01	4.200000e+01	2.694744e-02	7.923993e-04	7.923993e-04
4.200000e+01	4.300000e+01	2.828966e-02	8.113356e-04	8.113356e-04
4.300000e+01	4.400000e+01	3.116158e-02	8.532439e-04	8.532439e-04
4.400000e+01	4.500000e+01	3.485644e-02	9.007049e-04	9.007049e-04
4.500000e+01	4.600000e+01	3.914104e-02	9.514514e-04	9.514514e-04
4.600000e+01	4.700000e+01	4.543473e-02	1.029361e-03	1.029361e-03
4.700000e+01	4.800000e+01	5.344993e-02	1.116415e-03	1.116415e-03
4.800000e+01	4.900000e+01	6.017094e-02	1.187523e-03	1.187523e-03
4.900000e+01	5.000000e+01	6.987949e-02	1.278485e-03	1.278485e-03
5.000000e+01	5.100000e+01	8.220689e-02	1.386334e-03	1.386334e-03
