# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/EtaCh
ScaledBy=7.05600451357071856e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	1.029622e-04	2.751781e-05	2.751781e-05
-4.900000e+00	-4.800000e+00	1.250256e-04	3.032315e-05	3.032315e-05
-4.800000e+00	-4.700000e+00	1.176711e-04	2.941778e-05	2.941778e-05
-4.700000e+00	-4.600000e+00	1.985700e-04	3.821481e-05	3.821481e-05
-4.600000e+00	-4.500000e+00	1.397344e-04	3.205728e-05	3.205728e-05
-4.500000e+00	-4.400000e+00	2.721144e-04	4.473534e-05	4.473534e-05
-4.400000e+00	-4.300000e+00	3.971400e-04	5.404391e-05	5.404391e-05
-4.300000e+00	-4.200000e+00	4.853933e-04	5.974779e-05	5.974779e-05
-4.200000e+00	-4.100000e+00	4.780389e-04	5.929343e-05	5.929343e-05
-4.100000e+00	-4.000000e+00	5.662922e-04	6.453499e-05	6.453499e-05
-4.000000e+00	-3.900000e+00	7.354445e-04	7.354444e-05	7.354444e-05
-3.900000e+00	-3.800000e+00	8.384067e-04	7.852398e-05	7.852398e-05
-3.800000e+00	-3.700000e+00	1.044331e-03	8.763832e-05	8.763832e-05
-3.700000e+00	-3.600000e+00	1.419408e-03	1.021712e-04	1.021712e-04
-3.600000e+00	-3.500000e+00	1.404699e-03	1.016404e-04	1.016404e-04
-3.500000e+00	-3.400000e+00	1.853320e-03	1.167482e-04	1.167482e-04
-3.400000e+00	-3.300000e+00	2.559347e-03	1.371954e-04	1.371954e-04
-3.300000e+00	-3.200000e+00	3.103576e-03	1.510797e-04	1.510797e-04
-3.200000e+00	-3.100000e+00	3.390399e-03	1.579066e-04	1.579066e-04
-3.100000e+00	-3.000000e+00	4.765680e-03	1.872136e-04	1.872136e-04
-3.000000e+00	-2.900000e+00	5.295200e-03	1.973404e-04	1.973404e-04
-2.900000e+00	-2.800000e+00	6.185088e-03	2.132789e-04	2.132789e-04
-2.800000e+00	-2.700000e+00	8.244332e-03	2.462366e-04	2.462366e-04
-2.700000e+00	-2.600000e+00	9.862310e-03	2.693173e-04	2.693173e-04
-2.600000e+00	-2.500000e+00	1.176711e-02	2.941778e-04	2.941778e-04
-2.500000e+00	-2.400000e+00	1.463534e-02	3.280774e-04	3.280774e-04
-2.400000e+00	-2.300000e+00	1.742268e-02	3.579582e-04	3.579582e-04
-2.300000e+00	-2.200000e+00	2.142350e-02	3.969356e-04	3.969356e-04
-2.200000e+00	-2.100000e+00	2.644658e-02	4.410214e-04	4.410214e-04
-2.100000e+00	-2.000000e+00	3.204331e-02	4.854491e-04	4.854491e-04
-2.000000e+00	-1.900000e+00	3.982432e-02	5.411892e-04	5.411892e-04
-1.900000e+00	-1.800000e+00	4.667866e-02	5.859143e-04	5.859143e-04
-1.800000e+00	-1.700000e+00	5.581288e-02	6.406814e-04	6.406814e-04
-1.700000e+00	-1.600000e+00	6.771237e-02	7.056819e-04	7.056819e-04
-1.600000e+00	-1.500000e+00	8.245803e-02	7.787381e-04	7.787381e-04
-1.500000e+00	-1.400000e+00	9.870400e-02	8.520053e-04	8.520053e-04
