# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/EtaSumEt
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/EtaSumEt
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/EtaSumEt
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/EtaSumEt
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.072783e+00	8.646918e-03	8.646918e-03
5.000000e-02	1.000000e-01	2.067227e+00	8.635783e-03	8.635783e-03
1.000000e-01	1.500000e-01	2.054369e+00	8.616864e-03	8.616864e-03
1.500000e-01	2.000000e-01	2.062340e+00	8.665977e-03	8.665977e-03
2.000000e-01	2.500000e-01	2.020525e+00	8.546480e-03	8.546480e-03
2.500000e-01	3.000000e-01	1.986092e+00	8.574125e-03	8.574125e-03
3.000000e-01	3.500000e-01	1.959164e+00	8.574366e-03	8.574366e-03
3.500000e-01	4.000000e-01	1.930285e+00	8.578541e-03	8.578541e-03
4.000000e-01	4.500000e-01	1.878033e+00	8.542678e-03	8.542678e-03
4.500000e-01	5.000000e-01	1.846318e+00	8.515753e-03	8.515753e-03
5.000000e-01	5.500000e-01	1.813111e+00	8.561734e-03	8.561734e-03
5.500000e-01	6.000000e-01	1.762367e+00	8.537089e-03	8.537089e-03
6.000000e-01	6.500000e-01	1.703771e+00	8.411387e-03	8.411387e-03
6.500000e-01	7.000000e-01	1.669351e+00	8.512871e-03	8.512871e-03
7.000000e-01	7.500000e-01	1.629888e+00	8.558143e-03	8.558143e-03
7.500000e-01	8.000000e-01	1.573603e+00	8.570618e-03	8.570618e-03
8.000000e-01	8.500000e-01	1.516207e+00	8.533327e-03	8.533327e-03
8.500000e-01	9.000000e-01	1.453524e+00	8.564017e-03	8.564017e-03
9.000000e-01	9.500000e-01	1.410224e+00	8.529129e-03	8.529129e-03
9.500000e-01	1.000000e+00	1.347958e+00	8.377852e-03	8.377852e-03
1.000000e+00	1.050000e+00	1.307819e+00	8.552638e-03	8.552638e-03
1.050000e+00	1.100000e+00	1.251267e+00	8.459158e-03	8.459158e-03
1.100000e+00	1.150000e+00	1.202345e+00	8.475832e-03	8.475832e-03
1.150000e+00	1.200000e+00	1.174952e+00	8.741679e-03	8.741679e-03
1.200000e+00	1.250000e+00	1.107973e+00	8.409107e-03	8.409107e-03
1.250000e+00	1.300000e+00	1.074625e+00	8.602912e-03	8.602912e-03
1.300000e+00	1.350000e+00	1.025995e+00	8.652402e-03	8.652402e-03
1.350000e+00	1.400000e+00	9.785938e-01	8.657068e-03	8.657068e-03
1.400000e+00	1.450000e+00	9.242506e-01	8.506418e-03	8.506418e-03
1.450000e+00	1.500000e+00	8.969586e-01	8.608532e-03	8.608532e-03
1.500000e+00	1.550000e+00	8.479801e-01	8.512311e-03	8.512311e-03
1.550000e+00	1.600000e+00	8.067723e-01	8.661287e-03	8.661287e-03
1.600000e+00	1.650000e+00	7.830411e-01	8.738536e-03	8.738536e-03
1.650000e+00	1.700000e+00	7.324173e-01	8.507195e-03	8.507195e-03
1.700000e+00	1.750000e+00	7.230536e-01	8.932430e-03	8.932430e-03
1.750000e+00	1.800000e+00	6.639790e-01	8.569471e-03	8.569471e-03
1.800000e+00	1.850000e+00	6.378466e-01	8.398955e-03	8.398955e-03
1.850000e+00	1.900000e+00	6.101639e-01	8.313551e-03	8.313551e-03
1.900000e+00	1.950000e+00	5.915776e-01	8.682868e-03	8.682868e-03
1.950000e+00	2.000000e+00	5.657399e-01	8.653287e-03	8.653287e-03
2.000000e+00	2.050000e+00	5.325048e-01	8.700186e-03	8.700186e-03
2.050000e+00	2.100000e+00	5.007527e-01	8.067526e-03	8.067526e-03
2.100000e+00	2.150000e+00	4.810265e-01	8.618649e-03	8.618649e-03
2.150000e+00	2.200000e+00	4.639475e-01	8.688105e-03	8.688105e-03
2.200000e+00	2.250000e+00	4.502403e-01	8.804861e-03	8.804861e-03
2.250000e+00	2.300000e+00	4.194907e-01	8.808733e-03	8.808733e-03
2.300000e+00	2.350000e+00	3.932428e-01	8.366614e-03	8.366614e-03
2.350000e+00	2.400000e+00	3.835451e-01	8.581580e-03	8.581580e-03
2.400000e+00	2.450000e+00	3.471422e-01	7.640177e-03	7.640177e-03
2.450000e+00	2.500000e+00	3.464268e-01	8.706829e-03	8.706829e-03
2.500000e+00	2.550000e+00	3.230761e-01	8.525020e-03	8.525020e-03
2.550000e+00	2.600000e+00	3.046555e-01	8.003701e-03	8.003701e-03
2.600000e+00	2.650000e+00	2.981876e-01	8.606132e-03	8.606132e-03
2.650000e+00	2.700000e+00	2.739059e-01	8.066777e-03	8.066777e-03
2.700000e+00	2.750000e+00	2.699196e-01	8.497605e-03	8.497605e-03
2.750000e+00	2.800000e+00	2.439709e-01	7.545860e-03	7.545860e-03
2.800000e+00	2.850000e+00	2.470703e-01	8.676145e-03	8.676145e-03
2.850000e+00	2.900000e+00	2.270623e-01	7.987758e-03	7.987758e-03
2.900000e+00	2.950000e+00	2.200584e-01	8.283736e-03	8.283736e-03
2.950000e+00	3.000000e+00	2.011027e-01	9.033788e-03	9.033788e-03
3.000000e+00	3.050000e+00	2.048868e-01	8.629307e-03	8.629307e-03
3.050000e+00	3.100000e+00	1.710956e-01	7.487675e-03	7.487675e-03
3.100000e+00	3.150000e+00	1.732887e-01	7.483806e-03	7.483806e-03
3.150000e+00	3.200000e+00	1.653002e-01	7.348986e-03	7.348986e-03
3.200000e+00	3.250000e+00	1.581113e-01	7.917909e-03	7.917909e-03
3.250000e+00	3.300000e+00	1.354912e-01	7.037104e-03	7.037104e-03
3.300000e+00	3.350000e+00	1.261328e-01	7.279848e-03	7.279848e-03
3.350000e+00	3.400000e+00	1.304292e-01	8.015418e-03	8.015418e-03
3.400000e+00	3.450000e+00	1.118560e-01	7.321730e-03	7.321730e-03
3.450000e+00	3.500000e+00	1.230632e-01	8.750522e-03	8.750522e-03
3.500000e+00	3.550000e+00	1.059035e-01	7.157718e-03	7.157718e-03
3.550000e+00	3.600000e+00	1.040365e-01	9.110255e-03	9.110255e-03
3.600000e+00	3.650000e+00	1.039819e-01	7.409435e-03	7.409435e-03
3.650000e+00	3.700000e+00	1.182466e-01	1.034771e-02	1.034771e-02
