# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/Phi
ScaledBy=3.35046170659837692e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.577573e-01	9.363811e-04	9.363811e-04
6.283185e-02	1.256637e-01	1.573015e-01	9.350275e-04	9.350275e-04
1.256637e-01	1.884956e-01	1.593800e-01	9.411845e-04	9.411845e-04
1.884956e-01	2.513274e-01	1.589190e-01	9.398229e-04	9.398229e-04
2.513274e-01	3.141593e-01	1.584797e-01	9.385222e-04	9.385222e-04
3.141593e-01	3.769911e-01	1.582576e-01	9.378652e-04	9.378652e-04
3.769911e-01	4.398230e-01	1.580795e-01	9.373365e-04	9.373365e-04
4.398230e-01	5.026548e-01	1.589524e-01	9.399216e-04	9.399216e-04
5.026548e-01	5.654867e-01	1.596246e-01	9.419063e-04	9.419063e-04
5.654867e-01	6.283185e-01	1.594416e-01	9.413666e-04	9.413666e-04
6.283185e-01	6.911504e-01	1.601082e-01	9.433319e-04	9.433319e-04
6.911504e-01	7.539822e-01	1.587356e-01	9.392805e-04	9.392805e-04
7.539822e-01	8.168141e-01	1.598080e-01	9.424474e-04	9.424474e-04
8.168141e-01	8.796459e-01	1.586522e-01	9.390337e-04	9.390337e-04
8.796459e-01	9.424778e-01	1.598358e-01	9.425292e-04	9.425292e-04
9.424778e-01	1.005310e+00	1.590069e-01	9.400798e-04	9.400798e-04
1.005310e+00	1.068142e+00	1.594966e-01	9.415276e-04	9.415276e-04
1.068142e+00	1.130973e+00	1.589711e-01	9.399829e-04	9.399829e-04
1.130973e+00	1.193805e+00	1.557338e-01	9.303553e-04	9.303553e-04
1.193805e+00	1.256637e+00	1.571900e-01	9.346949e-04	9.346949e-04
1.256637e+00	1.319469e+00	1.579292e-01	9.368901e-04	9.368901e-04
1.319469e+00	1.382301e+00	1.581849e-01	9.376480e-04	9.376480e-04
1.382301e+00	1.445133e+00	1.598800e-01	9.426588e-04	9.426588e-04
1.445133e+00	1.507964e+00	1.601049e-01	9.433290e-04	9.433290e-04
1.507964e+00	1.570796e+00	1.612973e-01	9.468278e-04	9.468278e-04
1.570796e+00	1.633628e+00	1.591130e-01	9.403949e-04	9.403949e-04
1.633628e+00	1.696460e+00	1.616030e-01	9.477245e-04	9.477245e-04
1.696460e+00	1.759292e+00	1.600189e-01	9.430684e-04	9.430684e-04
1.759292e+00	1.822124e+00	1.599912e-01	9.429865e-04	9.429865e-04
1.822124e+00	1.884956e+00	1.592131e-01	9.406906e-04	9.406906e-04
1.884956e+00	1.947787e+00	1.594269e-01	9.413293e-04	9.413293e-04
1.947787e+00	2.010619e+00	1.586962e-01	9.391623e-04	9.391623e-04
2.010619e+00	2.073451e+00	1.589686e-01	9.399679e-04	9.399679e-04
2.073451e+00	2.136283e+00	1.588630e-01	9.396556e-04	9.396556e-04
2.136283e+00	2.199115e+00	1.596632e-01	9.420196e-04	9.420196e-04
2.199115e+00	2.261947e+00	1.579181e-01	9.368571e-04	9.368571e-04
2.261947e+00	2.324779e+00	1.574123e-01	9.353556e-04	9.353556e-04
2.324779e+00	2.387610e+00	1.594324e-01	9.413457e-04	9.413457e-04
2.387610e+00	2.450442e+00	1.579125e-01	9.368406e-04	9.368406e-04
2.450442e+00	2.513274e+00	1.596744e-01	9.420524e-04	9.420524e-04
2.513274e+00	2.576106e+00	1.585684e-01	9.387840e-04	9.387840e-04
2.576106e+00	2.638938e+00	1.593298e-01	9.410354e-04	9.410354e-04
2.638938e+00	2.701770e+00	1.592910e-01	9.409204e-04	9.409204e-04
2.701770e+00	2.764602e+00	1.573401e-01	9.351410e-04	9.351410e-04
2.764602e+00	2.827433e+00	1.592879e-01	9.409190e-04	9.409190e-04
2.827433e+00	2.890265e+00	1.603358e-01	9.440014e-04	9.440014e-04
2.890265e+00	2.953097e+00	1.589519e-01	9.399186e-04	9.399186e-04
2.953097e+00	3.015929e+00	1.598579e-01	9.425933e-04	9.425933e-04
3.015929e+00	3.078761e+00	1.590797e-01	9.402965e-04	9.402965e-04
3.078761e+00	3.141593e+00	1.579514e-01	9.369559e-04	9.369559e-04
3.141593e+00	3.204425e+00	1.586295e-01	9.389650e-04	9.389650e-04
3.204425e+00	3.267256e+00	1.578650e-01	9.367071e-04	9.367071e-04
3.267256e+00	3.330088e+00	1.591576e-01	9.405264e-04	9.405264e-04
3.330088e+00	3.392920e+00	1.577791e-01	9.364449e-04	9.364449e-04
3.392920e+00	3.455752e+00	1.605026e-01	9.444922e-04	9.444922e-04
3.455752e+00	3.518584e+00	1.591853e-01	9.406085e-04	9.406085e-04
3.518584e+00	3.581416e+00	1.596133e-01	9.418720e-04	9.418720e-04
3.581416e+00	3.644247e+00	1.593879e-01	9.412144e-04	9.412144e-04
3.644247e+00	3.707079e+00	1.602024e-01	9.436086e-04	9.436086e-04
3.707079e+00	3.769911e+00	1.597189e-01	9.421835e-04	9.421835e-04
3.769911e+00	3.832743e+00	1.577291e-01	9.362963e-04	9.362963e-04
3.832743e+00	3.895575e+00	1.586351e-01	9.389815e-04	9.389815e-04
3.895575e+00	3.958407e+00	1.609250e-01	9.457342e-04	9.457342e-04
3.958407e+00	4.021239e+00	1.607526e-01	9.452278e-04	9.452278e-04
4.021239e+00	4.084070e+00	1.587765e-01	9.394075e-04	9.394075e-04
