# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/PhiCh
ScaledBy=1.00000000000000000e+00
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	2.236980e+02	1.926356e+00	1.926356e+00
6.283185e-02	1.256637e-01	2.227027e+02	1.922066e+00	1.922066e+00
1.256637e-01	1.884956e-01	2.246766e+02	1.930564e+00	1.930564e+00
1.884956e-01	2.513274e-01	2.245939e+02	1.930211e+00	1.930211e+00
2.513274e-01	3.141593e-01	2.265677e+02	1.938672e+00	1.938672e+00
3.141593e-01	3.769911e-01	2.269827e+02	1.940449e+00	1.940449e+00
3.769911e-01	4.398230e-01	2.226859e+02	1.921993e+00	1.921993e+00
4.398230e-01	5.026548e-01	2.270325e+02	1.940662e+00	1.940662e+00
5.026548e-01	5.654867e-01	2.275464e+02	1.942855e+00	1.942855e+00
5.654867e-01	6.283185e-01	2.250087e+02	1.931993e+00	1.931993e+00
6.283185e-01	6.911504e-01	2.264017e+02	1.937962e+00	1.937962e+00
6.911504e-01	7.539822e-01	2.240797e+02	1.928000e+00	1.928000e+00
7.539822e-01	8.168141e-01	2.261530e+02	1.936897e+00	1.936897e+00
8.168141e-01	8.796459e-01	2.264684e+02	1.938249e+00	1.938249e+00
8.796459e-01	9.424778e-01	2.263521e+02	1.937749e+00	1.937749e+00
9.424778e-01	1.005310e+00	2.279600e+02	1.944615e+00	1.944615e+00
1.005310e+00	1.068142e+00	2.235482e+02	1.925709e+00	1.925709e+00
1.068142e+00	1.130973e+00	2.265377e+02	1.938558e+00	1.938558e+00
1.130973e+00	1.193805e+00	2.216571e+02	1.917546e+00	1.917546e+00
1.193805e+00	1.256637e+00	2.232993e+02	1.924637e+00	1.924637e+00
1.256637e+00	1.319469e+00	2.254558e+02	1.933908e+00	1.933908e+00
1.319469e+00	1.382301e+00	2.234818e+02	1.925423e+00	1.925423e+00
1.382301e+00	1.445133e+00	2.276124e+02	1.943135e+00	1.943135e+00
1.445133e+00	1.507964e+00	2.287606e+02	1.948046e+00	1.948046e+00
1.507964e+00	1.570796e+00	2.266668e+02	1.939095e+00	1.939095e+00
1.570796e+00	1.633628e+00	2.257047e+02	1.934975e+00	1.934975e+00
