# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/PtCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/PtCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/PtCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/PtCh
ScaledBy=7.05600451357071856e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.097504e-01	4.482177e-04	4.482177e-04
1.500000e+00	3.000000e+00	1.203177e-01	2.428813e-04	2.428813e-04
3.000000e+00	4.500000e+00	5.302162e-02	1.612337e-04	1.612337e-04
4.500000e+00	6.000000e+00	2.892503e-02	1.190875e-04	1.190875e-04
6.000000e+00	7.500000e+00	1.729471e-02	9.208438e-05	9.208438e-05
7.500000e+00	9.000000e+00	1.128270e-02	7.437652e-05	7.437652e-05
9.000000e+00	1.050000e+01	7.452993e-03	6.044978e-05	6.044978e-05
1.050000e+01	1.200000e+01	5.184883e-03	5.041953e-05	5.041953e-05
1.200000e+01	1.350000e+01	3.660062e-03	4.236171e-05	4.236171e-05
1.350000e+01	1.500000e+01	2.576997e-03	3.554564e-05	3.554564e-05
1.500000e+01	1.650000e+01	1.806742e-03	2.976304e-05	2.976304e-05
1.650000e+01	1.800000e+01	1.365965e-03	2.587910e-05	2.587910e-05
1.800000e+01	1.950000e+01	1.000205e-03	2.214490e-05	2.214490e-05
1.950000e+01	2.100000e+01	7.697653e-04	1.942712e-05	1.942712e-05
2.100000e+01	2.250000e+01	5.898265e-04	1.700558e-05	1.700558e-05
2.250000e+01	2.400000e+01	4.143004e-04	1.425237e-05	1.425237e-05
2.400000e+01	2.550000e+01	2.922166e-04	1.196966e-05	1.196966e-05
2.550000e+01	2.700000e+01	2.436773e-04	1.093042e-05	1.093042e-05
2.700000e+01	2.850000e+01	1.838611e-04	9.494548e-06	9.494548e-06
2.850000e+01	3.000000e+01	1.279673e-04	7.920979e-06	7.920979e-06
3.000000e+01	3.150000e+01	1.108069e-04	7.370771e-06	7.370771e-06
3.150000e+01	3.300000e+01	6.766087e-05	5.759677e-06	5.759677e-06
3.300000e+01	3.450000e+01	6.226763e-05	5.525359e-06	5.525359e-06
3.450000e+01	3.600000e+01	3.137896e-05	3.922371e-06	3.922371e-06
3.600000e+01	3.750000e+01	2.647600e-05	3.602927e-06	3.602927e-06
3.750000e+01	3.900000e+01	2.647600e-05	3.602927e-06	3.602927e-06
3.900000e+01	4.050000e+01	1.421859e-05	2.640327e-06	2.640327e-06
4.050000e+01	4.200000e+01	1.372829e-05	2.594404e-06	2.594404e-06
4.200000e+01	4.350000e+01	1.421859e-05	2.640327e-06	2.640327e-06
4.350000e+01	4.500000e+01	1.029622e-05	2.246820e-06	2.246820e-06
4.500000e+01	4.650000e+01	7.354447e-06	1.898909e-06	1.898909e-06
4.650000e+01	4.800000e+01	7.354447e-06	1.898909e-06	1.898909e-06
4.800000e+01	4.950000e+01	2.451481e-06	1.096336e-06	1.096336e-06
4.950000e+01	5.100000e+01	9.805927e-07	6.933837e-07	6.933837e-07
5.100000e+01	5.250000e+01	4.902963e-07	4.902963e-07	4.902963e-07
5.250000e+01	5.400000e+01	1.961185e-06	9.805926e-07	9.805926e-07
5.400000e+01	5.550000e+01	3.432074e-06	1.297202e-06	1.297202e-06
5.550000e+01	5.700000e+01	9.805927e-07	6.933837e-07	6.933837e-07
5.700000e+01	5.850000e+01	9.805927e-07	6.933837e-07	6.933837e-07
5.850000e+01	6.000000e+01	4.902963e-07	4.902963e-07	4.902963e-07
6.000000e+01	6.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.150000e+01	6.300000e+01	4.902963e-07	4.902963e-07	4.902963e-07
6.300000e+01	6.450000e+01	4.902963e-07	4.902963e-07	4.902963e-07
6.450000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	6.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.750000e+01	6.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+01	7.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.050000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.350000e+01	7.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+01	7.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.650000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	7.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.950000e+01	8.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+01	8.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.250000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.550000e+01	8.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+01	8.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.850000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.150000e+01	9.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+01	9.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.450000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.750000e+01	9.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+01	1.005000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.005000e+02	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.035000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.035000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.065000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.065000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.095000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.095000e+02	1.110000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+02	1.125000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.155000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.155000e+02	1.170000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+02	1.185000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.185000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
