# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/Rapidity
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/Rapidity
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/Rapidity
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHWW/Analysis.yoda/MyFSAnalysis/Rapidity
ScaledBy=3.35046170659837692e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	2.793738e-05	9.877355e-06	9.877355e-06
-4.900000e+00	-4.800000e+00	6.984345e-05	1.561747e-05	1.561747e-05
-4.800000e+00	-4.700000e+00	5.936693e-05	1.439860e-05	1.439860e-05
-4.700000e+00	-4.600000e+00	1.082573e-04	1.944359e-05	1.944359e-05
-4.600000e+00	-4.500000e+00	9.428866e-05	1.814586e-05	1.814586e-05
-4.500000e+00	-4.400000e+00	1.711165e-04	2.444521e-05	2.444521e-05
-4.400000e+00	-4.300000e+00	1.955617e-04	2.613303e-05	2.613303e-05
-4.300000e+00	-4.200000e+00	2.060382e-04	2.682388e-05	2.682388e-05
-4.200000e+00	-4.100000e+00	2.828660e-04	3.142955e-05	3.142955e-05
-4.100000e+00	-4.000000e+00	3.352486e-04	3.421617e-05	3.421617e-05
-4.000000e+00	-3.900000e+00	3.352486e-04	3.421617e-05	3.421617e-05
-3.900000e+00	-3.800000e+00	5.308102e-04	4.305440e-05	4.305440e-05
-3.800000e+00	-3.700000e+00	7.333562e-04	5.060638e-05	5.060638e-05
-3.700000e+00	-3.600000e+00	8.451057e-04	5.432545e-05	5.432545e-05
-3.600000e+00	-3.500000e+00	9.987613e-04	5.905800e-05	5.905800e-05
-3.500000e+00	-3.400000e+00	1.264166e-03	6.644311e-05	6.644311e-05
-3.400000e+00	-3.300000e+00	1.347979e-03	6.861031e-05	6.861031e-05
-3.300000e+00	-3.200000e+00	1.952124e-03	8.256606e-05	8.256606e-05
-3.200000e+00	-3.100000e+00	2.434044e-03	9.219600e-05	9.219600e-05
-3.100000e+00	-3.000000e+00	3.052159e-03	1.032408e-04	1.032408e-04
-3.000000e+00	-2.900000e+00	3.900757e-03	1.167138e-04	1.167138e-04
-2.900000e+00	-2.800000e+00	4.745862e-03	1.287376e-04	1.287376e-04
-2.800000e+00	-2.700000e+00	6.037966e-03	1.452089e-04	1.452089e-04
-2.700000e+00	-2.600000e+00	7.351023e-03	1.602218e-04	1.602218e-04
-2.600000e+00	-2.500000e+00	9.498709e-03	1.821294e-04	1.821294e-04
-2.500000e+00	-2.400000e+00	1.159052e-02	2.011867e-04	2.011867e-04
