# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/H_BSum
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/H_BSum
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/H_BSum
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/H_BSum
ScaledBy=1.09794486694841258e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	1.144383e-04	1.144383e-04	1.144383e-04
5.000000e-02	6.000000e-02	8.010684e-04	3.027754e-04	3.027754e-04
6.000000e-02	7.000000e-02	1.373260e-03	3.964260e-04	3.964260e-04
7.000000e-02	8.000000e-02	2.059890e-03	4.855208e-04	4.855208e-04
8.000000e-02	9.000000e-02	9.498382e-03	1.042583e-03	1.042583e-03
9.000000e-02	1.000000e-01	1.487698e-02	1.304798e-03	1.304798e-03
1.000000e-01	1.100000e-01	3.387375e-02	1.968872e-03	1.968872e-03
1.100000e-01	1.200000e-01	6.580205e-02	2.744135e-03	2.744135e-03
1.200000e-01	1.300000e-01	1.095175e-01	3.540198e-03	3.540198e-03
1.300000e-01	1.400000e-01	1.897388e-01	4.659763e-03	4.659763e-03
1.400000e-01	1.500000e-01	3.167653e-01	6.020806e-03	6.020806e-03
1.500000e-01	1.600000e-01	4.891095e-01	7.481503e-03	7.481503e-03
1.600000e-01	1.700000e-01	7.322910e-01	9.154352e-03	9.154352e-03
1.700000e-01	1.800000e-01	1.057868e+00	1.100276e-02	1.100276e-02
1.800000e-01	1.900000e-01	1.480947e+00	1.301834e-02	1.301834e-02
1.900000e-01	2.000000e-01	2.035057e+00	1.526069e-02	1.526069e-02
2.000000e-01	2.100000e-01	2.823423e+00	1.797520e-02	1.797520e-02
2.100000e-01	2.200000e-01	3.721077e+00	2.063574e-02	2.063574e-02
2.200000e-01	2.300000e-01	4.687623e+00	2.316126e-02	2.316126e-02
2.300000e-01	2.400000e-01	5.664011e+00	2.545938e-02	2.545938e-02
2.400000e-01	2.500000e-01	6.549077e+00	2.737637e-02	2.737637e-02
2.500000e-01	2.600000e-01	7.200575e+00	2.870578e-02	2.870578e-02
2.600000e-01	2.700000e-01	7.879423e+00	3.002845e-02	3.002845e-02
2.700000e-01	2.800000e-01	8.091935e+00	3.043070e-02	3.043070e-02
2.800000e-01	2.900000e-01	8.233267e+00	3.069530e-02	3.069530e-02
2.900000e-01	3.000000e-01	7.924169e+00	3.011360e-02	3.011360e-02
3.000000e-01	3.100000e-01	7.370974e+00	2.904345e-02	2.904345e-02
3.100000e-01	3.200000e-01	6.625293e+00	2.753521e-02	2.753521e-02
3.200000e-01	3.300000e-01	5.700174e+00	2.554052e-02	2.554052e-02
3.300000e-01	3.400000e-01	4.536565e+00	2.278502e-02	2.278502e-02
3.400000e-01	3.500000e-01	3.214687e+00	1.918029e-02	1.918029e-02
3.500000e-01	3.600000e-01	1.931719e+00	1.486818e-02	1.486818e-02
