# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/PhiCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/PhiCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/PhiCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/PhiCh
ScaledBy=3.52771764596302952e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.584508e-01	3.045087e-04	3.045087e-04
6.283185e-02	1.256637e-01	1.585444e-01	3.045986e-04	3.045986e-04
1.256637e-01	1.884956e-01	1.589118e-01	3.049512e-04	3.049512e-04
1.884956e-01	2.513274e-01	1.584222e-01	3.044813e-04	3.044813e-04
2.513274e-01	3.141593e-01	1.587409e-01	3.047872e-04	3.047872e-04
3.141593e-01	3.769911e-01	1.587716e-01	3.048169e-04	3.048169e-04
3.769911e-01	4.398230e-01	1.585636e-01	3.046169e-04	3.046169e-04
4.398230e-01	5.026548e-01	1.590618e-01	3.050954e-04	3.050954e-04
5.026548e-01	5.654867e-01	1.587772e-01	3.048220e-04	3.048220e-04
5.654867e-01	6.283185e-01	1.583877e-01	3.044482e-04	3.044482e-04
6.283185e-01	6.911504e-01	1.596304e-01	3.056400e-04	3.056400e-04
6.911504e-01	7.539822e-01	1.593281e-01	3.053507e-04	3.053507e-04
7.539822e-01	8.168141e-01	1.590165e-01	3.050517e-04	3.050517e-04
8.168141e-01	8.796459e-01	1.593322e-01	3.053546e-04	3.053546e-04
8.796459e-01	9.424778e-01	1.591172e-01	3.051482e-04	3.051482e-04
9.424778e-01	1.005310e+00	1.588338e-01	3.048756e-04	3.048756e-04
1.005310e+00	1.068142e+00	1.584896e-01	3.045456e-04	3.045456e-04
1.068142e+00	1.130973e+00	1.589222e-01	3.049635e-04	3.049635e-04
1.130973e+00	1.193805e+00	1.587365e-01	3.047828e-04	3.047828e-04
1.193805e+00	1.256637e+00	1.589138e-01	3.049529e-04	3.049529e-04
1.256637e+00	1.319469e+00	1.586406e-01	3.046906e-04	3.046906e-04
1.319469e+00	1.382301e+00	1.590484e-01	3.050821e-04	3.050821e-04
1.382301e+00	1.445133e+00	1.589168e-01	3.049558e-04	3.049558e-04
1.445133e+00	1.507964e+00	1.584313e-01	3.044920e-04	3.044920e-04
1.507964e+00	1.570796e+00	1.593306e-01	3.053525e-04	3.053525e-04
1.570796e+00	1.633628e+00	1.588688e-01	3.049097e-04	3.049097e-04
1.633628e+00	1.696460e+00	1.590561e-01	3.050894e-04	3.050894e-04
1.696460e+00	1.759292e+00	1.585680e-01	3.046209e-04	3.046209e-04
1.759292e+00	1.822124e+00	1.593486e-01	3.053699e-04	3.053699e-04
1.822124e+00	1.884956e+00	1.585265e-01	3.045810e-04	3.045810e-04
1.884956e+00	1.947787e+00	1.587865e-01	3.048331e-04	3.048331e-04
1.947787e+00	2.010619e+00	1.590215e-01	3.050563e-04	3.050563e-04
2.010619e+00	2.073451e+00	1.585305e-01	3.045850e-04	3.045850e-04
2.073451e+00	2.136283e+00	1.592106e-01	3.052375e-04	3.052375e-04
