# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/PtCh
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/PtCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/PtCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/PtCh
ScaledBy=3.52771764596302952e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.098456e-01	1.002321e-04	1.002321e-04
1.500000e+00	3.000000e+00	1.203783e-01	5.432139e-05	5.432139e-05
3.000000e+00	4.500000e+00	5.300739e-02	3.604666e-05	3.604666e-05
4.500000e+00	6.000000e+00	2.886561e-02	2.660033e-05	2.660033e-05
6.000000e+00	7.500000e+00	1.744969e-02	2.068191e-05	2.068191e-05
7.500000e+00	9.000000e+00	1.117800e-02	1.655308e-05	1.655308e-05
9.000000e+00	1.050000e+01	7.454133e-03	1.351747e-05	1.351747e-05
1.050000e+01	1.200000e+01	5.131713e-03	1.121574e-05	1.121574e-05
1.200000e+01	1.350000e+01	3.606819e-03	9.402839e-06	9.402839e-06
1.350000e+01	1.500000e+01	2.557179e-03	7.917306e-06	7.917306e-06
1.500000e+01	1.650000e+01	1.845179e-03	6.725368e-06	6.725368e-06
1.650000e+01	1.800000e+01	1.356859e-03	5.767189e-06	5.767189e-06
1.800000e+01	1.950000e+01	9.972800e-04	4.944307e-06	4.944307e-06
1.950000e+01	2.100000e+01	7.486713e-04	4.283930e-06	4.283930e-06
2.100000e+01	2.250000e+01	5.526909e-04	3.680764e-06	3.680764e-06
2.250000e+01	2.400000e+01	4.200275e-04	3.208748e-06	3.208748e-06
2.400000e+01	2.550000e+01	3.094991e-04	2.754397e-06	2.754397e-06
2.550000e+01	2.700000e+01	2.399317e-04	2.425161e-06	2.425161e-06
2.700000e+01	2.850000e+01	1.744824e-04	2.068105e-06	2.068105e-06
2.850000e+01	3.000000e+01	1.340607e-04	1.812790e-06	1.812790e-06
3.000000e+01	3.150000e+01	1.014587e-04	1.577035e-06	1.577035e-06
3.150000e+01	3.300000e+01	7.567113e-05	1.361952e-06	1.361952e-06
3.300000e+01	3.450000e+01	5.841409e-05	1.196618e-06	1.196618e-06
3.450000e+01	3.600000e+01	4.444177e-05	1.043740e-06	1.043740e-06
3.600000e+01	3.750000e+01	3.245500e-05	8.919439e-07	8.919439e-07
