# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/Z_phi
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/Z_phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/Z_phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHWW/Analysis.yoda/MyAnalysis/Z_phi
ScaledBy=1.09794486694841258e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.599867e-01	1.707017e-03	1.707017e-03
6.283185e-02	1.256637e-01	1.583111e-01	1.698054e-03	1.698054e-03
1.256637e-01	1.884956e-01	1.600959e-01	1.707599e-03	1.707599e-03
1.884956e-01	2.513274e-01	1.587484e-01	1.700398e-03	1.700398e-03
2.513274e-01	3.141593e-01	1.631375e-01	1.723744e-03	1.723744e-03
3.141593e-01	3.769911e-01	1.604422e-01	1.709446e-03	1.709446e-03
3.769911e-01	4.398230e-01	1.564532e-01	1.688060e-03	1.688060e-03
4.398230e-01	5.026548e-01	1.589305e-01	1.701374e-03	1.701374e-03
5.026548e-01	5.654867e-01	1.610066e-01	1.712448e-03	1.712448e-03
5.654867e-01	6.283185e-01	1.623910e-01	1.719796e-03	1.719796e-03
6.283185e-01	6.911504e-01	1.596041e-01	1.704974e-03	1.704974e-03
6.911504e-01	7.539822e-01	1.578923e-01	1.695808e-03	1.695808e-03
7.539822e-01	8.168141e-01	1.565989e-01	1.688846e-03	1.688846e-03
8.168141e-01	8.796459e-01	1.612437e-01	1.713710e-03	1.713710e-03
8.796459e-01	9.424778e-01	1.600230e-01	1.707210e-03	1.707210e-03
9.424778e-01	1.005310e+00	1.591480e-01	1.702532e-03	1.702532e-03
1.005310e+00	1.068142e+00	1.588936e-01	1.701173e-03	1.701173e-03
1.068142e+00	1.130973e+00	1.584408e-01	1.698761e-03	1.698761e-03
1.130973e+00	1.193805e+00	1.615527e-01	1.715349e-03	1.715349e-03
1.193805e+00	1.256637e+00	1.564894e-01	1.688254e-03	1.688254e-03
1.256637e+00	1.319469e+00	1.583836e-01	1.698441e-03	1.698441e-03
1.319469e+00	1.382301e+00	1.610063e-01	1.712445e-03	1.712445e-03
1.382301e+00	1.445133e+00	1.581650e-01	1.697268e-03	1.697268e-03
1.445133e+00	1.507964e+00	1.569108e-01	1.690539e-03	1.690539e-03
1.507964e+00	1.570796e+00	1.583654e-01	1.698343e-03	1.698343e-03
1.570796e+00	1.633628e+00	1.573819e-01	1.693061e-03	1.693061e-03
1.633628e+00	1.696460e+00	1.575458e-01	1.693943e-03	1.693943e-03
1.696460e+00	1.759292e+00	1.570540e-01	1.691297e-03	1.691297e-03
1.759292e+00	1.822124e+00	1.625909e-01	1.720852e-03	1.720852e-03
1.822124e+00	1.884956e+00	1.588754e-01	1.701076e-03	1.701076e-03
1.884956e+00	1.947787e+00	1.601528e-01	1.707914e-03	1.707914e-03
1.947787e+00	2.010619e+00	1.582197e-01	1.697562e-03	1.697562e-03
2.010619e+00	2.073451e+00	1.579465e-01	1.696096e-03	1.696096e-03
2.073451e+00	2.136283e+00	1.591850e-01	1.702732e-03	1.702732e-03
2.136283e+00	2.199115e+00	1.582379e-01	1.697659e-03	1.697659e-03
2.199115e+00	2.261947e+00	1.596222e-01	1.705068e-03	1.705068e-03
2.261947e+00	2.324779e+00	1.581104e-01	1.696975e-03	1.696975e-03
2.324779e+00	2.387610e+00	1.604442e-01	1.709467e-03	1.709467e-03
2.387610e+00	2.450442e+00	1.562708e-01	1.687074e-03	1.687074e-03
2.450442e+00	2.513274e+00	1.586386e-01	1.699807e-03	1.699807e-03
2.513274e+00	2.576106e+00	1.596222e-01	1.705068e-03	1.705068e-03
2.576106e+00	2.638938e+00	1.590757e-01	1.702148e-03	1.702148e-03
2.638938e+00	2.701770e+00	1.593308e-01	1.703512e-03	1.703512e-03
2.701770e+00	2.764602e+00	1.634105e-01	1.725183e-03	1.725183e-03
2.764602e+00	2.827433e+00	1.604625e-01	1.709564e-03	1.709564e-03
2.827433e+00	2.890265e+00	1.585293e-01	1.699222e-03	1.699222e-03
2.890265e+00	2.953097e+00	1.581286e-01	1.697073e-03	1.697073e-03
2.953097e+00	3.015929e+00	1.596039e-01	1.704971e-03	1.704971e-03
3.015929e+00	3.078761e+00	1.576004e-01	1.694236e-03	1.694236e-03
3.078761e+00	3.141593e+00	1.599500e-01	1.706819e-03	1.706819e-03
3.141593e+00	3.204425e+00	1.587843e-01	1.700588e-03	1.700588e-03
3.204425e+00	3.267256e+00	1.553444e-01	1.682080e-03	1.682080e-03
3.267256e+00	3.330088e+00	1.587297e-01	1.700295e-03	1.700295e-03
3.330088e+00	3.392920e+00	1.591486e-01	1.702537e-03	1.702537e-03
3.392920e+00	3.455752e+00	1.595310e-01	1.704582e-03	1.704582e-03
3.455752e+00	3.518584e+00	1.586932e-01	1.700100e-03	1.700100e-03
3.518584e+00	3.581416e+00	1.555059e-01	1.682940e-03	1.682940e-03
3.581416e+00	3.644247e+00	1.591875e-01	1.702759e-03	1.702759e-03
3.644247e+00	3.707079e+00	1.592214e-01	1.702927e-03	1.702927e-03
3.707079e+00	3.769911e+00	1.583472e-01	1.698246e-03	1.698246e-03
3.769911e+00	3.832743e+00	1.600592e-01	1.707401e-03	1.707401e-03
3.832743e+00	3.895575e+00	1.596222e-01	1.705068e-03	1.705068e-03
3.895575e+00	3.958407e+00	1.594399e-01	1.704096e-03	1.704096e-03
3.958407e+00	4.021239e+00	1.604600e-01	1.709537e-03	1.709537e-03
4.021239e+00	4.084070e+00	1.563644e-01	1.687593e-03	1.687593e-03
4.084070e+00	4.146902e+00	1.600228e-01	1.707207e-03	1.707207e-03
4.146902e+00	4.209734e+00	1.608970e-01	1.711864e-03	1.711864e-03
4.209734e+00	4.272566e+00	1.600411e-01	1.707304e-03	1.707304e-03
4.272566e+00	4.335398e+00	1.594764e-01	1.704291e-03	1.704291e-03
4.335398e+00	4.398230e+00	1.586386e-01	1.699807e-03	1.699807e-03
4.398230e+00	4.461062e+00	1.619535e-01	1.717475e-03	1.717475e-03
4.461062e+00	4.523893e+00	1.597886e-01	1.705971e-03	1.705971e-03
4.523893e+00	4.586725e+00	1.577826e-01	1.695215e-03	1.695215e-03
4.586725e+00	4.649557e+00	1.618077e-01	1.716702e-03	1.716702e-03
4.649557e+00	4.712389e+00	1.586386e-01	1.699807e-03	1.699807e-03
4.712389e+00	4.775221e+00	1.581468e-01	1.697171e-03	1.697171e-03
4.775221e+00	4.838053e+00	1.592033e-01	1.702830e-03	1.702830e-03
4.838053e+00	4.900885e+00	1.618441e-01	1.716895e-03	1.716895e-03
4.900885e+00	4.963716e+00	1.616828e-01	1.716053e-03	1.716053e-03
4.963716e+00	5.026548e+00	1.559248e-01	1.685206e-03	1.685206e-03
5.026548e+00	5.089380e+00	1.587843e-01	1.700588e-03	1.700588e-03
5.089380e+00	5.152212e+00	1.593489e-01	1.703609e-03	1.703609e-03
5.152212e+00	5.215044e+00	1.590211e-01	1.701855e-03	1.701855e-03
5.215044e+00	5.277876e+00	1.573819e-01	1.693061e-03	1.693061e-03
5.277876e+00	5.340708e+00	1.604235e-01	1.709344e-03	1.709344e-03
5.340708e+00	5.403539e+00	1.607175e-01	1.710923e-03	1.710923e-03
5.403539e+00	5.466371e+00	1.574911e-01	1.693649e-03	1.693649e-03
