# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/E
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/E
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/E
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/E
ScaledBy=9.16190174656620324e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.357850e-01	3.126119e-04	3.126119e-04
1.500000e+00	3.000000e+00	1.085766e-01	1.560404e-04	1.560404e-04
3.000000e+00	4.500000e+00	4.652131e-02	1.021399e-04	1.021399e-04
4.500000e+00	6.000000e+00	2.508047e-02	7.499582e-05	7.499582e-05
6.000000e+00	7.500000e+00	1.520067e-02	5.838475e-05	5.838475e-05
7.500000e+00	9.000000e+00	9.901453e-03	4.712147e-05	4.712147e-05
9.000000e+00	1.050000e+01	6.703780e-03	3.877288e-05	3.877288e-05
1.050000e+01	1.200000e+01	4.703028e-03	3.247565e-05	3.247565e-05
1.200000e+01	1.350000e+01	3.413119e-03	2.766586e-05	2.766586e-05
1.350000e+01	1.500000e+01	2.517459e-03	2.376020e-05	2.376020e-05
1.500000e+01	1.650000e+01	1.868923e-03	2.047221e-05	2.047221e-05
1.650000e+01	1.800000e+01	1.419084e-03	1.783919e-05	1.783919e-05
1.800000e+01	1.950000e+01	1.088062e-03	1.562044e-05	1.562044e-05
1.950000e+01	2.100000e+01	8.784180e-04	1.403539e-05	1.403539e-05
2.100000e+01	2.250000e+01	6.579569e-04	1.214696e-05	1.214696e-05
2.250000e+01	2.400000e+01	5.043385e-04	1.063475e-05	1.063475e-05
2.400000e+01	2.550000e+01	3.969286e-04	9.434650e-06	9.434650e-06
2.550000e+01	2.700000e+01	3.103663e-04	8.342701e-06	8.342701e-06
2.700000e+01	2.850000e+01	2.426426e-04	7.376554e-06	7.376554e-06
2.850000e+01	3.000000e+01	1.935323e-04	6.587920e-06	6.587920e-06
3.000000e+01	3.150000e+01	1.643833e-04	6.071642e-06	6.071642e-06
3.150000e+01	3.300000e+01	1.163849e-04	5.108733e-06	5.108733e-06
3.300000e+01	3.450000e+01	9.418600e-05	4.595807e-06	4.595807e-06
3.450000e+01	3.600000e+01	6.974720e-05	3.955004e-06	3.955004e-06
3.600000e+01	3.750000e+01	6.189577e-05	3.725690e-06	3.725690e-06
3.750000e+01	3.900000e+01	4.395221e-05	3.139443e-06	3.139443e-06
3.900000e+01	4.050000e+01	3.834763e-05	2.932517e-06	2.932517e-06
4.050000e+01	4.200000e+01	2.870345e-05	2.537051e-06	2.537051e-06
4.200000e+01	4.350000e+01	2.063061e-05	2.150889e-06	2.150889e-06
4.350000e+01	4.500000e+01	1.749117e-05	1.980485e-06	1.980485e-06
4.500000e+01	4.650000e+01	1.166078e-05	1.617059e-06	1.617059e-06
4.650000e+01	4.800000e+01	9.418320e-06	1.453278e-06	1.453278e-06
4.800000e+01	4.950000e+01	5.159087e-06	1.075745e-06	1.075745e-06
4.950000e+01	5.100000e+01	6.054635e-06	1.165215e-06	1.165215e-06
5.100000e+01	5.250000e+01	5.381897e-06	1.098575e-06	1.098575e-06
5.250000e+01	5.400000e+01	2.466703e-06	7.437389e-07	7.437389e-07
5.400000e+01	5.550000e+01	2.242457e-06	7.091272e-07	7.091272e-07
5.550000e+01	5.700000e+01	1.121229e-06	5.014287e-07	5.014287e-07
5.700000e+01	5.850000e+01	1.121229e-06	5.014287e-07	5.014287e-07
5.850000e+01	6.000000e+01	8.969827e-07	4.484914e-07	4.484914e-07
6.000000e+01	6.150000e+01	1.121229e-06	5.014287e-07	5.014287e-07
6.150000e+01	6.300000e+01	2.242457e-07	2.242457e-07	2.242457e-07
6.300000e+01	6.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.450000e+01	6.600000e+01	4.484915e-07	3.171314e-07	3.171314e-07
6.600000e+01	6.750000e+01	2.242457e-07	2.242457e-07	2.242457e-07
6.750000e+01	6.900000e+01	2.242457e-07	2.242457e-07	2.242457e-07
6.900000e+01	7.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.050000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.350000e+01	7.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+01	7.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.650000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	7.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.950000e+01	8.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+01	8.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.250000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.550000e+01	8.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+01	8.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.850000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.150000e+01	9.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.300000e+01	9.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.450000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.750000e+01	9.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+01	1.005000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.005000e+02	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.035000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.035000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.065000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.065000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.095000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.095000e+02	1.110000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+02	1.125000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.155000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.155000e+02	1.170000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+02	1.185000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.185000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.215000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.215000e+02	1.230000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+02	1.245000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.245000e+02	1.260000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+02	1.275000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+02	1.290000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.290000e+02	1.305000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.305000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.335000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.335000e+02	1.350000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+02	1.365000e+02	0.000000e+00	0.000000e+00	0.000000e+00
