# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/EtaCh
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/EtaCh
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/EtaCh
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/EtaCh
ScaledBy=1.94963327444602156e-03
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.900000e+00	1.503149e-04	3.280140e-05	3.280140e-05
-4.900000e+00	-4.800000e+00	9.308392e-05	2.581685e-05	2.581685e-05
-4.800000e+00	-4.700000e+00	1.646306e-04	3.432786e-05	3.432786e-05
-4.700000e+00	-4.600000e+00	1.717885e-04	3.506617e-05	3.506617e-05
-4.600000e+00	-4.500000e+00	1.861346e-04	3.650401e-05	3.650401e-05
-4.500000e+00	-4.400000e+00	2.863256e-04	4.527206e-05	4.527206e-05
-4.400000e+00	-4.300000e+00	3.580601e-04	5.063761e-05	5.063761e-05
-4.300000e+00	-4.200000e+00	4.079976e-04	5.404061e-05	5.404061e-05
-4.200000e+00	-4.100000e+00	5.439968e-04	6.240071e-05	6.240071e-05
-4.100000e+00	-4.000000e+00	5.726282e-04	6.402178e-05	6.402178e-05
-4.000000e+00	-3.900000e+00	6.086152e-04	6.601388e-05	6.601388e-05
-3.900000e+00	-3.800000e+00	9.806293e-04	8.378081e-05	8.378081e-05
-3.800000e+00	-3.700000e+00	1.052204e-03	8.678435e-05	8.678435e-05
-3.700000e+00	-3.600000e+00	1.309969e-03	9.683576e-05	9.683576e-05
