# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/Phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/Phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/Phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyFSAnalysis/Phi
ScaledBy=9.16190174656620324e-04
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.569624e-01	9.166873e-04	9.166873e-04
6.283185e-02	1.256637e-01	1.574291e-01	9.180518e-04	9.180518e-04
1.256637e-01	1.884956e-01	1.592221e-01	9.232641e-04	9.232641e-04
1.884956e-01	2.513274e-01	1.599020e-01	9.252323e-04	9.252323e-04
2.513274e-01	3.141593e-01	1.599087e-01	9.252558e-04	9.252558e-04
3.141593e-01	3.769911e-01	1.603424e-01	9.265098e-04	9.265098e-04
3.769911e-01	4.398230e-01	1.562287e-01	9.145411e-04	9.145411e-04
4.398230e-01	5.026548e-01	1.588156e-01	9.220855e-04	9.220855e-04
5.026548e-01	5.654867e-01	1.574651e-01	9.181523e-04	9.181523e-04
5.654867e-01	6.283185e-01	1.584988e-01	9.211623e-04	9.211623e-04
6.283185e-01	6.911504e-01	1.591048e-01	9.229250e-04	9.229250e-04
6.911504e-01	7.539822e-01	1.573179e-01	9.177309e-04	9.177309e-04
7.539822e-01	8.168141e-01	1.601858e-01	9.260533e-04	9.260533e-04
8.168141e-01	8.796459e-01	1.596782e-01	9.245884e-04	9.245884e-04
8.796459e-01	9.424778e-01	1.564913e-01	9.153104e-04	9.153104e-04
9.424778e-01	1.005310e+00	1.608339e-01	9.279259e-04	9.279259e-04
1.005310e+00	1.068142e+00	1.582148e-01	9.203357e-04	9.203357e-04
1.068142e+00	1.130973e+00	1.589038e-01	9.223484e-04	9.223484e-04
1.130973e+00	1.193805e+00	1.567101e-01	9.159482e-04	9.159482e-04
1.193805e+00	1.256637e+00	1.555330e-01	9.125038e-04	9.125038e-04
1.256637e+00	1.319469e+00	1.589216e-01	9.223901e-04	9.223901e-04
1.319469e+00	1.382301e+00	1.589121e-01	9.223656e-04	9.223656e-04
1.382301e+00	1.445133e+00	1.584518e-01	9.210294e-04	9.210294e-04
1.445133e+00	1.507964e+00	1.580311e-01	9.198121e-04	9.198121e-04
1.507964e+00	1.570796e+00	1.587187e-01	9.218025e-04	9.218025e-04
1.570796e+00	1.633628e+00	1.583126e-01	9.206248e-04	9.206248e-04
1.633628e+00	1.696460e+00	1.596508e-01	9.245071e-04	9.245071e-04
1.696460e+00	1.759292e+00	1.590722e-01	9.228288e-04	9.228288e-04
1.759292e+00	1.822124e+00	1.596249e-01	9.244338e-04	9.244338e-04
1.822124e+00	1.884956e+00	1.597419e-01	9.247702e-04	9.247702e-04
1.884956e+00	1.947787e+00	1.566068e-01	9.156574e-04	9.156574e-04
1.947787e+00	2.010619e+00	1.563048e-01	9.147678e-04	9.147678e-04
2.010619e+00	2.073451e+00	1.571507e-01	9.172397e-04	9.172397e-04
2.073451e+00	2.136283e+00	1.580382e-01	9.198225e-04	9.198225e-04
2.136283e+00	2.199115e+00	1.577875e-01	9.190955e-04	9.190955e-04
2.199115e+00	2.261947e+00	1.585380e-01	9.212816e-04	9.212816e-04
2.261947e+00	2.324779e+00	1.588782e-01	9.222624e-04	9.222624e-04
2.324779e+00	2.387610e+00	1.581487e-01	9.201537e-04	9.201537e-04
2.387610e+00	2.450442e+00	1.586349e-01	9.215643e-04	9.215643e-04
2.450442e+00	2.513274e+00	1.564121e-01	9.150825e-04	9.150825e-04
2.513274e+00	2.576106e+00	1.569477e-01	9.166480e-04	9.166480e-04
2.576106e+00	2.638938e+00	1.581140e-01	9.200454e-04	9.200454e-04
2.638938e+00	2.701770e+00	1.569364e-01	9.166139e-04	9.166139e-04
2.701770e+00	2.764602e+00	1.585809e-01	9.214064e-04	9.214064e-04
2.764602e+00	2.827433e+00	1.589999e-01	9.226269e-04	9.226269e-04
2.827433e+00	2.890265e+00	1.595171e-01	9.241203e-04	9.241203e-04
2.890265e+00	2.953097e+00	1.588518e-01	9.221868e-04	9.221868e-04
2.953097e+00	3.015929e+00	1.587994e-01	9.220381e-04	9.220381e-04
3.015929e+00	3.078761e+00	1.591209e-01	9.229715e-04	9.229715e-04
3.078761e+00	3.141593e+00	1.606468e-01	9.273867e-04	9.273867e-04
3.141593e+00	3.204425e+00	1.604534e-01	9.268265e-04	9.268265e-04
3.204425e+00	3.267256e+00	1.603380e-01	9.264998e-04	9.264998e-04
3.267256e+00	3.330088e+00	1.605609e-01	9.271383e-04	9.271383e-04
3.330088e+00	3.392920e+00	1.597907e-01	9.249137e-04	9.249137e-04
3.392920e+00	3.455752e+00	1.612896e-01	9.292414e-04	9.292414e-04
3.455752e+00	3.518584e+00	1.586019e-01	9.214662e-04	9.214662e-04
3.518584e+00	3.581416e+00	1.587673e-01	9.219451e-04	9.219451e-04
3.581416e+00	3.644247e+00	1.602476e-01	9.262410e-04	9.262410e-04
3.644247e+00	3.707079e+00	1.620058e-01	9.312993e-04	9.312993e-04
3.707079e+00	3.769911e+00	1.586177e-01	9.215112e-04	9.215112e-04
3.769911e+00	3.832743e+00	1.593187e-01	9.235440e-04	9.235440e-04
3.832743e+00	3.895575e+00	1.579956e-01	9.196990e-04	9.196990e-04
3.895575e+00	3.958407e+00	1.600676e-01	9.257106e-04	9.257106e-04
3.958407e+00	4.021239e+00	1.605492e-01	9.271021e-04	9.271021e-04
4.021239e+00	4.084070e+00	1.607877e-01	9.277981e-04	9.277981e-04
4.084070e+00	4.146902e+00	1.616861e-01	9.303834e-04	9.303834e-04
4.146902e+00	4.209734e+00	1.600532e-01	9.256740e-04	9.256740e-04
4.209734e+00	4.272566e+00	1.576217e-01	9.186126e-04	9.186126e-04
4.272566e+00	4.335398e+00	1.603627e-01	9.265657e-04	9.265657e-04
4.335398e+00	4.398230e+00	1.604805e-01	9.269055e-04	9.269055e-04
4.398230e+00	4.461062e+00	1.580445e-01	9.198436e-04	9.198436e-04
4.461062e+00	4.523893e+00	1.590703e-01	9.228333e-04	9.228333e-04
4.523893e+00	4.586725e+00	1.587506e-01	9.218944e-04	9.218944e-04
4.586725e+00	4.649557e+00	1.580456e-01	9.198498e-04	9.198498e-04
4.649557e+00	4.712389e+00	1.593212e-01	9.235586e-04	9.235586e-04
4.712389e+00	4.775221e+00	1.610867e-01	9.286580e-04	9.286580e-04
4.775221e+00	4.838053e+00	1.607431e-01	9.276649e-04	9.276649e-04
4.838053e+00	4.900885e+00	1.601448e-01	9.259409e-04	9.259409e-04
4.900885e+00	4.963716e+00	1.612494e-01	9.291334e-04	9.291334e-04
4.963716e+00	5.026548e+00	1.620714e-01	9.314912e-04	9.314912e-04
5.026548e+00	5.089380e+00	1.616056e-01	9.301517e-04	9.301517e-04
5.089380e+00	5.152212e+00	1.619697e-01	9.311994e-04	9.311994e-04
5.152212e+00	5.215044e+00	1.594597e-01	9.239583e-04	9.239583e-04
5.215044e+00	5.277876e+00	1.617599e-01	9.305928e-04	9.305928e-04
5.277876e+00	5.340708e+00	1.609148e-01	9.281606e-04	9.281606e-04
5.340708e+00	5.403539e+00	1.603708e-01	9.265972e-04	9.265972e-04
5.403539e+00	5.466371e+00	1.591757e-01	9.231348e-04	9.231348e-04
5.466371e+00	5.529203e+00	1.580193e-01	9.197746e-04	9.197746e-04
5.529203e+00	5.592035e+00	1.601426e-01	9.259272e-04	9.259272e-04
5.592035e+00	5.654867e+00	1.594097e-01	9.238079e-04	9.238079e-04
5.654867e+00	5.717699e+00	1.607417e-01	9.276560e-04	9.276560e-04
5.717699e+00	5.780530e+00	1.595459e-01	9.242098e-04	9.242098e-04
5.780530e+00	5.843362e+00	1.597616e-01	9.248225e-04	9.248225e-04
5.843362e+00	5.906194e+00	1.606678e-01	9.274463e-04	9.274463e-04
5.906194e+00	5.969026e+00	1.610372e-01	9.285119e-04	9.285119e-04
5.969026e+00	6.031858e+00	1.601257e-01	9.258766e-04	9.258766e-04
6.031858e+00	6.094690e+00	1.592532e-01	9.233511e-04	9.233511e-04
6.094690e+00	6.157522e+00	1.567812e-01	9.161601e-04	9.161601e-04
6.157522e+00	6.220353e+00	1.583840e-01	9.208373e-04	9.208373e-04
6.220353e+00	6.283185e+00	1.580436e-01	9.198381e-04	9.198381e-04
# END HISTO1D

