# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyHAnalysis/H_T
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyHAnalysis/H_T
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyHAnalysis/H_T
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyHAnalysis/H_T
ScaledBy=6.22855031863678438e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	5.050000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.050000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.150000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.250000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.250000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.350000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.350000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.450000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.450000e-01	5.500000e-01	4.573480e-03	4.573480e-03	4.573480e-03
5.500000e-01	5.550000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e-01	5.600000e-01	4.573480e-03	4.573480e-03	4.573480e-03
5.600000e-01	5.650000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.650000e-01	5.700000e-01	4.573480e-03	4.573480e-03	4.573480e-03
5.700000e-01	5.750000e-01	4.573480e-03	4.573480e-03	4.573480e-03
5.750000e-01	5.800000e-01	9.146960e-03	6.467878e-03	6.467878e-03
5.800000e-01	5.850000e-01	1.372044e-02	7.921500e-03	7.921500e-03
5.850000e-01	5.900000e-01	3.201436e-02	1.210029e-02	1.210029e-02
5.900000e-01	5.950000e-01	2.744088e-02	1.120269e-02	1.120269e-02
5.950000e-01	6.000000e-01	3.201436e-02	1.210029e-02	1.210029e-02
6.000000e-01	6.050000e-01	1.829392e-02	9.146960e-03	9.146960e-03
6.050000e-01	6.100000e-01	1.097635e-01	2.240538e-02	2.240538e-02
6.100000e-01	6.150000e-01	7.774916e-02	1.885694e-02	1.885694e-02
6.150000e-01	6.200000e-01	7.317568e-02	1.829392e-02	1.829392e-02
6.200000e-01	6.250000e-01	1.143370e-01	2.286740e-02	2.286740e-02
6.250000e-01	6.300000e-01	1.554983e-01	2.666774e-02	2.666774e-02
6.300000e-01	6.350000e-01	2.012398e-01	3.033806e-02	3.033806e-02
6.350000e-01	6.400000e-01	1.829408e-01	2.892549e-02	2.892549e-02
6.400000e-01	6.450000e-01	2.333718e-01	3.267881e-02	3.267881e-02
6.450000e-01	6.500000e-01	2.789822e-01	3.572002e-02	3.572002e-02
6.500000e-01	6.550000e-01	3.933192e-01	4.241271e-02	4.241271e-02
6.550000e-01	6.600000e-01	3.475844e-01	3.987068e-02	3.987068e-02
6.600000e-01	6.650000e-01	3.750254e-01	4.141463e-02	4.141463e-02
6.650000e-01	6.700000e-01	4.939596e-01	4.753129e-02	4.753129e-02
6.700000e-01	6.750000e-01	5.854054e-01	5.174302e-02	5.174302e-02
6.750000e-01	6.800000e-01	6.402958e-01	5.411487e-02	5.411487e-02
6.800000e-01	6.850000e-01	6.860856e-01	5.601869e-02	5.601869e-02
6.850000e-01	6.900000e-01	6.677810e-01	5.526597e-02	5.526597e-02
6.900000e-01	6.950000e-01	7.729182e-01	5.945524e-02	5.945524e-02
6.950000e-01	7.000000e-01	8.323814e-01	6.170022e-02	6.170022e-02
7.000000e-01	7.050000e-01	8.277998e-01	6.152988e-02	6.152988e-02
7.050000e-01	7.100000e-01	1.033606e+00	6.875449e-02	6.875449e-02
7.100000e-01	7.150000e-01	1.257711e+00	7.584284e-02	7.584284e-02
7.150000e-01	7.200000e-01	1.243991e+00	7.542801e-02	7.542801e-02
7.200000e-01	7.250000e-01	1.271438e+00	7.625575e-02	7.625575e-02
7.250000e-01	7.300000e-01	1.468140e+00	8.194361e-02	8.194361e-02
