# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyZAnalysis/ZM
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyZAnalysis/ZM
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyZAnalysis/ZM
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyZAnalysis/ZM
ScaledBy=6.22855031863678438e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.600718e-04	6.050145e-05	6.050145e-05
1.000000e+00	2.000000e+00	4.344806e-04	9.967669e-05	9.967669e-05
2.000000e+00	3.000000e+00	6.631546e-04	1.231447e-04	1.231447e-04
3.000000e+00	4.000000e+00	1.303442e-03	1.726451e-04	1.726451e-04
4.000000e+00	5.000000e+00	1.349177e-03	1.756478e-04	1.756478e-04
5.000000e+00	6.000000e+00	2.149536e-03	2.217077e-04	2.217077e-04
6.000000e+00	7.000000e+00	2.172403e-03	2.228838e-04	2.228838e-04
7.000000e+00	8.000000e+00	2.927027e-03	2.587151e-04	2.587151e-04
8.000000e+00	9.000000e+00	2.904160e-03	2.577025e-04	2.577025e-04
9.000000e+00	1.000000e+01	3.452977e-03	2.809993e-04	2.809993e-04
1.000000e+01	1.100000e+01	3.247171e-03	2.724965e-04	2.724965e-04
1.100000e+01	1.200000e+01	4.321939e-03	3.143748e-04	3.143748e-04
1.200000e+01	1.300000e+01	4.733552e-03	3.290046e-04	3.290046e-04
1.300000e+01	1.400000e+01	4.527745e-03	3.217729e-04	3.217729e-04
1.400000e+01	1.500000e+01	4.733552e-03	3.290046e-04	3.290046e-04
1.500000e+01	1.600000e+01	5.030828e-03	3.391784e-04	3.391784e-04
1.600000e+01	1.700000e+01	5.808320e-03	3.644464e-04	3.644464e-04
1.700000e+01	1.800000e+01	5.762585e-03	3.630087e-04	3.630087e-04
1.800000e+01	1.900000e+01	6.860220e-03	3.960750e-04	3.960750e-04
1.900000e+01	2.000000e+01	7.820651e-03	4.228924e-04	4.228924e-04
2.000000e+01	2.100000e+01	7.203231e-03	4.058561e-04	4.058561e-04
2.100000e+01	2.200000e+01	7.729181e-03	4.204121e-04	4.204121e-04
2.200000e+01	2.300000e+01	9.558573e-03	4.675251e-04	4.675251e-04
2.300000e+01	2.400000e+01	8.849684e-03	4.498548e-04	4.498548e-04
2.400000e+01	2.500000e+01	1.022173e-02	4.834711e-04	4.834711e-04
2.500000e+01	2.600000e+01	1.166237e-02	5.164186e-04	5.164186e-04
2.600000e+01	2.700000e+01	1.115929e-02	5.051574e-04	5.051574e-04
2.700000e+01	2.800000e+01	1.189105e-02	5.214570e-04	5.214570e-04
2.800000e+01	2.900000e+01	1.189105e-02	5.214570e-04	5.214570e-04
2.900000e+01	3.000000e+01	1.289721e-02	5.430706e-04	5.430706e-04
3.000000e+01	3.100000e+01	1.340030e-02	5.535611e-04	5.535611e-04
3.100000e+01	3.200000e+01	1.504675e-02	5.865833e-04	5.865833e-04
3.200000e+01	3.300000e+01	1.511535e-02	5.879190e-04	5.879190e-04
3.300000e+01	3.400000e+01	1.584711e-02	6.019819e-04	6.019819e-04
3.400000e+01	3.500000e+01	1.781370e-02	6.382422e-04	6.382422e-04
3.500000e+01	3.600000e+01	1.891134e-02	6.576117e-04	6.576117e-04
3.600000e+01	3.700000e+01	1.852259e-02	6.508176e-04	6.508176e-04
3.700000e+01	3.800000e+01	2.007758e-02	6.775854e-04	6.775854e-04
3.800000e+01	3.900000e+01	2.298174e-02	7.249363e-04	7.249363e-04
3.900000e+01	4.000000e+01	2.405651e-02	7.416938e-04	7.416938e-04
4.000000e+01	4.100000e+01	2.572583e-02	7.669959e-04	7.669959e-04
4.100000e+01	4.200000e+01	2.689206e-02	7.841885e-04	7.841885e-04
4.200000e+01	4.300000e+01	2.821837e-02	8.032937e-04	8.032937e-04
4.300000e+01	4.400000e+01	3.073379e-02	8.383328e-04	8.383328e-04
4.400000e+01	4.500000e+01	3.391235e-02	8.806176e-04	8.806176e-04
4.500000e+01	4.600000e+01	3.930906e-02	9.481013e-04	9.481013e-04
4.600000e+01	4.700000e+01	4.548326e-02	1.019845e-03	1.019845e-03
4.700000e+01	4.800000e+01	5.309810e-02	1.101915e-03	1.101915e-03
4.800000e+01	4.900000e+01	5.950108e-02	1.166464e-03	1.166464e-03
4.900000e+01	5.000000e+01	6.970020e-02	1.262486e-03	1.262486e-03
5.000000e+01	5.100000e+01	8.140872e-02	1.364413e-03	1.364413e-03
5.100000e+01	5.200000e+01	7.526052e-02	1.311908e-03	1.311908e-03
5.200000e+01	5.300000e+01	4.199139e-02	9.799960e-04	9.799960e-04
5.300000e+01	5.400000e+01	1.969509e-02	6.712085e-04	6.712085e-04
