# BEGIN PLOT
Legend=1
LogY=0
DrawOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyZAnalysis/Z_phi
LegendOnly=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyZAnalysis/Z_phi
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyZAnalysis/Z_phi
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/MyHiggsstrahlungV2/MyHiggsstrahlungHZZ/Analysis.yoda/MyZAnalysis/Z_phi
ScaledBy=6.22855031863678438e-02
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.532244e-01	7.467702e-03	7.467702e-03
6.283185e-02	1.256637e-01	1.510449e-01	7.414505e-03	7.414505e-03
1.256637e-01	1.884956e-01	1.539535e-01	7.485476e-03	7.485476e-03
1.884956e-01	2.513274e-01	1.681442e-01	7.822772e-03	7.822772e-03
2.513274e-01	3.141593e-01	1.666986e-01	7.789319e-03	7.789319e-03
3.141593e-01	3.769911e-01	1.448539e-01	7.260874e-03	7.260874e-03
3.769911e-01	4.398230e-01	1.645047e-01	7.737649e-03	7.737649e-03
4.398230e-01	5.026548e-01	1.645056e-01	7.737694e-03	7.737694e-03
5.026548e-01	5.654867e-01	1.564977e-01	7.546990e-03	7.546990e-03
5.654867e-01	6.283185e-01	1.499491e-01	7.387462e-03	7.387462e-03
6.283185e-01	6.911504e-01	1.601464e-01	7.634685e-03	7.634685e-03
6.911504e-01	7.539822e-01	1.583304e-01	7.591372e-03	7.591372e-03
7.539822e-01	8.168141e-01	1.590512e-01	7.608453e-03	7.608453e-03
8.168141e-01	8.796459e-01	1.655956e-01	7.763240e-03	7.763240e-03
8.796459e-01	9.424778e-01	1.586850e-01	7.599637e-03	7.599637e-03
9.424778e-01	1.005310e+00	1.550446e-01	7.511937e-03	7.511937e-03
1.005310e+00	1.068142e+00	1.492178e-01	7.369345e-03	7.369345e-03
1.068142e+00	1.130973e+00	1.623221e-01	7.686174e-03	7.686174e-03
1.130973e+00	1.193805e+00	1.648865e-01	7.747054e-03	7.747054e-03
1.193805e+00	1.256637e+00	1.554098e-01	7.520809e-03	7.520809e-03
1.256637e+00	1.319469e+00	1.474083e-01	7.324782e-03	7.324782e-03
1.319469e+00	1.382301e+00	1.579598e-01	7.582318e-03	7.582318e-03
1.382301e+00	1.445133e+00	1.575989e-01	7.573724e-03	7.573724e-03
1.445133e+00	1.507964e+00	1.655977e-01	7.763339e-03	7.763339e-03
1.507964e+00	1.570796e+00	1.666872e-01	7.788781e-03	7.788781e-03
1.570796e+00	1.633628e+00	1.666910e-01	7.788964e-03	7.788964e-03
1.633628e+00	1.696460e+00	1.510372e-01	7.414126e-03	7.414126e-03
1.696460e+00	1.759292e+00	1.550492e-01	7.512163e-03	7.512163e-03
1.759292e+00	1.822124e+00	1.605174e-01	7.643694e-03	7.643694e-03
1.822124e+00	1.884956e+00	1.692364e-01	7.848151e-03	7.848151e-03
1.884956e+00	1.947787e+00	1.590508e-01	7.608435e-03	7.608435e-03
1.947787e+00	2.010619e+00	1.648693e-01	7.746240e-03	7.746240e-03
2.010619e+00	2.073451e+00	1.699733e-01	7.865426e-03	7.865426e-03
2.073451e+00	2.136283e+00	1.663323e-01	7.780699e-03	7.780699e-03
2.136283e+00	2.199115e+00	1.652426e-01	7.755227e-03	7.755227e-03
2.199115e+00	2.261947e+00	1.634188e-01	7.712214e-03	7.712214e-03
2.261947e+00	2.324779e+00	1.710549e-01	7.890170e-03	7.890170e-03
2.324779e+00	2.387610e+00	1.535906e-01	7.476675e-03	7.476675e-03
2.387610e+00	2.450442e+00	1.426744e-01	7.206151e-03	7.206151e-03
2.450442e+00	2.513274e+00	1.586801e-01	7.599397e-03	7.599397e-03
