# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/E
LegendOnly=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/E
# END PLOT

# BEGIN HISTO1D //mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/E
LineColor=red
LineStyle=solid
Path=//mt/home/mbridge/Work/my_higgsstrahlungHZZ/Analysis.yoda/MyAnalysis/E
ScaledBy=4.58406468228226673e-05
Title=Analysis
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+00	4.356707e-01	6.991655e-05	6.991655e-05
1.500000e+00	3.000000e+00	1.085759e-01	3.490340e-05	3.490340e-05
3.000000e+00	4.500000e+00	4.661149e-02	2.286901e-05	2.286901e-05
4.500000e+00	6.000000e+00	2.510876e-02	1.678471e-05	1.678471e-05
6.000000e+00	7.500000e+00	1.519843e-02	1.305871e-05	1.305871e-05
7.500000e+00	9.000000e+00	9.869100e-03	1.052300e-05	1.052300e-05
9.000000e+00	1.050000e+01	6.715687e-03	8.680527e-06	8.680527e-06
1.050000e+01	1.200000e+01	4.725209e-03	7.281343e-06	7.281343e-06
1.200000e+01	1.350000e+01	3.412797e-03	6.188081e-06	6.188081e-06
1.350000e+01	1.500000e+01	2.508396e-03	5.305169e-06	5.305169e-06
1.500000e+01	1.650000e+01	1.889012e-03	4.603817e-06	4.603817e-06
1.650000e+01	1.800000e+01	1.425877e-03	3.999832e-06	3.999832e-06
1.800000e+01	1.950000e+01	1.093919e-03	3.503434e-06	3.503434e-06
1.950000e+01	2.100000e+01	8.463233e-04	3.081557e-06	3.081557e-06
2.100000e+01	2.250000e+01	6.568646e-04	2.714804e-06	2.714804e-06
2.250000e+01	2.400000e+01	5.125853e-04	2.398194e-06	2.398194e-06
2.400000e+01	2.550000e+01	3.974553e-04	2.111766e-06	2.111766e-06
2.550000e+01	2.700000e+01	3.150172e-04	1.880038e-06	1.880038e-06
2.700000e+01	2.850000e+01	2.462289e-04	1.662155e-06	1.662155e-06
2.850000e+01	3.000000e+01	1.929668e-04	1.471444e-06	1.471444e-06
3.000000e+01	3.150000e+01	1.531569e-04	1.310902e-06	1.310902e-06
3.150000e+01	3.300000e+01	1.204043e-04	1.162309e-06	1.162309e-06
3.300000e+01	3.450000e+01	9.331900e-05	1.023262e-06	1.023262e-06
3.450000e+01	3.600000e+01	7.229247e-05	9.006358e-07	9.006358e-07
3.600000e+01	3.750000e+01	5.837975e-05	8.093484e-07	8.093484e-07
3.750000e+01	3.900000e+01	4.658566e-05	7.229756e-07	7.229756e-07
3.900000e+01	4.050000e+01	3.501847e-05	6.268310e-07	6.268310e-07
4.050000e+01	4.200000e+01	2.633352e-05	5.435661e-07	5.435661e-07
